InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536380,2010-12-01 09:41:00,17809.0,SC1943,Toys,45,1.89,Mali,85.05,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC3325,Toys,53,76.88,Mali,4074.64,2010-12,2010-12,1
536403,2010-12-01 11:27:00,12791.0,SC8090,Toys,14,86.75,Mali,1214.5,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6120,Toys,32,57.34,Mali,1834.88,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6671,Toys,99,33.46,Mali,3312.54,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5203,Toys,79,19.46,Mali,1537.34,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5742,Toys,100,97.49,Mali,9749.0,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4885,Toys,58,28.68,Mali,1663.44,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4210,Toys,26,11.28,Mali,293.28,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC2612,Toys,61,59.55,Mali,3632.55,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC6771,Toys,78,87.32,Mali,6810.959999999999,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC8559,Toys,57,41.02,Mali,2338.1400000000003,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2647,Toys,12,88.15,Mali,1057.8000000000002,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC2806,Toys,92,54.94,Mali,5054.48,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC1696,Toys,80,52.83,Mali,4226.4,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC2458,Toys,49,75.31,Mali,3690.19,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC2512,Toys,24,97.29,Mali,2334.96,2010-12,2010-12,1
536748,2010-12-02 13:45:00,15107.0,SC7922,Toys,81,90.59,Mali,7337.79,2010-12,2010-12,1
