InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC8443,Books,69,98.86,Morocco,6821.34,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3429,Books,25,55.87,Morocco,1396.75,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7243,Books,66,54.99,Morocco,3629.34,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2221,Books,86,44.32,Morocco,3811.52,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC1362,Books,5,29.92,Morocco,149.60000000000002,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7522,Books,13,44.36,Morocco,576.68,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3446,Books,25,52.82,Morocco,1320.5,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC1465,Books,23,30.7,Morocco,706.1,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC6974,Books,63,28.02,Morocco,1765.26,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8089,Books,24,2.87,Morocco,68.88,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC6504,Books,73,80.95,Morocco,5909.35,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC2361,Books,73,23.28,Morocco,1699.44,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC1753,Books,72,96.65,Morocco,6958.8,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7601,Books,35,24.52,Morocco,858.1999999999999,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9607,Books,69,95.65,Morocco,6599.85,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC9179,Books,30,35.58,Morocco,1067.4,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC9318,Books,30,48.71,Morocco,1461.3,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC7799,Books,91,83.09,Morocco,7561.19,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4795,Books,50,88.82,Morocco,4441.0,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5443,Books,16,44.72,Morocco,715.52,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5209,Books,74,5.52,Morocco,408.48,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC3112,Books,6,28.03,Morocco,168.18,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC4830,Books,8,80.74,Morocco,645.92,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC2158,Books,91,7.89,Morocco,717.99,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC7890,Books,35,57.52,Morocco,2013.2,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2661,Books,34,10.86,Morocco,369.24,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2691,Books,19,61.23,Morocco,1163.37,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC3280,Books,53,94.18,Morocco,4991.54,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC6292,Books,80,40.47,Morocco,3237.6,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC3561,Books,38,20.76,Morocco,788.8800000000001,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC4904,Books,41,52.27,Morocco,2143.07,2010-12,2010-12,1
537612,2010-12-07 13:28:00,13769.0,SC8118,Books,74,38.94,Morocco,2881.56,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6561,Books,5,78.32,Morocco,391.6,2010-12,2010-12,1
537667,2010-12-08 08:12:00,17870.0,SC3055,Books,62,33.21,Morocco,2059.02,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC2903,Books,26,35.55,Morocco,924.3,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC1806,Books,78,16.98,Morocco,1324.44,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC7596,Books,30,31.4,Morocco,942.0,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC2961,Books,22,61.52,Morocco,1353.44,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC5040,Books,19,81.34,Morocco,1545.46,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC8192,Books,37,68.87,Morocco,2548.19,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC2201,Books,90,96.32,Morocco,8668.8,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC4415,Books,20,4.51,Morocco,90.2,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC1512,Books,32,12.59,Morocco,402.88,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC1548,Books,64,23.19,Morocco,1484.16,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC5918,Books,65,13.43,Morocco,872.9499999999999,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC1738,Books,66,80.57,Morocco,5317.62,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC8939,Books,64,75.54,Morocco,4834.56,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC9871,Books,71,38.2,Morocco,2712.2000000000003,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC9421,Books,99,84.93,Morocco,8408.070000000002,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2311,Books,13,15.94,Morocco,207.22,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC9705,Books,88,47.0,Morocco,4136.0,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC3244,Books,49,41.55,Morocco,2035.95,2010-12,2010-12,1
538706,2010-12-14 10:34:00,14667.0,SC8196,Books,58,77.22,Morocco,4478.76,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC4087,Books,18,66.76,Morocco,1201.68,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC6196,Books,98,32.67,Morocco,3201.6600000000003,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC1574,Books,16,98.68,Morocco,1578.88,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC6432,Books,30,93.6,Morocco,2808.0,2010-12,2010-12,1
538895,2010-12-15 09:07:00,14401.0,SC6610,Books,29,33.75,Morocco,978.75,2010-12,2010-12,1
538995,2010-12-15 12:05:00,13458.0,SC7712,Books,24,99.99,Morocco,2399.76,2010-12,2010-12,1
539087,2010-12-16 09:44:00,13093.0,SC4639,Books,80,73.29,Morocco,5863.200000000001,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC8763,Books,64,54.1,Morocco,3462.4,2010-12,2010-12,1
539326,2010-12-17 09:22:00,14560.0,SC7237,Books,50,60.91,Morocco,3045.5,2010-12,2010-12,1
539408,2010-12-17 12:56:00,12720.0,SC8431,Books,83,53.55,Morocco,4444.65,2010-12,2010-12,1
539447,2010-12-17 16:00:00,12395.0,SC5470,Books,58,58.32,Morocco,3382.56,2010-12,2010-12,1
539462,2010-12-19 11:19:00,14032.0,SC3379,Books,16,55.85,Morocco,893.6,2010-12,2010-12,1
539468,2010-12-19 13:31:00,15044.0,SC7136,Books,13,21.52,Morocco,279.76,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC8512,Books,52,50.51,Morocco,2626.52,2010-12,2010-12,1
539491,2010-12-20 10:09:00,14646.0,SC5524,Books,2,1.74,Morocco,3.48,2010-12,2010-12,1
539593,2010-12-20 13:31:00,13319.0,SC5207,Books,57,61.91,Morocco,3528.87,2010-12,2010-12,1
539609,2010-12-20 14:15:00,15527.0,SC3808,Books,93,62.4,Morocco,5803.2,2010-12,2010-12,1
539642,2010-12-20 15:35:00,15867.0,SC1115,Books,64,77.36,Morocco,4951.04,2010-12,2010-12,1
539675,2010-12-21 10:51:00,12971.0,SC1648,Books,42,28.34,Morocco,1190.28,2010-12,2010-12,1
539716,2010-12-21 12:57:00,17990.0,SC3338,Books,8,5.36,Morocco,42.88,2010-12,2010-12,1
539752,2010-12-21 15:43:00,12515.0,SC6397,Books,59,73.99,Morocco,4365.41,2010-12,2010-12,1
539761,2010-12-22 10:29:00,17593.0,SC6567,Books,36,93.75,Morocco,3375.0,2010-12,2010-12,1
539826,2010-12-22 12:39:00,15044.0,SC5509,Books,38,53.19,Morocco,2021.22,2010-12,2010-12,1
539837,2010-12-22 13:48:00,14532.0,SC2851,Books,24,27.39,Morocco,657.36,2010-12,2010-12,1
540014,2011-01-04 11:34:00,14606.0,SC5999,Books,7,79.56,Morocco,556.9200000000001,2011-01,2010-12,2
540032,2011-01-04 13:50:00,13397.0,SC6332,Books,26,93.6,Morocco,2433.6,2011-01,2011-01,1
540157,2011-01-05 11:41:00,15311.0,SC8112,Books,58,81.61,Morocco,4733.38,2011-01,2011-01,1
540166,2011-01-05 12:09:00,13629.0,SC3718,Books,33,29.64,Morocco,978.12,2011-01,2011-01,1
540168,2011-01-05 12:15:00,13715.0,SC8923,Books,85,57.05,Morocco,4849.25,2011-01,2011-01,1
540247,2011-01-05 15:56:00,15464.0,SC1817,Books,19,92.46,Morocco,1756.7399999999998,2011-01,2011-01,1
540275,2011-01-06 12:11:00,13680.0,SC1312,Books,19,31.3,Morocco,594.7,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC8292,Books,78,55.42,Morocco,4322.76,2011-01,2011-01,1
540280,2011-01-06 12:37:00,12386.0,SC5885,Books,42,35.07,Morocco,1472.94,2011-01,2011-01,1
540414,2011-01-07 10:32:00,12481.0,SC1570,Books,10,59.86,Morocco,598.6,2011-01,2011-01,1
540453,2011-01-07 11:54:00,13426.0,SC8642,Books,89,52.02,Morocco,4629.780000000001,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC2200,Books,47,11.85,Morocco,556.9499999999999,2011-01,2011-01,1
540459,2011-01-07 12:35:00,16191.0,SC3084,Books,78,37.53,Morocco,2927.34,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC8648,Books,84,39.92,Morocco,3353.28,2011-01,2011-01,1
540480,2011-01-07 15:27:00,12480.0,SC4356,Books,1,38.32,Morocco,38.32,2011-01,2011-01,1
540496,2011-01-07 17:18:00,15485.0,SC5543,Books,93,70.56,Morocco,6562.08,2011-01,2011-01,1
540509,2011-01-09 11:27:00,14800.0,SC8922,Books,95,69.88,Morocco,6638.599999999999,2011-01,2011-01,1
540523,2011-01-09 12:51:00,13069.0,SC9680,Books,19,72.66,Morocco,1380.54,2011-01,2010-12,2
540523,2011-01-09 12:51:00,13069.0,SC7012,Books,71,13.95,Morocco,990.45,2011-01,2010-12,2
540530,2011-01-09 14:02:00,14755.0,SC5727,Books,95,52.33,Morocco,4971.349999999999,2011-01,2011-01,1
540532,2011-01-09 14:11:00,14702.0,SC3694,Books,100,37.4,Morocco,3740.0,2011-01,2011-01,1
540548,2011-01-09 16:11:00,14794.0,SC3800,Books,99,89.4,Morocco,8850.6,2011-01,2011-01,1
540548,2011-01-09 16:11:00,14794.0,SC6504,Books,88,41.87,Morocco,3684.56,2011-01,2011-01,1
540635,2011-01-10 12:03:00,14229.0,SC1410,Books,47,90.55,Morocco,4255.849999999999,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC3326,Books,84,76.87,Morocco,6457.08,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC4303,Books,42,8.09,Morocco,339.78,2011-01,2011-01,1
540692,2011-01-11 09:12:00,14320.0,SC1364,Books,30,64.57,Morocco,1937.1,2011-01,2011-01,1
540798,2011-01-11 12:11:00,17365.0,SC8988,Books,63,62.41,Morocco,3931.83,2011-01,2011-01,1
540907,2011-01-12 11:52:00,13488.0,SC7172,Books,87,30.68,Morocco,2669.16,2011-01,2011-01,1
540954,2011-01-12 13:19:00,14606.0,SC7677,Books,54,16.38,Morocco,884.52,2011-01,2010-12,2
540957,2011-01-12 13:30:00,15311.0,SC6121,Books,96,44.68,Morocco,4289.28,2011-01,2011-01,1
540971,2011-01-12 14:10:00,12383.0,SC6722,Books,14,45.43,Morocco,636.02,2011-01,2011-01,1
540979,2011-01-12 15:06:00,15727.0,SC2866,Books,5,29.83,Morocco,149.14999999999998,2011-01,2011-01,1
540990,2011-01-12 16:51:00,17048.0,SC3088,Books,70,84.51,Morocco,5915.700000000001,2011-01,2011-01,1
541115,2011-01-13 15:34:00,12578.0,SC6522,Books,16,91.54,Morocco,1464.64,2011-01,2011-01,1
541119,2011-01-14 08:16:00,16493.0,SC9392,Books,10,23.7,Morocco,237.0,2011-01,2011-01,1
541123,2011-01-14 09:52:00,13385.0,SC1469,Books,34,3.08,Morocco,104.72,2011-01,2011-01,1
541134,2011-01-14 10:20:00,15615.0,SC4886,Books,95,14.09,Morocco,1338.55,2011-01,2011-01,1
541138,2011-01-14 10:42:00,12553.0,SC2144,Books,52,79.16,Morocco,4116.32,2011-01,2011-01,1
541204,2011-01-14 12:22:00,14175.0,SC4950,Books,6,10.2,Morocco,61.2,2011-01,2011-01,1
541205,2011-01-14 12:23:00,18106.0,SC7882,Books,30,73.19,Morocco,2195.7,2011-01,2011-01,1
541216,2011-01-14 13:52:00,15311.0,SC8523,Books,84,5.47,Morocco,459.48,2011-01,2011-01,1
541223,2011-01-14 14:39:00,17954.0,SC8634,Books,85,91.78,Morocco,7801.3,2011-01,2011-01,1
541223,2011-01-14 14:39:00,17954.0,SC1147,Books,30,80.46,Morocco,2413.8,2011-01,2011-01,1
