InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC6820,Cloths,82,62.05,Morocco,5088.099999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3605,Cloths,38,22.22,Morocco,844.3599999999999,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1967,Cloths,8,73.64,Morocco,589.12,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3542,Cloths,82,75.96,Morocco,6228.719999999999,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3424,Cloths,70,28.71,Morocco,2009.7,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3434,Cloths,54,33.81,Morocco,1825.74,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC5663,Cloths,90,98.14,Morocco,8832.6,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5059,Cloths,42,86.47,Morocco,3631.74,2010-12,2010-12,1
536570,2010-12-01 15:35:00,14496.0,SC1528,Cloths,12,49.14,Morocco,589.6800000000001,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC7210,Cloths,75,39.33,Morocco,2949.75,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC8659,Cloths,66,77.98,Morocco,5146.68,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC6875,Cloths,17,24.9,Morocco,423.3,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC3504,Cloths,33,10.44,Morocco,344.52,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC1015,Cloths,32,27.39,Morocco,876.48,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC1121,Cloths,39,34.4,Morocco,1341.6,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC8883,Cloths,39,71.9,Morocco,2804.1000000000004,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC7063,Cloths,75,4.78,Morocco,358.5,2010-12,2010-12,1
536884,2010-12-03 11:42:00,14589.0,SC2442,Cloths,88,24.48,Morocco,2154.24,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6047,Cloths,57,14.13,Morocco,805.4100000000001,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC3041,Cloths,16,96.33,Morocco,1541.28,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC6821,Cloths,9,83.49,Morocco,751.41,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC2894,Cloths,85,26.03,Morocco,2212.55,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC8481,Cloths,71,82.89,Morocco,5885.19,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC9153,Cloths,17,7.69,Morocco,130.73000000000002,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC3216,Cloths,39,49.53,Morocco,1931.67,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8848,Cloths,41,55.43,Morocco,2272.63,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2752,Cloths,44,87.69,Morocco,3858.36,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC5046,Cloths,68,13.86,Morocco,942.48,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5357,Cloths,85,93.54,Morocco,7950.900000000001,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC9040,Cloths,56,49.04,Morocco,2746.24,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC8029,Cloths,76,92.69,Morocco,7044.44,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3347,Cloths,54,81.3,Morocco,4390.2,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC4372,Cloths,28,91.57,Morocco,2563.96,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC5225,Cloths,58,83.87,Morocco,4864.46,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC8240,Cloths,6,44.26,Morocco,265.56,2010-12,2010-12,1
537313,2010-12-06 11:42:00,15304.0,SC8775,Cloths,31,31.45,Morocco,974.95,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC6356,Cloths,81,54.8,Morocco,4438.8,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5205,Cloths,79,8.94,Morocco,706.26,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC7693,Cloths,77,46.33,Morocco,3567.41,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC6446,Cloths,57,69.18,Morocco,3943.26,2010-12,2010-12,1
537636,2010-12-07 15:20:00,16950.0,SC3991,Cloths,52,86.15,Morocco,4479.8,2010-12,2010-12,1
537649,2010-12-07 15:48:00,13807.0,SC8897,Cloths,32,13.31,Morocco,425.92,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC1414,Cloths,35,42.12,Morocco,1474.1999999999998,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC5379,Cloths,79,10.18,Morocco,804.22,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC5087,Cloths,69,18.34,Morocco,1265.46,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC8771,Cloths,26,24.72,Morocco,642.72,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC4092,Cloths,55,14.62,Morocco,804.0999999999999,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC5853,Cloths,53,98.31,Morocco,5210.43,2010-12,2010-12,1
537864,2010-12-08 16:34:00,16700.0,SC5890,Cloths,79,57.37,Morocco,4532.23,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC6351,Cloths,2,33.12,Morocco,66.24,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC9032,Cloths,70,34.88,Morocco,2441.6000000000004,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC6280,Cloths,37,3.47,Morocco,128.39,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC7147,Cloths,91,95.53,Morocco,8693.23,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC1201,Cloths,21,78.39,Morocco,1646.19,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC5207,Cloths,85,81.62,Morocco,6937.700000000001,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC3002,Cloths,31,60.77,Morocco,1883.87,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC8401,Cloths,86,61.15,Morocco,5258.9,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC8369,Cloths,73,22.97,Morocco,1676.81,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC8606,Cloths,3,62.33,Morocco,186.99,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC5359,Cloths,15,7.35,Morocco,110.25,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC7168,Cloths,40,17.18,Morocco,687.2,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC2113,Cloths,75,34.78,Morocco,2608.5,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC6527,Cloths,66,80.06,Morocco,5283.96,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC7472,Cloths,86,18.06,Morocco,1553.16,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2911,Cloths,81,40.6,Morocco,3288.6,2010-12,2010-12,1
