InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC3325,Cosmetics,43,86.21,Morocco,3707.03,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2237,Cosmetics,47,14.19,Morocco,666.93,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1013,Cosmetics,44,34.03,Morocco,1497.3200000000002,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4562,Cosmetics,66,85.44,Morocco,5639.04,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4875,Cosmetics,92,64.57,Morocco,5940.44,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC4273,Cosmetics,35,17.12,Morocco,599.2,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC9651,Cosmetics,81,25.38,Morocco,2055.78,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC9419,Cosmetics,43,28.5,Morocco,1225.5,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3346,Cosmetics,7,9.79,Morocco,68.53,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7293,Cosmetics,95,73.4,Morocco,6973.000000000001,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC5797,Cosmetics,58,48.34,Morocco,2803.7200000000003,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7192,Cosmetics,36,84.8,Morocco,3052.8,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC1512,Cosmetics,55,80.91,Morocco,4450.05,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC6387,Cosmetics,52,77.05,Morocco,4006.6,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC6375,Cosmetics,47,72.04,Morocco,3385.88,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC8295,Cosmetics,60,60.43,Morocco,3625.8,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2604,Cosmetics,40,14.79,Morocco,591.5999999999999,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC5823,Cosmetics,68,9.38,Morocco,637.84,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC1659,Cosmetics,48,82.81,Morocco,3974.88,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC6023,Cosmetics,73,14.18,Morocco,1035.14,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6722,Cosmetics,62,86.94,Morocco,5390.28,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC5491,Cosmetics,46,42.17,Morocco,1939.82,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC4131,Cosmetics,17,68.97,Morocco,1172.49,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8297,Cosmetics,81,73.16,Morocco,5925.96,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC8172,Cosmetics,54,89.18,Morocco,4815.72,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC1361,Cosmetics,26,45.61,Morocco,1185.86,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC5477,Cosmetics,51,49.59,Morocco,2529.09,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC7450,Cosmetics,24,37.52,Morocco,900.48,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC9653,Cosmetics,88,63.62,Morocco,5598.56,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC6221,Cosmetics,27,25.77,Morocco,695.79,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC1758,Cosmetics,72,43.17,Morocco,3108.24,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC1524,Cosmetics,31,36.08,Morocco,1118.48,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8667,Cosmetics,6,49.27,Morocco,295.62,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC8977,Cosmetics,51,66.67,Morocco,3400.17,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9339,Cosmetics,84,45.21,Morocco,3797.64,2010-12,2010-12,1
537811,2010-12-08 13:30:00,17262.0,SC9496,Cosmetics,61,13.26,Morocco,808.86,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC2144,Cosmetics,27,31.67,Morocco,855.09,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC9667,Cosmetics,35,22.65,Morocco,792.75,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC7256,Cosmetics,100,99.57,Morocco,9957.0,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC5027,Cosmetics,14,5.08,Morocco,71.12,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC7358,Cosmetics,12,58.19,Morocco,698.28,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC2033,Cosmetics,77,28.39,Morocco,2186.03,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC5211,Cosmetics,31,30.88,Morocco,957.28,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC8017,Cosmetics,22,88.39,Morocco,1944.58,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC2066,Cosmetics,22,63.33,Morocco,1393.26,2010-12,2010-12,1
