InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536398,2010-12-01 10:52:00,13448.0,SC7534,Electronics,30,97.18,Morocco,2915.4,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC8892,Electronics,39,62.81,Morocco,2449.59,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC7673,Electronics,89,95.28,Morocco,8479.92,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2968,Electronics,22,96.0,Morocco,2112.0,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC9789,Electronics,9,6.02,Morocco,54.17999999999999,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC7090,Electronics,87,54.3,Morocco,4724.099999999999,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7654,Electronics,95,88.17,Morocco,8376.15,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7103,Electronics,99,97.22,Morocco,9624.78,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC2342,Electronics,81,29.72,Morocco,2407.32,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC9377,Electronics,84,11.64,Morocco,977.76,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC4335,Electronics,74,7.01,Morocco,518.74,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6608,Electronics,78,36.5,Morocco,2847.0,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC7365,Electronics,100,63.89,Morocco,6389.0,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC4917,Electronics,85,34.8,Morocco,2957.9999999999995,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9127,Electronics,67,3.4,Morocco,227.8,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC8847,Electronics,77,99.41,Morocco,7654.57,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3448,Electronics,23,40.02,Morocco,920.46,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC4480,Electronics,44,90.27,Morocco,3971.88,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC8197,Electronics,94,73.41,Morocco,6900.54,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5107,Electronics,91,34.02,Morocco,3095.82,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3045,Electronics,62,66.88,Morocco,4146.56,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC7235,Electronics,74,22.85,Morocco,1690.9,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC4843,Electronics,25,67.38,Morocco,1684.5,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC1943,Electronics,54,22.75,Morocco,1228.5,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC4036,Electronics,30,20.05,Morocco,601.5,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC9602,Electronics,92,17.17,Morocco,1579.64,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC3855,Electronics,86,36.87,Morocco,3170.82,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC3480,Electronics,72,94.49,Morocco,6803.28,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC1974,Electronics,68,29.18,Morocco,1984.24,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC8940,Electronics,28,80.35,Morocco,2249.8,2010-12,2010-12,1
537423,2010-12-06 15:34:00,14215.0,SC6419,Electronics,58,83.43,Morocco,4838.9400000000005,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC6628,Electronics,70,34.74,Morocco,2431.8,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC2309,Electronics,9,31.12,Morocco,280.08,2010-12,2010-12,1
537523,2010-12-07 11:45:00,14176.0,SC3110,Electronics,42,55.79,Morocco,2343.18,2010-12,2010-12,1
537625,2010-12-07 14:57:00,15180.0,SC1605,Electronics,4,61.32,Morocco,245.28,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC6495,Electronics,77,17.81,Morocco,1371.37,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9921,Electronics,89,91.92,Morocco,8180.88,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3676,Electronics,5,20.69,Morocco,103.45,2010-12,2010-12,1
537799,2010-12-08 13:07:00,15916.0,SC6030,Electronics,15,31.09,Morocco,466.35,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC8005,Electronics,40,33.83,Morocco,1353.1999999999998,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC3178,Electronics,62,46.35,Morocco,2873.7000000000003,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC7546,Electronics,40,43.94,Morocco,1757.6,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC3247,Electronics,25,62.9,Morocco,1572.5,2010-12,2010-12,1
538013,2010-12-09 12:37:00,17062.0,SC7280,Electronics,26,35.01,Morocco,910.26,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC8760,Electronics,36,91.83,Morocco,3305.88,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC5536,Electronics,88,99.86,Morocco,8787.68,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC5334,Electronics,24,61.21,Morocco,1469.04,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC8563,Electronics,61,41.79,Morocco,2549.19,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC9415,Electronics,5,91.46,Morocco,457.3,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC6781,Electronics,13,49.66,Morocco,645.5799999999999,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC4929,Electronics,50,38.94,Morocco,1947.0,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC2117,Electronics,37,94.59,Morocco,3499.83,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC5991,Electronics,93,26.25,Morocco,2441.25,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC2056,Electronics,45,84.51,Morocco,3802.95,2010-12,2010-12,1
538596,2010-12-13 12:10:00,17990.0,SC8365,Electronics,54,3.65,Morocco,197.1,2010-12,2010-12,1
538655,2010-12-13 15:16:00,17375.0,SC3296,Electronics,4,73.59,Morocco,294.36,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC7993,Electronics,91,63.09,Morocco,5741.1900000000005,2010-12,2010-12,1
538894,2010-12-14 17:22:00,16161.0,SC5641,Electronics,8,74.35,Morocco,594.8,2010-12,2010-12,1
539002,2010-12-15 12:30:00,14527.0,SC6122,Electronics,65,84.18,Morocco,5471.700000000001,2010-12,2010-12,1
539217,2010-12-16 12:46:00,15394.0,SC8824,Electronics,62,65.28,Morocco,4047.36,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC5234,Electronics,87,76.77,Morocco,6678.99,2010-12,2010-12,1
539257,2010-12-16 14:29:00,16210.0,SC5188,Electronics,10,54.68,Morocco,546.8,2010-12,2010-12,1
539264,2010-12-16 15:02:00,15224.0,SC8776,Electronics,11,69.81,Morocco,767.9100000000001,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC6959,Electronics,39,23.02,Morocco,897.78,2010-12,2010-12,1
539305,2010-12-16 17:37:00,14334.0,SC1236,Electronics,30,12.12,Morocco,363.6,2010-12,2010-12,1
539318,2010-12-16 19:09:00,12348.0,SC4870,Electronics,3,95.03,Morocco,285.09000000000003,2010-12,2010-12,1
539374,2010-12-17 11:40:00,14769.0,SC6192,Electronics,31,22.84,Morocco,708.04,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC9957,Electronics,11,96.25,Morocco,1058.75,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC2213,Electronics,16,44.07,Morocco,705.12,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC6147,Electronics,75,86.0,Morocco,6450.0,2010-12,2010-12,1
539496,2010-12-20 10:38:00,13050.0,SC9794,Electronics,82,87.3,Morocco,7158.599999999999,2010-12,2010-12,1
539498,2010-12-20 10:48:00,15279.0,SC3954,Electronics,30,66.21,Morocco,1986.3,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC8729,Electronics,67,85.57,Morocco,5733.19,2010-12,2010-12,1
539629,2010-12-20 14:51:00,14062.0,SC1722,Electronics,84,79.22,Morocco,6654.48,2010-12,2010-12,1
539630,2010-12-20 14:59:00,17230.0,SC3476,Electronics,41,77.73,Morocco,3186.9300000000003,2010-12,2010-12,1
539722,2010-12-21 13:45:00,14911.0,SC4837,Electronics,44,13.04,Morocco,573.76,2010-12,2010-12,1
539933,2010-12-23 11:24:00,15235.0,SC7911,Electronics,67,77.75,Morocco,5209.25,2010-12,2010-12,1
540013,2011-01-04 11:30:00,16255.0,SC8583,Electronics,62,95.49,Morocco,5920.38,2011-01,2011-01,1
540014,2011-01-04 11:34:00,14606.0,SC4526,Electronics,92,49.95,Morocco,4595.400000000001,2011-01,2010-12,2
540161,2011-01-05 11:52:00,16719.0,SC3331,Electronics,37,12.49,Morocco,462.13,2011-01,2011-01,1
540168,2011-01-05 12:15:00,13715.0,SC7017,Electronics,38,34.06,Morocco,1294.2800000000002,2011-01,2011-01,1
540168,2011-01-05 12:15:00,13715.0,SC7815,Electronics,69,47.36,Morocco,3267.84,2011-01,2011-01,1
540176,2011-01-05 12:40:00,17511.0,SC3016,Electronics,87,99.42,Morocco,8649.54,2011-01,2011-01,1
540248,2011-01-05 15:57:00,15034.0,SC7582,Electronics,98,26.63,Morocco,2609.74,2011-01,2011-01,1
540353,2011-01-06 14:53:00,13764.0,SC2314,Electronics,96,33.87,Morocco,3251.5199999999995,2011-01,2011-01,1
540409,2011-01-07 10:00:00,16019.0,SC4067,Electronics,100,59.52,Morocco,5952.0,2011-01,2011-01,1
540455,2011-01-07 12:07:00,12583.0,SC8046,Electronics,23,70.44,Morocco,1620.12,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC4898,Electronics,64,5.45,Morocco,348.8,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC1017,Electronics,98,89.08,Morocco,8729.84,2011-01,2011-01,1
540514,2011-01-09 11:43:00,15708.0,SC7911,Electronics,70,34.75,Morocco,2432.5,2011-01,2011-01,1
540516,2011-01-09 12:01:00,16326.0,SC2958,Electronics,71,59.34,Morocco,4213.14,2011-01,2011-01,1
540562,2011-01-10 10:35:00,12524.0,SC7627,Electronics,96,51.32,Morocco,4926.72,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC4419,Electronics,65,90.63,Morocco,5890.95,2011-01,2011-01,1
540795,2011-01-11 12:00:00,13078.0,SC1433,Electronics,37,93.71,Morocco,3467.27,2011-01,2011-01,1
540813,2011-01-11 12:41:00,14669.0,SC7009,Electronics,2,61.09,Morocco,122.18,2011-01,2011-01,1
540835,2011-01-11 15:00:00,12724.0,SC1709,Electronics,46,49.23,Morocco,2264.58,2011-01,2011-01,1
540838,2011-01-11 15:13:00,13862.0,SC8830,Electronics,59,48.69,Morocco,2872.71,2011-01,2011-01,1
540839,2011-01-11 15:42:00,16791.0,SC6255,Electronics,97,41.04,Morocco,3980.88,2011-01,2011-01,1
540856,2011-01-12 10:16:00,16655.0,SC8275,Electronics,9,29.83,Morocco,268.47,2011-01,2011-01,1
540859,2011-01-12 10:58:00,17965.0,SC1955,Electronics,19,68.16,Morocco,1295.04,2011-01,2011-01,1
540986,2011-01-12 16:14:00,15291.0,SC3928,Electronics,81,75.8,Morocco,6139.8,2011-01,2011-01,1
540990,2011-01-12 16:51:00,17048.0,SC1437,Electronics,22,76.25,Morocco,1677.5,2011-01,2011-01,1
540993,2011-01-13 09:23:00,13284.0,SC4491,Electronics,13,10.99,Morocco,142.87,2011-01,2011-01,1
540999,2011-01-13 10:08:00,13694.0,SC4064,Electronics,22,64.78,Morocco,1425.16,2011-01,2011-01,1
541115,2011-01-13 15:34:00,12578.0,SC2869,Electronics,83,2.93,Morocco,243.19000000000003,2011-01,2011-01,1
541223,2011-01-14 14:39:00,17954.0,SC7532,Electronics,4,76.8,Morocco,307.2,2011-01,2011-01,1
541244,2011-01-16 12:35:00,15535.0,SC6402,Electronics,8,35.18,Morocco,281.44,2011-01,2011-01,1
541291,2011-01-17 13:25:00,14667.0,SC8864,Electronics,79,41.8,Morocco,3302.2,2011-01,2011-01,1
541302,2011-01-17 14:18:00,13769.0,SC6818,Electronics,79,62.03,Morocco,4900.37,2011-01,2011-01,1
541414,2011-01-17 16:14:00,18212.0,SC4770,Electronics,23,13.63,Morocco,313.49,2011-01,2011-01,1
541511,2011-01-18 16:45:00,17576.0,SC7135,Electronics,63,49.85,Morocco,3140.55,2011-01,2011-01,1
541518,2011-01-19 09:05:00,12451.0,SC9014,Electronics,8,35.16,Morocco,281.28,2011-01,2011-01,1
541566,2011-01-19 11:50:00,17722.0,SC2506,Electronics,61,58.89,Morocco,3592.29,2011-01,2011-01,1
541575,2011-01-19 13:21:00,15311.0,SC8129,Electronics,60,1.57,Morocco,94.2,2011-01,2011-01,1
541595,2011-01-19 16:08:00,14606.0,SC1621,Electronics,21,3.94,Morocco,82.74,2011-01,2010-12,2
541631,2011-01-20 10:48:00,12637.0,SC5402,Electronics,88,31.6,Morocco,2780.8,2011-01,2011-01,1
541681,2011-01-20 14:24:00,13008.0,SC8815,Electronics,7,78.87,Morocco,552.09,2011-01,2011-01,1
541699,2011-01-21 09:03:00,17744.0,SC2334,Electronics,57,11.45,Morocco,652.65,2011-01,2011-01,1
541783,2011-01-21 11:55:00,16618.0,SC9767,Electronics,15,75.3,Morocco,1129.5,2011-01,2011-01,1
541800,2011-01-21 14:38:00,15235.0,SC8862,Electronics,61,92.7,Morocco,5654.7,2011-01,2010-12,2
541844,2011-01-23 12:19:00,16931.0,SC5312,Electronics,21,67.22,Morocco,1411.62,2011-01,2011-01,1
541848,2011-01-23 13:31:00,17611.0,SC8481,Electronics,86,64.93,Morocco,5583.9800000000005,2011-01,2011-01,1
541970,2011-01-24 13:48:00,15179.0,SC3448,Electronics,28,18.69,Morocco,523.32,2011-01,2011-01,1
541972,2011-01-24 13:58:00,12935.0,SC6572,Electronics,92,3.91,Morocco,359.72,2011-01,2011-01,1
541991,2011-01-25 09:11:00,12417.0,SC6164,Electronics,2,67.04,Morocco,134.08,2011-01,2011-01,1
541997,2011-01-25 10:38:00,18077.0,SC1995,Electronics,85,48.23,Morocco,4099.55,2011-01,2011-01,1
542058,2011-01-25 11:59:00,15601.0,SC4233,Electronics,4,95.6,Morocco,382.4,2011-01,2011-01,1
542079,2011-01-25 12:15:00,18144.0,SC9813,Electronics,68,78.27,Morocco,5322.36,2011-01,2011-01,1
