InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536402,2010-12-01 11:22:00,15513.0,SC3547,Furniture,26,67.42,Morocco,1752.92,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1611,Furniture,97,73.79,Morocco,7157.630000000001,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7440,Furniture,16,35.22,Morocco,563.52,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7254,Furniture,19,84.82,Morocco,1611.58,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8097,Furniture,7,82.85,Morocco,579.9499999999999,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC5017,Furniture,64,53.0,Morocco,3392.0,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC1752,Furniture,21,67.77,Morocco,1423.1699999999998,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5933,Furniture,19,67.33,Morocco,1279.27,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC1758,Furniture,19,12.14,Morocco,230.66000000000005,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC8179,Furniture,79,56.39,Morocco,4454.81,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC7577,Furniture,77,79.47,Morocco,6119.19,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC1528,Furniture,71,45.58,Morocco,3236.18,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4737,Furniture,57,14.61,Morocco,832.77,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7896,Furniture,8,15.24,Morocco,121.92,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC7560,Furniture,83,59.31,Morocco,4922.7300000000005,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC4018,Furniture,86,8.22,Morocco,706.9200000000001,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC2744,Furniture,18,2.04,Morocco,36.72,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5135,Furniture,38,66.26,Morocco,2517.88,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC3973,Furniture,76,53.88,Morocco,4094.88,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC4337,Furniture,65,17.04,Morocco,1107.6,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3810,Furniture,29,83.74,Morocco,2428.46,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC8641,Furniture,48,65.57,Morocco,3147.36,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC2329,Furniture,82,58.53,Morocco,4799.46,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2410,Furniture,66,9.28,Morocco,612.4799999999999,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC6446,Furniture,1,65.78,Morocco,65.78,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2966,Furniture,99,99.37,Morocco,9837.63,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC9817,Furniture,23,95.96,Morocco,2207.08,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC1203,Furniture,82,79.33,Morocco,6505.06,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC6951,Furniture,6,35.14,Morocco,210.84,2010-12,2010-12,1
537384,2010-12-06 13:21:00,15984.0,SC8635,Furniture,58,10.31,Morocco,597.98,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC9269,Furniture,73,14.5,Morocco,1058.5,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC9910,Furniture,53,60.73,Morocco,3218.69,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC2594,Furniture,17,79.12,Morocco,1345.04,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC9927,Furniture,67,37.11,Morocco,2486.37,2010-12,2010-12,1
537538,2010-12-07 11:49:00,15353.0,SC5139,Furniture,98,53.18,Morocco,5211.64,2010-12,2010-12,1
537605,2010-12-07 13:13:00,16221.0,SC4184,Furniture,95,58.31,Morocco,5539.45,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC7763,Furniture,40,39.57,Morocco,1582.8,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC1048,Furniture,52,16.08,Morocco,836.1599999999999,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC6601,Furniture,39,12.73,Morocco,496.47,2010-12,2010-12,1
537895,2010-12-09 10:30:00,14299.0,SC9258,Furniture,10,30.75,Morocco,307.5,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC1787,Furniture,2,47.48,Morocco,94.96,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC1307,Furniture,26,40.65,Morocco,1056.9,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC8387,Furniture,13,7.6,Morocco,98.8,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC5875,Furniture,22,13.98,Morocco,307.56,2010-12,2010-12,1
538252,2010-12-10 12:29:00,16019.0,SC2949,Furniture,24,40.82,Morocco,979.68,2010-12,2010-12,1
538279,2010-12-10 12:48:00,14952.0,SC7811,Furniture,63,11.76,Morocco,740.88,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC5266,Furniture,28,26.94,Morocco,754.32,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC2336,Furniture,33,49.25,Morocco,1625.25,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC4812,Furniture,31,31.48,Morocco,975.88,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC9406,Furniture,41,44.1,Morocco,1808.1,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9434,Furniture,49,53.06,Morocco,2599.94,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC9430,Furniture,21,88.79,Morocco,1864.59,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC8957,Furniture,73,61.69,Morocco,4503.37,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC8886,Furniture,50,56.69,Morocco,2834.5,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC7862,Furniture,12,40.72,Morocco,488.64,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC9691,Furniture,27,44.72,Morocco,1207.44,2010-12,2010-12,1
