InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC3067,Jewelry,30,63.3,Morocco,1899.0,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4029,Jewelry,37,9.19,Morocco,340.03,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC7549,Jewelry,55,49.99,Morocco,2749.4500000000003,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8637,Jewelry,84,82.08,Morocco,6894.72,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1979,Jewelry,88,6.8,Morocco,598.4,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5225,Jewelry,86,20.4,Morocco,1754.4,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC6683,Jewelry,10,96.09,Morocco,960.9,2010-12,2010-12,1
536748,2010-12-02 13:45:00,15107.0,SC2173,Jewelry,28,19.32,Morocco,540.96,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6608,Jewelry,29,56.81,Morocco,1647.49,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC6765,Jewelry,55,29.28,Morocco,1610.4,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC3557,Jewelry,60,84.08,Morocco,5044.8,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC6874,Jewelry,8,76.91,Morocco,615.28,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC7883,Jewelry,77,10.19,Morocco,784.63,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC3326,Jewelry,17,25.69,Morocco,436.73,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5099,Jewelry,23,3.15,Morocco,72.45,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2774,Jewelry,48,29.08,Morocco,1395.84,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC8248,Jewelry,41,34.21,Morocco,1402.61,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC2962,Jewelry,24,63.72,Morocco,1529.28,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC6696,Jewelry,39,60.27,Morocco,2350.53,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3779,Jewelry,30,55.55,Morocco,1666.5,2010-12,2010-12,1
