InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC5594,Kitchenware,26,65.32,Morocco,1698.3199999999997,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC1445,Kitchenware,19,92.02,Morocco,1748.38,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC2679,Kitchenware,48,55.3,Morocco,2654.4,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC3722,Kitchenware,55,49.62,Morocco,2729.1,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC5935,Kitchenware,11,10.42,Morocco,114.62,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC1792,Kitchenware,64,71.82,Morocco,4596.48,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5271,Kitchenware,13,23.62,Morocco,307.06,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC1786,Kitchenware,94,30.45,Morocco,2862.3,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC2299,Kitchenware,61,39.45,Morocco,2406.4500000000003,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8900,Kitchenware,97,22.38,Morocco,2170.86,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6438,Kitchenware,37,72.89,Morocco,2696.93,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC2601,Kitchenware,39,67.93,Morocco,2649.2700000000004,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC5997,Kitchenware,56,51.72,Morocco,2896.32,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1334,Kitchenware,76,96.22,Morocco,7312.72,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC4912,Kitchenware,4,81.33,Morocco,325.32,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC6480,Kitchenware,28,44.69,Morocco,1251.32,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC8346,Kitchenware,86,69.98,Morocco,6018.280000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7695,Kitchenware,91,35.5,Morocco,3230.5,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC4615,Kitchenware,33,38.83,Morocco,1281.39,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2973,Kitchenware,88,82.55,Morocco,7264.4,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7801,Kitchenware,49,9.04,Morocco,442.96,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC3436,Kitchenware,55,30.62,Morocco,1684.1,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2290,Kitchenware,16,7.41,Morocco,118.56,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC2510,Kitchenware,24,48.38,Morocco,1161.12,2010-12,2010-12,1
537235,2010-12-06 09:45:00,17381.0,SC5003,Kitchenware,87,94.88,Morocco,8254.56,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1732,Kitchenware,88,15.26,Morocco,1342.88,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8257,Kitchenware,15,38.77,Morocco,581.5500000000001,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5598,Kitchenware,34,96.19,Morocco,3270.46,2010-12,2010-12,1
537682,2010-12-08 10:13:00,13599.0,SC1176,Kitchenware,52,32.15,Morocco,1671.8,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC1438,Kitchenware,8,93.67,Morocco,749.36,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC9960,Kitchenware,75,42.79,Morocco,3209.25,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC1973,Kitchenware,53,38.19,Morocco,2024.07,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC7684,Kitchenware,95,27.52,Morocco,2614.4,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC6282,Kitchenware,19,8.37,Morocco,159.02999999999997,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC9241,Kitchenware,18,6.13,Morocco,110.34,2010-12,2010-12,1
