InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536425,2010-12-01 12:08:00,13758.0,SC6490,Shoes,73,91.57,Morocco,6684.61,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3653,Shoes,93,62.88,Morocco,5847.84,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5849,Shoes,22,23.32,Morocco,513.04,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC3023,Shoes,11,6.28,Morocco,69.08,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC6906,Shoes,28,27.32,Morocco,764.96,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC4554,Shoes,15,13.29,Morocco,199.35,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC2923,Shoes,10,19.9,Morocco,199.0,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC6781,Shoes,62,33.86,Morocco,2099.32,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC5771,Shoes,92,30.81,Morocco,2834.52,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5331,Shoes,13,33.95,Morocco,441.35,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7567,Shoes,30,53.32,Morocco,1599.6,2010-12,2010-12,1
536803,2010-12-02 16:33:00,14911.0,SC5124,Shoes,93,46.32,Morocco,4307.76,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC8010,Shoes,8,32.15,Morocco,257.2,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC8496,Shoes,14,77.96,Morocco,1091.4399999999998,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC1156,Shoes,72,56.19,Morocco,4045.68,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1074,Shoes,36,78.19,Morocco,2814.84,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC1111,Shoes,57,30.67,Morocco,1748.19,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC7379,Shoes,12,55.14,Morocco,661.6800000000001,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC3154,Shoes,27,67.23,Morocco,1815.21,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3338,Shoes,84,17.46,Morocco,1466.64,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC7462,Shoes,90,62.73,Morocco,5645.7,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC4891,Shoes,86,9.61,Morocco,826.4599999999999,2010-12,2010-12,1
