InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC5710,Sports Equipment,19,78.95,Morocco,1500.05,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC5902,Sports Equipment,50,18.68,Morocco,934.0,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC5922,Sports Equipment,74,37.26,Morocco,2757.24,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4747,Sports Equipment,3,38.68,Morocco,116.04,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4004,Sports Equipment,54,90.17,Morocco,4869.18,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9579,Sports Equipment,97,10.2,Morocco,989.4,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC7613,Sports Equipment,96,8.55,Morocco,820.8000000000001,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7363,Sports Equipment,21,80.34,Morocco,1687.14,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC7562,Sports Equipment,12,5.39,Morocco,64.67999999999999,2010-12,2010-12,1
536594,2010-12-01 17:22:00,15235.0,SC1370,Sports Equipment,54,81.79,Morocco,4416.660000000001,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC9950,Sports Equipment,26,52.67,Morocco,1369.42,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC8902,Sports Equipment,84,8.47,Morocco,711.48,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC8313,Sports Equipment,68,21.78,Morocco,1481.04,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC8954,Sports Equipment,42,25.87,Morocco,1086.54,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC9907,Sports Equipment,8,86.88,Morocco,695.04,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC3736,Sports Equipment,13,88.42,Morocco,1149.46,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC3264,Sports Equipment,99,21.26,Morocco,2104.74,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4702,Sports Equipment,9,20.53,Morocco,184.77,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6599,Sports Equipment,88,14.06,Morocco,1237.28,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2403,Sports Equipment,20,49.19,Morocco,983.8,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC4802,Sports Equipment,15,76.25,Morocco,1143.75,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6523,Sports Equipment,87,23.41,Morocco,2036.67,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC9896,Sports Equipment,39,55.5,Morocco,2164.5,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2786,Sports Equipment,12,28.32,Morocco,339.84000000000003,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC3889,Sports Equipment,61,44.54,Morocco,2716.94,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8546,Sports Equipment,58,39.62,Morocco,2297.96,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2306,Sports Equipment,35,1.47,Morocco,51.45,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC4804,Sports Equipment,77,75.39,Morocco,5805.03,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC9106,Sports Equipment,42,82.97,Morocco,3484.74,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5918,Sports Equipment,33,87.11,Morocco,2874.63,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC2447,Sports Equipment,26,77.46,Morocco,2013.96,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC3733,Sports Equipment,81,4.4,Morocco,356.40000000000003,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC7994,Sports Equipment,46,40.26,Morocco,1851.96,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC6874,Sports Equipment,66,44.5,Morocco,2937.0,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC1013,Sports Equipment,70,40.14,Morocco,2809.8,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC1182,Sports Equipment,23,15.66,Morocco,360.18,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6104,Sports Equipment,27,53.4,Morocco,1441.8,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC2679,Sports Equipment,10,43.75,Morocco,437.5,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC9272,Sports Equipment,57,80.5,Morocco,4588.5,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC4768,Sports Equipment,12,47.48,Morocco,569.76,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC4127,Sports Equipment,37,22.03,Morocco,815.11,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC1232,Sports Equipment,16,23.26,Morocco,372.16,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC2401,Sports Equipment,82,16.75,Morocco,1373.5,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC4758,Sports Equipment,92,16.77,Morocco,1542.84,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC2600,Sports Equipment,6,94.26,Morocco,565.5600000000001,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC1260,Sports Equipment,67,53.53,Morocco,3586.51,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC2041,Sports Equipment,49,11.7,Morocco,573.3,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC8833,Sports Equipment,35,8.51,Morocco,297.85,2010-12,2010-12,1
