InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC2271,Toys,63,23.44,Morocco,1476.72,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC9971,Toys,16,18.78,Morocco,300.48,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6338,Toys,85,27.88,Morocco,2369.8,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC7913,Toys,21,55.41,Morocco,1163.61,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC2716,Toys,75,12.06,Morocco,904.5,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9032,Toys,62,58.15,Morocco,3605.3,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC9873,Toys,19,56.3,Morocco,1069.7,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC9316,Toys,54,19.65,Morocco,1061.1,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC9722,Toys,3,87.62,Morocco,262.86,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC8932,Toys,25,41.34,Morocco,1033.5,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC8227,Toys,22,18.19,Morocco,400.18,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC2123,Toys,91,4.48,Morocco,407.68000000000006,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3926,Toys,12,34.57,Morocco,414.84,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC1579,Toys,71,30.5,Morocco,2165.5,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC3402,Toys,30,82.07,Morocco,2462.1,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC4104,Toys,50,2.48,Morocco,124.0,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC6421,Toys,23,94.05,Morocco,2163.15,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC4199,Toys,86,75.37,Morocco,6481.820000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2159,Toys,79,10.42,Morocco,823.18,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1339,Toys,1,31.81,Morocco,31.81,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC7651,Toys,44,91.48,Morocco,4025.12,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC3933,Toys,95,81.3,Morocco,7723.5,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC2341,Toys,1,99.43,Morocco,99.43,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9507,Toys,66,63.62,Morocco,4198.92,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC5842,Toys,17,69.68,Morocco,1184.5600000000002,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC3865,Toys,77,81.72,Morocco,6292.44,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC9275,Toys,59,59.35,Morocco,3501.65,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC8884,Toys,94,5.49,Morocco,516.0600000000001,2010-12,2010-12,1
