InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC2378,Cloths,76,77.03,Mozambique,5854.28,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7324,Cloths,43,72.24,Mozambique,3106.32,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5922,Cloths,44,38.31,Mozambique,1685.64,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5601,Cloths,53,80.99,Mozambique,4292.469999999999,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7984,Cloths,53,50.15,Mozambique,2657.95,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC6375,Cloths,2,78.21,Mozambique,156.42,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC6423,Cloths,98,69.29,Mozambique,6790.420000000001,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7686,Cloths,93,72.17,Mozambique,6711.81,2010-12,2010-12,1
536672,2010-12-02 12:10:00,14491.0,SC8544,Cloths,28,95.66,Mozambique,2678.48,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC5684,Cloths,18,90.13,Mozambique,1622.34,2010-12,2010-12,1
536751,2010-12-02 14:05:00,17850.0,SC5574,Cloths,68,41.55,Mozambique,2825.4,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC8059,Cloths,34,82.49,Mozambique,2804.66,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC4250,Cloths,11,73.7,Mozambique,810.7,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC6555,Cloths,75,6.12,Mozambique,459.0,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC7560,Cloths,55,40.05,Mozambique,2202.75,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC2519,Cloths,84,64.51,Mozambique,5418.84,2010-12,2010-12,1
