InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536420,2010-12-01 12:03:00,16583.0,SC4955,Cosmetics,94,13.12,Mozambique,1233.28,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4826,Cosmetics,70,42.18,Mozambique,2952.6,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC5963,Cosmetics,91,19.1,Mozambique,1738.1,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3105,Cosmetics,19,94.15,Mozambique,1788.85,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8471,Cosmetics,15,26.28,Mozambique,394.2000000000001,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9234,Cosmetics,95,56.55,Mozambique,5372.25,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC6048,Cosmetics,92,73.91,Mozambique,6799.719999999999,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3211,Cosmetics,97,24.66,Mozambique,2392.02,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC7227,Cosmetics,67,75.19,Mozambique,5037.73,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC9665,Cosmetics,61,90.11,Mozambique,5496.71,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC3383,Cosmetics,38,59.02,Mozambique,2242.76,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1861,Cosmetics,66,81.6,Mozambique,5385.599999999999,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC5423,Cosmetics,38,74.33,Mozambique,2824.54,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC2037,Cosmetics,77,62.87,Mozambique,4840.99,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC2239,Cosmetics,93,52.03,Mozambique,4838.79,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC6282,Cosmetics,2,54.7,Mozambique,109.4,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC9645,Cosmetics,79,16.4,Mozambique,1295.6,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC7565,Cosmetics,58,19.84,Mozambique,1150.72,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC3805,Cosmetics,39,79.83,Mozambique,3113.37,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9108,Cosmetics,67,52.7,Mozambique,3530.9,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC8508,Cosmetics,81,42.26,Mozambique,3423.06,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC5055,Cosmetics,91,83.44,Mozambique,7593.04,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC3828,Cosmetics,62,36.27,Mozambique,2248.74,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC7050,Cosmetics,47,20.38,Mozambique,957.86,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC7265,Cosmetics,56,30.8,Mozambique,1724.8,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC5191,Cosmetics,51,85.57,Mozambique,4364.07,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC9450,Cosmetics,59,57.11,Mozambique,3369.49,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2779,Cosmetics,24,30.58,Mozambique,733.92,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1527,Cosmetics,19,63.66,Mozambique,1209.54,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3084,Cosmetics,39,70.53,Mozambique,2750.67,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC9319,Cosmetics,97,83.55,Mozambique,8104.349999999999,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC7195,Cosmetics,48,81.14,Mozambique,3894.72,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3770,Cosmetics,53,70.98,Mozambique,3761.94,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC6155,Cosmetics,39,26.25,Mozambique,1023.75,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC4072,Cosmetics,85,53.74,Mozambique,4567.900000000001,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC3453,Cosmetics,51,74.84,Mozambique,3816.84,2010-12,2010-12,1
537384,2010-12-06 13:21:00,15984.0,SC2634,Cosmetics,56,63.79,Mozambique,3572.24,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC7062,Cosmetics,52,10.83,Mozambique,563.16,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC6492,Cosmetics,80,36.74,Mozambique,2939.2000000000003,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC6282,Cosmetics,27,50.76,Mozambique,1370.52,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC3903,Cosmetics,6,46.61,Mozambique,279.66,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC6656,Cosmetics,33,68.2,Mozambique,2250.6,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC1004,Cosmetics,7,75.17,Mozambique,526.19,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC4322,Cosmetics,4,41.18,Mozambique,164.72,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC9464,Cosmetics,59,78.52,Mozambique,4632.679999999999,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC4301,Cosmetics,40,3.72,Mozambique,148.8,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC3291,Cosmetics,2,40.54,Mozambique,81.08,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC4540,Cosmetics,30,42.68,Mozambique,1280.4,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC7970,Cosmetics,19,52.35,Mozambique,994.65,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9808,Cosmetics,43,62.9,Mozambique,2704.7,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC1216,Cosmetics,90,59.98,Mozambique,5398.2,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC8882,Cosmetics,33,24.81,Mozambique,818.7299999999999,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC3383,Cosmetics,12,50.22,Mozambique,602.64,2010-12,2010-12,1
538032,2010-12-09 12:59:00,14479.0,SC4434,Cosmetics,34,9.39,Mozambique,319.26,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC8454,Cosmetics,18,66.49,Mozambique,1196.82,2010-12,2010-12,1
538068,2010-12-09 14:05:00,17978.0,SC3170,Cosmetics,84,29.7,Mozambique,2494.8,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC4648,Cosmetics,26,98.59,Mozambique,2563.34,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC5760,Cosmetics,83,61.99,Mozambique,5145.17,2010-12,2010-12,1
538157,2010-12-09 16:57:00,17576.0,SC6238,Cosmetics,15,82.62,Mozambique,1239.3000000000002,2010-12,2010-12,1
538166,2010-12-09 18:09:00,17965.0,SC6008,Cosmetics,33,79.5,Mozambique,2623.5,2010-12,2010-12,1
538166,2010-12-09 18:09:00,17965.0,SC4851,Cosmetics,11,8.52,Mozambique,93.72,2010-12,2010-12,1
538200,2010-12-10 11:11:00,17912.0,SC7274,Cosmetics,74,50.12,Mozambique,3708.88,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC7819,Cosmetics,66,17.18,Mozambique,1133.88,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC2499,Cosmetics,61,36.97,Mozambique,2255.17,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC2269,Cosmetics,97,11.45,Mozambique,1110.65,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC6188,Cosmetics,16,34.73,Mozambique,555.68,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC2166,Cosmetics,25,91.5,Mozambique,2287.5,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC9359,Cosmetics,65,3.9,Mozambique,253.5,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC9345,Cosmetics,74,46.31,Mozambique,3426.94,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC9308,Cosmetics,87,51.63,Mozambique,4491.81,2010-12,2010-12,1
538657,2010-12-13 15:26:00,15867.0,SC1412,Cosmetics,19,66.67,Mozambique,1266.73,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC6083,Cosmetics,56,53.75,Mozambique,3010.0,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC8255,Cosmetics,39,4.73,Mozambique,184.47000000000003,2010-12,2010-12,1
538715,2010-12-14 11:03:00,14907.0,SC5961,Cosmetics,40,31.15,Mozambique,1246.0,2010-12,2010-12,1
538801,2010-12-14 11:51:00,16083.0,SC1738,Cosmetics,89,53.09,Mozambique,4725.01,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC2823,Cosmetics,72,38.99,Mozambique,2807.28,2010-12,2010-12,1
538816,2010-12-14 12:35:00,16812.0,SC4071,Cosmetics,94,95.13,Mozambique,8942.22,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC8990,Cosmetics,33,60.19,Mozambique,1986.27,2010-12,2010-12,1
538832,2010-12-14 13:03:00,17158.0,SC5886,Cosmetics,76,37.83,Mozambique,2875.08,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC2244,Cosmetics,20,97.97,Mozambique,1959.4,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC2491,Cosmetics,64,40.95,Mozambique,2620.8,2010-12,2010-12,1
538851,2010-12-14 13:32:00,16556.0,SC3263,Cosmetics,67,71.94,Mozambique,4819.98,2010-12,2010-12,1
538854,2010-12-14 13:44:00,13102.0,SC1278,Cosmetics,41,33.6,Mozambique,1377.6,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC5570,Cosmetics,74,34.5,Mozambique,2553.0,2010-12,2010-12,1
538991,2010-12-15 11:53:00,17511.0,SC9923,Cosmetics,44,71.05,Mozambique,3126.2,2010-12,2010-12,1
538995,2010-12-15 12:05:00,13458.0,SC9555,Cosmetics,33,55.16,Mozambique,1820.28,2010-12,2010-12,1
539036,2010-12-15 14:35:00,14913.0,SC1630,Cosmetics,67,49.53,Mozambique,3318.51,2010-12,2010-12,1
539088,2010-12-16 09:45:00,13093.0,SC9646,Cosmetics,34,18.28,Mozambique,621.52,2010-12,2010-12,1
539101,2010-12-16 10:35:00,16029.0,SC9661,Cosmetics,66,71.9,Mozambique,4745.400000000001,2010-12,2010-12,1
539266,2010-12-16 15:07:00,17068.0,SC3362,Cosmetics,79,46.09,Mozambique,3641.11,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC5435,Cosmetics,10,61.51,Mozambique,615.1,2010-12,2010-12,1
539338,2010-12-17 10:54:00,17404.0,SC5529,Cosmetics,72,35.35,Mozambique,2545.2000000000003,2010-12,2010-12,1
539405,2010-12-17 12:38:00,12621.0,SC8131,Cosmetics,76,31.43,Mozambique,2388.68,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC4300,Cosmetics,44,20.17,Mozambique,887.48,2010-12,2010-12,1
539463,2010-12-19 11:19:00,18077.0,SC5040,Cosmetics,91,25.51,Mozambique,2321.4100000000003,2010-12,2010-12,1
539491,2010-12-20 10:09:00,14646.0,SC3251,Cosmetics,97,77.1,Mozambique,7478.7,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC5242,Cosmetics,26,13.48,Mozambique,350.48,2010-12,2010-12,1
539630,2010-12-20 14:59:00,17230.0,SC7175,Cosmetics,98,38.38,Mozambique,3761.24,2010-12,2010-12,1
539722,2010-12-21 13:45:00,14911.0,SC9772,Cosmetics,31,30.43,Mozambique,943.33,2010-12,2010-12,1
539728,2010-12-21 14:26:00,16270.0,SC1431,Cosmetics,13,64.43,Mozambique,837.5900000000001,2010-12,2010-12,1
539829,2010-12-22 12:47:00,12734.0,SC1063,Cosmetics,10,79.08,Mozambique,790.8,2010-12,2010-12,1
539921,2010-12-23 11:09:00,12748.0,SC9338,Cosmetics,39,44.43,Mozambique,1732.77,2010-12,2010-12,1
539982,2010-12-23 14:40:00,15311.0,SC5396,Cosmetics,24,39.55,Mozambique,949.2,2010-12,2010-12,1
540073,2011-01-04 14:47:00,16814.0,SC6309,Cosmetics,40,79.77,Mozambique,3190.8,2011-01,2011-01,1
540163,2011-01-05 11:52:00,13089.0,SC9905,Cosmetics,91,90.74,Mozambique,8257.34,2011-01,2010-12,2
540247,2011-01-05 15:56:00,15464.0,SC2682,Cosmetics,13,51.65,Mozambique,671.4499999999999,2011-01,2011-01,1
540277,2011-01-06 12:18:00,14258.0,SC3233,Cosmetics,58,50.81,Mozambique,2946.98,2011-01,2011-01,1
540277,2011-01-06 12:18:00,14258.0,SC5935,Cosmetics,74,18.48,Mozambique,1367.52,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC2439,Cosmetics,93,98.34,Mozambique,9145.62,2011-01,2011-01,1
540348,2011-01-06 13:56:00,12841.0,SC4665,Cosmetics,86,41.05,Mozambique,3530.3,2011-01,2010-12,2
540350,2011-01-06 14:14:00,18283.0,SC3064,Cosmetics,16,57.31,Mozambique,916.96,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC3236,Cosmetics,60,8.04,Mozambique,482.4,2011-01,2010-12,2
540383,2011-01-06 17:47:00,16422.0,SC4632,Cosmetics,52,41.17,Mozambique,2140.84,2011-01,2011-01,1
540453,2011-01-07 11:54:00,13426.0,SC6194,Cosmetics,42,43.14,Mozambique,1811.88,2011-01,2011-01,1
540453,2011-01-07 11:54:00,13426.0,SC8163,Cosmetics,44,17.7,Mozambique,778.8,2011-01,2011-01,1
540457,2011-01-07 12:26:00,14217.0,SC5334,Cosmetics,18,88.2,Mozambique,1587.6,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6496,Cosmetics,92,40.69,Mozambique,3743.48,2011-01,2011-01,1
540471,2011-01-07 14:21:00,15601.0,SC5760,Cosmetics,27,84.91,Mozambique,2292.57,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC6937,Cosmetics,37,75.62,Mozambique,2797.94,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC8630,Cosmetics,87,49.13,Mozambique,4274.31,2011-01,2011-01,1
540489,2011-01-07 16:32:00,13593.0,SC2216,Cosmetics,44,77.68,Mozambique,3417.92,2011-01,2011-01,1
540516,2011-01-09 12:01:00,16326.0,SC7501,Cosmetics,81,39.27,Mozambique,3180.8700000000003,2011-01,2011-01,1
540526,2011-01-09 13:41:00,14606.0,SC2912,Cosmetics,22,80.3,Mozambique,1766.6,2011-01,2010-12,2
540526,2011-01-09 13:41:00,14606.0,SC2688,Cosmetics,16,47.21,Mozambique,755.36,2011-01,2010-12,2
540530,2011-01-09 14:02:00,14755.0,SC1941,Cosmetics,91,2.88,Mozambique,262.08,2011-01,2011-01,1
540539,2011-01-09 14:42:00,18260.0,SC5000,Cosmetics,32,48.99,Mozambique,1567.68,2011-01,2011-01,1
540664,2011-01-10 15:18:00,15044.0,SC7710,Cosmetics,27,39.26,Mozambique,1060.02,2011-01,2010-12,2
540680,2011-01-10 16:24:00,15311.0,SC5440,Cosmetics,87,34.94,Mozambique,3039.78,2011-01,2010-12,2
540691,2011-01-11 08:50:00,17450.0,SC9602,Cosmetics,30,46.63,Mozambique,1398.9,2011-01,2011-01,1
540700,2011-01-11 09:47:00,12393.0,SC3721,Cosmetics,44,28.45,Mozambique,1251.8,2011-01,2011-01,1
540779,2011-01-11 11:18:00,15346.0,SC1747,Cosmetics,94,11.52,Mozambique,1082.88,2011-01,2011-01,1
540803,2011-01-11 12:30:00,14669.0,SC9116,Cosmetics,32,68.35,Mozambique,2187.2,2011-01,2011-01,1
540809,2011-01-11 12:37:00,18095.0,SC2997,Cosmetics,100,34.66,Mozambique,3465.9999999999995,2011-01,2011-01,1
540813,2011-01-11 12:41:00,14669.0,SC6723,Cosmetics,2,96.53,Mozambique,193.06,2011-01,2011-01,1
540816,2011-01-11 12:55:00,15518.0,SC5599,Cosmetics,41,94.87,Mozambique,3889.67,2011-01,2011-01,1
540838,2011-01-11 15:13:00,13862.0,SC7381,Cosmetics,71,27.04,Mozambique,1919.84,2011-01,2011-01,1
541122,2011-01-14 09:23:00,12708.0,SC3227,Cosmetics,54,40.06,Mozambique,2163.24,2011-01,2011-01,1
541213,2011-01-14 13:28:00,15033.0,SC7835,Cosmetics,61,58.17,Mozambique,3548.37,2011-01,2011-01,1
541266,2011-01-16 16:25:00,15673.0,SC4804,Cosmetics,14,31.49,Mozambique,440.86,2011-01,2011-01,1
541268,2011-01-17 10:52:00,12872.0,SC1102,Cosmetics,87,60.98,Mozambique,5305.259999999999,2011-01,2011-01,1
541274,2011-01-17 11:24:00,15696.0,SC4490,Cosmetics,3,33.21,Mozambique,99.63,2011-01,2011-01,1
541292,2011-01-17 13:30:00,15596.0,SC9101,Cosmetics,3,17.65,Mozambique,52.95,2011-01,2011-01,1
541293,2011-01-17 13:39:00,15311.0,SC6279,Cosmetics,30,83.01,Mozambique,2490.3,2011-01,2010-12,2
