InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC8195,Electronics,56,69.1,Mozambique,3869.6,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC8144,Electronics,81,42.73,Mozambique,3461.13,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC4947,Electronics,29,38.0,Mozambique,1102.0,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC4250,Electronics,73,85.11,Mozambique,6213.03,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5352,Electronics,88,51.65,Mozambique,4545.2,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7769,Electronics,51,68.84,Mozambique,3510.84,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC1677,Electronics,47,29.42,Mozambique,1382.74,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC5387,Electronics,27,12.62,Mozambique,340.73999999999995,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC6137,Electronics,19,50.85,Mozambique,966.15,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC3147,Electronics,59,77.84,Mozambique,4592.56,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC9327,Electronics,9,32.5,Mozambique,292.5,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC1983,Electronics,59,37.97,Mozambique,2240.23,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC8552,Electronics,29,51.02,Mozambique,1479.5800000000002,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6730,Electronics,85,67.43,Mozambique,5731.55,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC4972,Electronics,72,5.5,Mozambique,396.0,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3519,Electronics,31,98.71,Mozambique,3060.01,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC7901,Electronics,52,3.51,Mozambique,182.52,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC2356,Electronics,40,70.16,Mozambique,2806.4,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC9675,Electronics,93,57.92,Mozambique,5386.56,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC8223,Electronics,95,8.09,Mozambique,768.55,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC8392,Electronics,92,6.58,Mozambique,605.36,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC4548,Electronics,26,4.44,Mozambique,115.44,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC4469,Electronics,23,71.58,Mozambique,1646.34,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC3856,Electronics,56,14.83,Mozambique,830.48,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC7282,Electronics,17,74.72,Mozambique,1270.24,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC5186,Electronics,42,5.91,Mozambique,248.22,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC3980,Electronics,12,55.46,Mozambique,665.52,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC2154,Electronics,64,58.99,Mozambique,3775.36,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC3646,Electronics,17,16.3,Mozambique,277.1,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC8839,Electronics,26,61.66,Mozambique,1603.16,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC7779,Electronics,90,94.53,Mozambique,8507.7,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC7432,Electronics,90,12.44,Mozambique,1119.6,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5515,Electronics,14,8.07,Mozambique,112.98,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC4156,Electronics,5,62.69,Mozambique,313.45,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC9515,Electronics,79,76.63,Mozambique,6053.77,2010-12,2010-12,1
537605,2010-12-07 13:13:00,16221.0,SC2388,Electronics,90,75.56,Mozambique,6800.400000000001,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC3881,Electronics,10,21.35,Mozambique,213.5,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC9584,Electronics,66,12.87,Mozambique,849.42,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC7558,Electronics,49,7.45,Mozambique,365.05,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC9422,Electronics,50,22.01,Mozambique,1100.5,2010-12,2010-12,1
537817,2010-12-08 13:53:00,18269.0,SC5451,Electronics,7,24.56,Mozambique,171.92,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC9891,Electronics,72,40.93,Mozambique,2946.96,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC2727,Electronics,45,56.51,Mozambique,2542.95,2010-12,2010-12,1
537859,2010-12-08 16:11:00,14030.0,SC6258,Electronics,7,19.56,Mozambique,136.92,2010-12,2010-12,1
537862,2010-12-08 16:21:00,12971.0,SC8340,Electronics,67,91.69,Mozambique,6143.23,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC4066,Electronics,16,61.9,Mozambique,990.4,2010-12,2010-12,1
538014,2010-12-09 12:49:00,14440.0,SC5164,Electronics,7,89.4,Mozambique,625.8000000000001,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC5767,Electronics,19,46.6,Mozambique,885.4,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC7866,Electronics,10,78.82,Mozambique,788.1999999999999,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC4309,Electronics,85,23.7,Mozambique,2014.5,2010-12,2010-12,1
538166,2010-12-09 18:09:00,17965.0,SC7405,Electronics,99,77.09,Mozambique,7631.910000000001,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC2440,Electronics,93,56.63,Mozambique,5266.59,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC5850,Electronics,54,94.72,Mozambique,5114.88,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC3928,Electronics,66,28.85,Mozambique,1904.1,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC8306,Electronics,29,72.11,Mozambique,2091.19,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC3737,Electronics,56,5.14,Mozambique,287.84,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC3493,Electronics,95,23.85,Mozambique,2265.75,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC7006,Electronics,13,55.96,Mozambique,727.48,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC7499,Electronics,64,93.21,Mozambique,5965.44,2010-12,2010-12,1
538417,2010-12-12 11:54:00,16393.0,SC3002,Electronics,51,57.32,Mozambique,2923.32,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC1541,Electronics,27,45.71,Mozambique,1234.17,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC6158,Electronics,43,95.84,Mozambique,4121.12,2010-12,2010-12,1
538519,2010-12-12 16:20:00,18037.0,SC3829,Electronics,60,26.95,Mozambique,1617.0,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC8408,Electronics,37,42.17,Mozambique,1560.29,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC8082,Electronics,92,24.23,Mozambique,2229.16,2010-12,2010-12,1
538660,2010-12-13 15:37:00,15808.0,SC9914,Electronics,74,97.0,Mozambique,7178.0,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC1551,Electronics,7,70.27,Mozambique,491.89,2010-12,2010-12,1
538687,2010-12-14 09:50:00,13324.0,SC6890,Electronics,30,13.03,Mozambique,390.9,2010-12,2010-12,1
538710,2010-12-14 10:48:00,18075.0,SC7354,Electronics,29,16.04,Mozambique,465.16,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC4750,Electronics,82,1.52,Mozambique,124.64,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC4340,Electronics,46,60.49,Mozambique,2782.54,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC4472,Electronics,43,65.41,Mozambique,2812.63,2010-12,2010-12,1
538855,2010-12-14 13:50:00,16503.0,SC4560,Electronics,38,72.5,Mozambique,2755.0,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC7136,Electronics,92,1.19,Mozambique,109.48,2010-12,2010-12,1
539043,2010-12-15 15:45:00,12928.0,SC6500,Electronics,47,64.54,Mozambique,3033.38,2010-12,2010-12,1
539053,2010-12-15 16:32:00,16725.0,SC3259,Electronics,81,17.0,Mozambique,1377.0,2010-12,2010-12,1
539181,2010-12-16 11:51:00,12748.0,SC2495,Electronics,73,97.91,Mozambique,7147.429999999999,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC3935,Electronics,11,49.29,Mozambique,542.1899999999999,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC5505,Electronics,29,90.63,Mozambique,2628.27,2010-12,2010-12,1
539353,2010-12-17 11:30:00,12782.0,SC7654,Electronics,9,23.95,Mozambique,215.55,2010-12,2010-12,1
539395,2010-12-17 11:52:00,12471.0,SC5001,Electronics,43,83.31,Mozambique,3582.33,2010-12,2010-12,1
539466,2010-12-19 12:46:00,12668.0,SC1949,Electronics,93,74.64,Mozambique,6941.52,2010-12,2010-12,1
539468,2010-12-19 13:31:00,15044.0,SC8634,Electronics,36,15.72,Mozambique,565.9200000000001,2010-12,2010-12,1
