InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC7448,Furniture,4,89.05,Mozambique,356.2,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4651,Furniture,45,38.06,Mozambique,1712.7,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7371,Furniture,43,90.89,Mozambique,3908.27,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3912,Furniture,34,93.61,Mozambique,3182.74,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC1536,Furniture,86,2.48,Mozambique,213.28,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9474,Furniture,60,52.88,Mozambique,3172.8,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC8088,Furniture,6,37.36,Mozambique,224.16,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4193,Furniture,96,65.32,Mozambique,6270.719999999999,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC9073,Furniture,96,20.48,Mozambique,1966.08,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7759,Furniture,76,29.79,Mozambique,2264.04,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC5441,Furniture,24,17.55,Mozambique,421.2000000000001,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC5324,Furniture,46,81.34,Mozambique,3741.64,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8685,Furniture,45,14.97,Mozambique,673.65,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC2533,Furniture,87,41.6,Mozambique,3619.2,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC5751,Furniture,18,70.74,Mozambique,1273.32,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC8229,Furniture,58,87.02,Mozambique,5047.16,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC6665,Furniture,70,19.18,Mozambique,1342.6,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC4411,Furniture,27,95.8,Mozambique,2586.6,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC1866,Furniture,15,25.02,Mozambique,375.3,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6169,Furniture,6,46.67,Mozambique,280.02,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC3608,Furniture,81,62.33,Mozambique,5048.73,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1057,Furniture,2,68.2,Mozambique,136.4,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6398,Furniture,3,88.79,Mozambique,266.37,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC6557,Furniture,67,66.52,Mozambique,4456.84,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC7631,Furniture,66,90.47,Mozambique,5971.02,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5851,Furniture,38,96.51,Mozambique,3667.38,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC8928,Furniture,75,24.05,Mozambique,1803.75,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4943,Furniture,59,13.8,Mozambique,814.2,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC9724,Furniture,62,8.25,Mozambique,511.5,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC6869,Furniture,78,46.89,Mozambique,3657.42,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC4950,Furniture,34,94.85,Mozambique,3224.9,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC9967,Furniture,62,28.02,Mozambique,1737.24,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC4817,Furniture,22,74.67,Mozambique,1642.74,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC3713,Furniture,94,35.4,Mozambique,3327.6,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC6978,Furniture,12,8.6,Mozambique,103.2,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC5725,Furniture,79,16.54,Mozambique,1306.66,2010-12,2010-12,1
537635,2010-12-07 15:18:00,16306.0,SC3515,Furniture,45,49.61,Mozambique,2232.45,2010-12,2010-12,1
537758,2010-12-08 11:41:00,16122.0,SC3999,Furniture,84,20.92,Mozambique,1757.2800000000002,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC4678,Furniture,63,31.29,Mozambique,1971.27,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC9092,Furniture,9,13.6,Mozambique,122.4,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8162,Furniture,58,51.15,Mozambique,2966.7,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC4816,Furniture,22,95.92,Mozambique,2110.24,2010-12,2010-12,1
537851,2010-12-08 15:39:00,13758.0,SC5434,Furniture,90,68.31,Mozambique,6147.900000000001,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9135,Furniture,31,90.6,Mozambique,2808.6,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC8256,Furniture,1,64.76,Mozambique,64.76,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC1156,Furniture,52,18.32,Mozambique,952.64,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC6113,Furniture,39,62.9,Mozambique,2453.1,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC5849,Furniture,99,50.79,Mozambique,5028.21,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC8543,Furniture,21,91.54,Mozambique,1922.34,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC4378,Furniture,54,20.77,Mozambique,1121.58,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC5326,Furniture,24,86.59,Mozambique,2078.16,2010-12,2010-12,1
538343,2010-12-10 14:29:00,13448.0,SC5791,Furniture,13,8.84,Mozambique,114.92,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC9233,Furniture,6,51.13,Mozambique,306.78000000000003,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC9458,Furniture,49,90.81,Mozambique,4449.6900000000005,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC1032,Furniture,20,12.06,Mozambique,241.2,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC4267,Furniture,53,6.79,Mozambique,359.87,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC3485,Furniture,51,13.38,Mozambique,682.38,2010-12,2010-12,1
538541,2010-12-13 10:46:00,17428.0,SC6260,Furniture,35,50.59,Mozambique,1770.65,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC9386,Furniture,7,94.64,Mozambique,662.48,2010-12,2010-12,1
538708,2010-12-14 10:43:00,16202.0,SC2294,Furniture,66,17.32,Mozambique,1143.12,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC4463,Furniture,61,99.26,Mozambique,6054.860000000001,2010-12,2010-12,1
538809,2010-12-14 12:17:00,15514.0,SC7042,Furniture,1,55.07,Mozambique,55.07,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC1770,Furniture,75,26.05,Mozambique,1953.75,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC8896,Furniture,92,94.79,Mozambique,8720.68,2010-12,2010-12,1
538865,2010-12-14 14:37:00,13238.0,SC8688,Furniture,33,73.2,Mozambique,2415.6,2010-12,2010-12,1
538871,2010-12-14 15:02:00,14051.0,SC2014,Furniture,87,31.86,Mozambique,2771.82,2010-12,2010-12,1
538942,2010-12-15 11:14:00,17346.0,SC8684,Furniture,87,9.14,Mozambique,795.1800000000001,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC1043,Furniture,42,15.24,Mozambique,640.08,2010-12,2010-12,1
538967,2010-12-15 11:32:00,13495.0,SC5356,Furniture,63,71.8,Mozambique,4523.4,2010-12,2010-12,1
538991,2010-12-15 11:53:00,17511.0,SC1865,Furniture,47,56.36,Mozambique,2648.92,2010-12,2010-12,1
539000,2010-12-15 12:27:00,13092.0,SC2432,Furniture,81,48.54,Mozambique,3931.74,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC9099,Furniture,2,43.55,Mozambique,87.1,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC2298,Furniture,81,33.74,Mozambique,2732.94,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC2877,Furniture,1,2.3,Mozambique,2.3,2010-12,2010-12,1
539084,2010-12-16 09:31:00,13890.0,SC8343,Furniture,59,18.31,Mozambique,1080.29,2010-12,2010-12,1
539222,2010-12-16 13:00:00,14621.0,SC1476,Furniture,25,12.14,Mozambique,303.5,2010-12,2010-12,1
539243,2010-12-16 13:21:00,18116.0,SC8456,Furniture,10,85.16,Mozambique,851.5999999999999,2010-12,2010-12,1
539255,2010-12-16 14:26:00,16316.0,SC5212,Furniture,14,62.49,Mozambique,874.86,2010-12,2010-12,1
539256,2010-12-16 14:27:00,15601.0,SC7751,Furniture,81,76.64,Mozambique,6207.84,2010-12,2010-12,1
539262,2010-12-16 14:35:00,15789.0,SC4089,Furniture,98,34.5,Mozambique,3381.0,2010-12,2010-12,1
539282,2010-12-16 15:45:00,16770.0,SC5830,Furniture,58,71.88,Mozambique,4169.04,2010-12,2010-12,1
539292,2010-12-16 16:42:00,16539.0,SC6448,Furniture,22,36.43,Mozambique,801.46,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC6380,Furniture,37,96.54,Mozambique,3571.98,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC2876,Furniture,62,45.92,Mozambique,2847.04,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC9809,Furniture,17,73.81,Mozambique,1254.77,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC4415,Furniture,63,1.38,Mozambique,86.94,2010-12,2010-12,1
539326,2010-12-17 09:22:00,14560.0,SC8602,Furniture,7,97.74,Mozambique,684.18,2010-12,2010-12,1
539443,2010-12-17 15:52:00,14031.0,SC9959,Furniture,24,29.33,Mozambique,703.92,2010-12,2010-12,1
539465,2010-12-19 11:38:00,16684.0,SC5882,Furniture,64,82.34,Mozambique,5269.76,2010-12,2010-12,1
539491,2010-12-20 10:09:00,14646.0,SC1066,Furniture,76,19.78,Mozambique,1503.2800000000002,2010-12,2010-12,1
539502,2010-12-20 11:14:00,14099.0,SC5327,Furniture,55,53.29,Mozambique,2930.95,2010-12,2010-12,1
539659,2010-12-21 09:47:00,15034.0,SC3437,Furniture,47,63.48,Mozambique,2983.56,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC1659,Furniture,23,83.54,Mozambique,1921.42,2010-12,2010-12,1
540019,2011-01-04 12:18:00,12957.0,SC4707,Furniture,71,23.33,Mozambique,1656.4299999999998,2011-01,2011-01,1
540021,2011-01-04 12:51:00,17841.0,SC6150,Furniture,61,14.06,Mozambique,857.6600000000001,2011-01,2010-12,2
540023,2011-01-04 12:58:00,15039.0,SC9203,Furniture,29,61.07,Mozambique,1771.03,2011-01,2010-12,2
540028,2011-01-04 13:38:00,14180.0,SC3334,Furniture,12,92.47,Mozambique,1109.64,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC1419,Furniture,67,81.54,Mozambique,5463.18,2011-01,2010-12,2
540183,2011-01-05 13:37:00,15093.0,SC6272,Furniture,1,77.85,Mozambique,77.85,2011-01,2011-01,1
540275,2011-01-06 12:11:00,13680.0,SC5761,Furniture,55,20.96,Mozambique,1152.8,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC5023,Furniture,91,76.47,Mozambique,6958.77,2011-01,2011-01,1
540416,2011-01-07 10:55:00,16473.0,SC8321,Furniture,79,35.07,Mozambique,2770.53,2011-01,2011-01,1
540420,2011-01-07 11:13:00,12829.0,SC1279,Furniture,25,29.1,Mozambique,727.5,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC3803,Furniture,32,53.85,Mozambique,1723.2,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6808,Furniture,71,61.37,Mozambique,4357.27,2011-01,2011-01,1
540469,2011-01-07 14:04:00,12484.0,SC4661,Furniture,69,74.09,Mozambique,5112.21,2011-01,2011-01,1
540530,2011-01-09 14:02:00,14755.0,SC4440,Furniture,11,49.22,Mozambique,541.42,2011-01,2011-01,1
540530,2011-01-09 14:02:00,14755.0,SC9962,Furniture,50,33.4,Mozambique,1670.0,2011-01,2011-01,1
540604,2011-01-10 11:38:00,15326.0,SC8707,Furniture,33,28.48,Mozambique,939.84,2011-01,2011-01,1
540635,2011-01-10 12:03:00,14229.0,SC3149,Furniture,84,9.07,Mozambique,761.88,2011-01,2011-01,1
540639,2011-01-10 12:28:00,13107.0,SC2913,Furniture,61,43.36,Mozambique,2644.96,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC6227,Furniture,70,42.58,Mozambique,2980.6,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC2496,Furniture,28,51.88,Mozambique,1452.64,2011-01,2011-01,1
540664,2011-01-10 15:18:00,15044.0,SC4827,Furniture,51,93.02,Mozambique,4744.02,2011-01,2011-01,1
