InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536368,2010-12-01 08:34:00,13047.0,SC3349,Jewelry,62,62.89,Mozambique,3899.18,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2228,Jewelry,47,77.55,Mozambique,3644.85,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC7112,Jewelry,86,97.82,Mozambique,8412.519999999999,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2049,Jewelry,81,84.43,Mozambique,6838.830000000001,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC1788,Jewelry,66,78.47,Mozambique,5179.02,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7870,Jewelry,2,47.54,Mozambique,95.08,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC9518,Jewelry,64,10.43,Mozambique,667.52,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC2446,Jewelry,88,44.09,Mozambique,3879.92,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2494,Jewelry,17,28.16,Mozambique,478.72,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8052,Jewelry,93,79.8,Mozambique,7421.4,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC8595,Jewelry,67,7.15,Mozambique,479.05,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC8213,Jewelry,96,50.5,Mozambique,4848.0,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC7245,Jewelry,62,6.03,Mozambique,373.86,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC4572,Jewelry,91,80.92,Mozambique,7363.72,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC5328,Jewelry,35,35.6,Mozambique,1246.0,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC9633,Jewelry,61,52.86,Mozambique,3224.46,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC8704,Jewelry,15,84.5,Mozambique,1267.5,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC3333,Jewelry,78,92.28,Mozambique,7197.84,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC2598,Jewelry,93,44.65,Mozambique,4152.45,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5896,Jewelry,27,83.11,Mozambique,2243.97,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9213,Jewelry,42,57.27,Mozambique,2405.34,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC7164,Jewelry,31,76.69,Mozambique,2377.39,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9941,Jewelry,19,23.77,Mozambique,451.63,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC4200,Jewelry,64,93.39,Mozambique,5976.96,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3042,Jewelry,43,35.63,Mozambique,1532.09,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8008,Jewelry,14,66.79,Mozambique,935.06,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC9407,Jewelry,19,34.4,Mozambique,653.6,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8066,Jewelry,94,35.07,Mozambique,3296.58,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6546,Jewelry,12,27.22,Mozambique,326.64,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC8316,Jewelry,73,48.18,Mozambique,3517.14,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6917,Jewelry,63,58.99,Mozambique,3716.37,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC7687,Jewelry,10,33.63,Mozambique,336.3,2010-12,2010-12,1
