InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536392,2010-12-01 10:29:00,13705.0,SC8547,Kitchenware,32,22.62,Mozambique,723.84,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3110,Kitchenware,54,65.89,Mozambique,3558.06,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8327,Kitchenware,27,47.98,Mozambique,1295.4599999999998,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5026,Kitchenware,19,56.09,Mozambique,1065.71,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2637,Kitchenware,80,15.61,Mozambique,1248.8,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7904,Kitchenware,100,25.63,Mozambique,2563.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1575,Kitchenware,3,76.94,Mozambique,230.82,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC3387,Kitchenware,14,10.24,Mozambique,143.36,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC1426,Kitchenware,23,9.02,Mozambique,207.46,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC9466,Kitchenware,70,82.57,Mozambique,5779.9,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9569,Kitchenware,58,74.86,Mozambique,4341.88,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC3941,Kitchenware,45,65.38,Mozambique,2942.1,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC5818,Kitchenware,68,29.0,Mozambique,1972.0,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC4180,Kitchenware,65,4.31,Mozambique,280.15,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC2132,Kitchenware,27,64.63,Mozambique,1745.0099999999998,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC8403,Kitchenware,59,67.6,Mozambique,3988.4,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC6838,Kitchenware,5,16.28,Mozambique,81.4,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6704,Kitchenware,14,8.22,Mozambique,115.08,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8552,Kitchenware,6,27.42,Mozambique,164.52,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4031,Kitchenware,45,62.67,Mozambique,2820.15,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC4564,Kitchenware,95,37.4,Mozambique,3553.0,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC8449,Kitchenware,59,77.05,Mozambique,4545.95,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC7905,Kitchenware,73,41.47,Mozambique,3027.31,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC5643,Kitchenware,18,77.63,Mozambique,1397.34,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC4819,Kitchenware,1,58.36,Mozambique,58.36,2010-12,2010-12,1
537213,2010-12-05 15:26:00,12748.0,SC3579,Kitchenware,29,97.31,Mozambique,2821.99,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2755,Kitchenware,27,2.58,Mozambique,69.66,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC3638,Kitchenware,32,75.57,Mozambique,2418.24,2010-12,2010-12,1
