InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC8059,Shoes,81,81.59,Mozambique,6608.79,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC2055,Shoes,44,9.05,Mozambique,398.2000000000001,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC6471,Shoes,24,37.79,Mozambique,906.96,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8061,Shoes,93,52.3,Mozambique,4863.9,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5057,Shoes,48,7.98,Mozambique,383.04,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC2734,Shoes,18,15.33,Mozambique,275.94,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC2787,Shoes,67,14.48,Mozambique,970.16,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9848,Shoes,37,40.3,Mozambique,1491.1,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9698,Shoes,1,71.47,Mozambique,71.47,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC1447,Shoes,79,64.99,Mozambique,5134.21,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC8101,Shoes,27,41.36,Mozambique,1116.72,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6926,Shoes,20,55.16,Mozambique,1103.1999999999998,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4914,Shoes,78,95.05,Mozambique,7413.9,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC6638,Shoes,4,69.39,Mozambique,277.56,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8687,Shoes,65,69.98,Mozambique,4548.7,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC5466,Shoes,38,85.04,Mozambique,3231.5200000000004,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC3752,Shoes,86,8.19,Mozambique,704.3399999999999,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC9793,Shoes,57,48.11,Mozambique,2742.27,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC1431,Shoes,56,87.78,Mozambique,4915.68,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC1166,Shoes,61,24.19,Mozambique,1475.59,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC2949,Shoes,75,7.28,Mozambique,546.0,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC7349,Shoes,85,75.64,Mozambique,6429.4,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC6104,Shoes,70,63.2,Mozambique,4424.0,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC4047,Shoes,63,10.97,Mozambique,691.11,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC7745,Shoes,89,42.17,Mozambique,3753.13,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC8892,Shoes,30,61.27,Mozambique,1838.1,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5527,Shoes,52,29.72,Mozambique,1545.44,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC3625,Shoes,57,28.61,Mozambique,1630.77,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC8727,Shoes,20,58.83,Mozambique,1176.6,2010-12,2010-12,1
537247,2010-12-06 10:34:00,13094.0,SC2515,Shoes,20,11.41,Mozambique,228.2,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC3907,Shoes,19,85.76,Mozambique,1629.44,2010-12,2010-12,1
537371,2010-12-06 12:47:00,15028.0,SC5105,Shoes,84,94.85,Mozambique,7967.4,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC6925,Shoes,65,50.0,Mozambique,3250.0,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC9309,Shoes,45,40.25,Mozambique,1811.25,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC8166,Shoes,41,6.36,Mozambique,260.76,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC5908,Shoes,57,42.33,Mozambique,2412.81,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2998,Shoes,91,23.69,Mozambique,2155.79,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2630,Shoes,91,1.15,Mozambique,104.65,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC3529,Shoes,11,36.25,Mozambique,398.75,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC7211,Shoes,5,65.98,Mozambique,329.90000000000003,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC4672,Shoes,41,23.69,Mozambique,971.29,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC7608,Shoes,8,21.71,Mozambique,173.68,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC3258,Shoes,45,80.89,Mozambique,3640.05,2010-12,2010-12,1
537799,2010-12-08 13:07:00,15916.0,SC5845,Shoes,90,98.38,Mozambique,8854.199999999999,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC1428,Shoes,83,45.06,Mozambique,3739.98,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC2548,Shoes,94,47.93,Mozambique,4505.42,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC5951,Shoes,97,15.4,Mozambique,1493.8,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC9506,Shoes,37,93.8,Mozambique,3470.6,2010-12,2010-12,1
538180,2010-12-10 09:53:00,13418.0,SC2130,Shoes,16,15.28,Mozambique,244.48,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC7117,Shoes,88,80.12,Mozambique,7050.56,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC8260,Shoes,57,37.88,Mozambique,2159.1600000000003,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC8833,Shoes,15,36.0,Mozambique,540.0,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC3274,Shoes,80,75.5,Mozambique,6040.0,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC3610,Shoes,27,85.64,Mozambique,2312.28,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC3410,Shoes,20,12.09,Mozambique,241.8,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC1819,Shoes,95,73.67,Mozambique,6998.650000000001,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC1010,Shoes,70,26.33,Mozambique,1843.1,2010-12,2010-12,1
538567,2010-12-13 11:23:00,13999.0,SC1608,Shoes,68,63.66,Mozambique,4328.88,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC8942,Shoes,69,97.37,Mozambique,6718.530000000001,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC4944,Shoes,42,82.8,Mozambique,3477.6,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC1211,Shoes,94,80.0,Mozambique,7520.0,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC9140,Shoes,32,20.54,Mozambique,657.28,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC8512,Shoes,31,45.61,Mozambique,1413.91,2010-12,2010-12,1
538660,2010-12-13 15:37:00,15808.0,SC2091,Shoes,93,70.56,Mozambique,6562.08,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC5688,Shoes,5,94.29,Mozambique,471.4500000000001,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC7019,Shoes,7,26.83,Mozambique,187.81,2010-12,2010-12,1
538795,2010-12-14 11:42:00,13267.0,SC5320,Shoes,88,62.02,Mozambique,5457.76,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC5637,Shoes,2,4.34,Mozambique,8.68,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC7622,Shoes,11,54.11,Mozambique,595.21,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC7052,Shoes,70,10.69,Mozambique,748.3,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC6607,Shoes,15,11.13,Mozambique,166.95000000000002,2010-12,2010-12,1
