InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC2059,Sports Equipment,26,57.79,Mozambique,1502.54,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4397,Sports Equipment,42,98.12,Mozambique,4121.04,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2990,Sports Equipment,26,10.4,Mozambique,270.40000000000003,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4067,Sports Equipment,25,31.8,Mozambique,795.0,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC9327,Sports Equipment,11,65.96,Mozambique,725.56,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC4567,Sports Equipment,77,12.32,Mozambique,948.64,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7843,Sports Equipment,5,80.5,Mozambique,402.5,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC3942,Sports Equipment,80,33.8,Mozambique,2704.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC2595,Sports Equipment,78,30.46,Mozambique,2375.88,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9043,Sports Equipment,55,33.95,Mozambique,1867.25,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC6669,Sports Equipment,74,52.91,Mozambique,3915.34,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC5536,Sports Equipment,95,95.68,Mozambique,9089.6,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC8199,Sports Equipment,80,19.32,Mozambique,1545.6,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1327,Sports Equipment,44,30.87,Mozambique,1358.28,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7397,Sports Equipment,7,99.25,Mozambique,694.75,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC8409,Sports Equipment,31,21.92,Mozambique,679.5200000000001,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC3650,Sports Equipment,12,26.78,Mozambique,321.36,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8046,Sports Equipment,89,79.83,Mozambique,7104.87,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3930,Sports Equipment,29,59.39,Mozambique,1722.31,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7344,Sports Equipment,90,28.73,Mozambique,2585.7,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC3023,Sports Equipment,37,63.2,Mozambique,2338.4,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1191,Sports Equipment,39,30.3,Mozambique,1181.7,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC5900,Sports Equipment,100,19.37,Mozambique,1937.0,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC2453,Sports Equipment,57,79.04,Mozambique,4505.280000000001,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC4087,Sports Equipment,88,4.76,Mozambique,418.88,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC1082,Sports Equipment,82,61.74,Mozambique,5062.68,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC5400,Sports Equipment,44,23.4,Mozambique,1029.6,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2660,Sports Equipment,91,63.67,Mozambique,5793.97,2010-12,2010-12,1
537593,2010-12-07 12:21:00,14282.0,SC2586,Sports Equipment,29,81.72,Mozambique,2369.88,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC3407,Sports Equipment,25,96.26,Mozambique,2406.5,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC8690,Sports Equipment,10,29.83,Mozambique,298.29999999999995,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC9798,Sports Equipment,67,31.53,Mozambique,2112.51,2010-12,2010-12,1
537658,2010-12-07 16:43:00,18102.0,SC6188,Sports Equipment,66,50.43,Mozambique,3328.38,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC3925,Sports Equipment,62,34.83,Mozambique,2159.46,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC5778,Sports Equipment,32,97.16,Mozambique,3109.12,2010-12,2010-12,1
537690,2010-12-08 10:38:00,13983.0,SC7555,Sports Equipment,15,30.74,Mozambique,461.1,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC1976,Sports Equipment,37,45.62,Mozambique,1687.9399999999998,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC4454,Sports Equipment,71,56.69,Mozambique,4024.99,2010-12,2010-12,1
537789,2010-12-08 12:49:00,14051.0,SC7643,Sports Equipment,62,59.8,Mozambique,3707.6,2010-12,2010-12,1
537847,2010-12-08 15:33:00,14766.0,SC8703,Sports Equipment,5,75.95,Mozambique,379.75,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC5726,Sports Equipment,45,51.46,Mozambique,2315.7,2010-12,2010-12,1
537894,2010-12-09 10:16:00,12621.0,SC3856,Sports Equipment,27,17.54,Mozambique,473.58,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC8035,Sports Equipment,36,49.99,Mozambique,1799.64,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC4339,Sports Equipment,15,28.21,Mozambique,423.15,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC9977,Sports Equipment,21,17.5,Mozambique,367.5,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC6122,Sports Equipment,4,40.74,Mozambique,162.96,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC9369,Sports Equipment,68,27.16,Mozambique,1846.88,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2053,Sports Equipment,91,44.73,Mozambique,4070.43,2010-12,2010-12,1
538106,2010-12-09 15:20:00,17950.0,SC7279,Sports Equipment,27,65.42,Mozambique,1766.34,2010-12,2010-12,1
538190,2010-12-10 10:47:00,17790.0,SC4650,Sports Equipment,30,18.84,Mozambique,565.2,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC4729,Sports Equipment,21,38.52,Mozambique,808.9200000000001,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC2475,Sports Equipment,97,45.33,Mozambique,4397.01,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC6418,Sports Equipment,61,60.29,Mozambique,3677.69,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC9761,Sports Equipment,92,56.48,Mozambique,5196.16,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC2739,Sports Equipment,78,78.19,Mozambique,6098.82,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC9962,Sports Equipment,32,86.94,Mozambique,2782.08,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC6195,Sports Equipment,73,41.1,Mozambique,3000.3,2010-12,2010-12,1
