InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536386,2010-12-01 09:57:00,16029.0,SC4338,Toys,37,76.0,Mozambique,2812.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1258,Toys,1,77.75,Mozambique,77.75,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5526,Toys,9,95.75,Mozambique,861.75,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3639,Toys,26,8.91,Mozambique,231.66,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1802,Toys,35,97.25,Mozambique,3403.75,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC7983,Toys,35,64.96,Mozambique,2273.6,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3289,Toys,59,76.93,Mozambique,4538.870000000001,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9223,Toys,97,64.47,Mozambique,6253.59,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2604,Toys,82,90.83,Mozambique,7448.059999999999,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC5774,Toys,51,94.28,Mozambique,4808.28,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9360,Toys,47,23.74,Mozambique,1115.78,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC5234,Toys,28,26.1,Mozambique,730.8000000000001,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9640,Toys,77,18.42,Mozambique,1418.34,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC7846,Toys,12,92.55,Mozambique,1110.6,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC5299,Toys,48,11.74,Mozambique,563.52,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC6012,Toys,5,20.85,Mozambique,104.25,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7982,Toys,100,53.65,Mozambique,5365.0,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC4356,Toys,50,67.71,Mozambique,3385.4999999999995,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3008,Toys,44,9.97,Mozambique,438.68,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7944,Toys,15,59.71,Mozambique,895.65,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1034,Toys,73,46.79,Mozambique,3415.67,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5666,Toys,17,30.5,Mozambique,518.5,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8851,Toys,29,98.5,Mozambique,2856.5,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6686,Toys,60,78.15,Mozambique,4689.0,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC6196,Toys,49,79.56,Mozambique,3898.44,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC9052,Toys,2,84.17,Mozambique,168.34,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC4065,Toys,16,2.0,Mozambique,32.0,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC9675,Toys,97,54.68,Mozambique,5303.96,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC4104,Toys,71,82.71,Mozambique,5872.41,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2870,Toys,85,69.91,Mozambique,5942.349999999999,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC4013,Toys,31,41.01,Mozambique,1271.31,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5616,Toys,26,32.67,Mozambique,849.4200000000001,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC3942,Toys,95,22.8,Mozambique,2166.0,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC1194,Toys,79,85.09,Mozambique,6722.110000000001,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC4137,Toys,85,29.91,Mozambique,2542.35,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC7456,Toys,33,49.71,Mozambique,1640.43,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC5497,Toys,67,74.06,Mozambique,4962.02,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC1265,Toys,34,1.19,Mozambique,40.46,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC9637,Toys,62,46.47,Mozambique,2881.14,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC1000,Toys,72,47.34,Mozambique,3408.4800000000005,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3854,Toys,13,95.37,Mozambique,1239.81,2010-12,2010-12,1
537650,2010-12-07 15:48:00,16125.0,SC8404,Toys,51,24.98,Mozambique,1273.98,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC8742,Toys,2,44.18,Mozambique,88.36,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3400,Toys,4,88.93,Mozambique,355.72,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC9056,Toys,37,90.02,Mozambique,3330.74,2010-12,2010-12,1
537846,2010-12-08 15:25:00,15347.0,SC2250,Toys,7,15.69,Mozambique,109.83,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC2236,Toys,55,47.07,Mozambique,2588.85,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC6190,Toys,41,90.1,Mozambique,3694.1,2010-12,2010-12,1
537890,2010-12-09 10:04:00,15358.0,SC7081,Toys,53,34.87,Mozambique,1848.11,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC1529,Toys,90,4.7,Mozambique,423.0,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC7182,Toys,13,66.94,Mozambique,870.22,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC8198,Toys,95,21.79,Mozambique,2070.05,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC4984,Toys,100,64.4,Mozambique,6440.000000000001,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC5336,Toys,12,85.29,Mozambique,1023.48,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC7024,Toys,98,17.47,Mozambique,1712.06,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC1379,Toys,25,41.24,Mozambique,1031.0,2010-12,2010-12,1
538308,2010-12-10 13:29:00,14107.0,SC1929,Toys,40,51.06,Mozambique,2042.4,2010-12,2010-12,1
