InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC1752,Books,82,88.49,Niger,7256.179999999999,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC5802,Books,7,98.96,Niger,692.7199999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8419,Books,58,20.14,Niger,1168.12,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8250,Books,58,54.87,Niger,3182.46,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC1322,Books,61,98.7,Niger,6020.7,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC2416,Books,64,68.38,Niger,4376.32,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC6234,Books,37,49.19,Niger,1820.03,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1492,Books,9,62.93,Niger,566.37,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC2531,Books,15,57.46,Niger,861.9,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6569,Books,49,52.69,Niger,2581.81,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC4792,Books,100,52.29,Niger,5229.0,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC3308,Books,50,37.63,Niger,1881.5,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC4102,Books,13,19.97,Niger,259.61,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC7120,Books,90,23.09,Niger,2078.1,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5854,Books,64,72.75,Niger,4656.0,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8289,Books,63,10.79,Niger,679.77,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC8098,Books,59,36.88,Niger,2175.92,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2076,Books,58,46.09,Niger,2673.2200000000003,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5027,Books,86,42.76,Niger,3677.36,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC9065,Books,42,20.2,Niger,848.4,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8938,Books,60,87.69,Niger,5261.4,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5234,Books,27,81.97,Niger,2213.19,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4959,Books,39,57.22,Niger,2231.58,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC3431,Books,7,93.03,Niger,651.21,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2000,Books,97,81.72,Niger,7926.84,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC4241,Books,88,35.45,Niger,3119.6000000000004,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6337,Books,34,80.63,Niger,2741.42,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC6052,Books,2,60.75,Niger,121.5,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC5783,Books,83,97.63,Niger,8103.29,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC1915,Books,67,31.9,Niger,2137.3,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7654,Books,48,52.66,Niger,2527.68,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC2386,Books,81,7.79,Niger,630.99,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC9096,Books,81,45.9,Niger,3717.9,2010-12,2010-12,1
537605,2010-12-07 13:13:00,16221.0,SC2346,Books,51,14.08,Niger,718.08,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC5472,Books,11,46.7,Niger,513.7,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC2612,Books,85,18.26,Niger,1552.1,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC8283,Books,20,49.94,Niger,998.8,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC6896,Books,78,5.84,Niger,455.52,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC6323,Books,23,41.25,Niger,948.75,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC3763,Books,34,41.04,Niger,1395.36,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC3559,Books,21,75.04,Niger,1575.84,2010-12,2010-12,1
538169,2010-12-09 19:28:00,13230.0,SC2504,Books,53,67.44,Niger,3574.32,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC4181,Books,99,98.98,Niger,9799.02,2010-12,2010-12,1
538203,2010-12-10 11:21:00,13767.0,SC4176,Books,51,77.03,Niger,3928.53,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC6086,Books,86,90.17,Niger,7754.62,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC6988,Books,82,1.12,Niger,91.84,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC2833,Books,1,19.09,Niger,19.09,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC4429,Books,89,96.64,Niger,8600.960000000001,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC9849,Books,23,83.05,Niger,1910.15,2010-12,2010-12,1
