InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8602,Cloths,93,69.98,Niger,6508.14,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7443,Cloths,60,19.15,Niger,1149.0,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC9762,Cloths,4,69.63,Niger,278.52,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC4775,Cloths,18,86.45,Niger,1556.1,2010-12,2010-12,1
536608,2010-12-02 09:37:00,12855.0,SC3166,Cloths,1,6.54,Niger,6.54,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7660,Cloths,90,12.42,Niger,1117.8,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC9723,Cloths,14,9.75,Niger,136.5,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC7496,Cloths,17,3.8,Niger,64.6,2010-12,2010-12,1
536688,2010-12-02 12:24:00,17850.0,SC7560,Cloths,40,95.31,Niger,3812.4,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC5805,Cloths,95,3.05,Niger,289.75,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8783,Cloths,35,75.09,Niger,2628.15,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC5167,Cloths,97,89.49,Niger,8680.529999999999,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC4684,Cloths,76,75.85,Niger,5764.599999999999,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5614,Cloths,49,55.43,Niger,2716.07,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9375,Cloths,27,89.62,Niger,2419.74,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC7943,Cloths,57,29.53,Niger,1683.21,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9176,Cloths,62,19.05,Niger,1181.1,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC9503,Cloths,93,38.98,Niger,3625.14,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC7616,Cloths,17,1.88,Niger,31.96,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5998,Cloths,98,59.58,Niger,5838.84,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC2003,Cloths,94,36.9,Niger,3468.6,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7703,Cloths,73,72.69,Niger,5306.37,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7741,Cloths,23,4.47,Niger,102.81,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC4726,Cloths,51,47.47,Niger,2420.97,2010-12,2010-12,1
537052,2010-12-05 11:15:00,16839.0,SC6565,Cloths,96,5.31,Niger,509.76,2010-12,2010-12,1
537139,2010-12-05 12:47:00,17026.0,SC6481,Cloths,57,2.35,Niger,133.95000000000002,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5059,Cloths,20,16.28,Niger,325.6,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7968,Cloths,28,37.28,Niger,1043.84,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1464,Cloths,55,95.33,Niger,5243.15,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC4526,Cloths,66,32.6,Niger,2151.6,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC5235,Cloths,12,92.6,Niger,1111.1999999999998,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC2520,Cloths,38,84.53,Niger,3212.14,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC4677,Cloths,57,14.52,Niger,827.64,2010-12,2010-12,1
537423,2010-12-06 15:34:00,14215.0,SC9212,Cloths,64,12.53,Niger,801.92,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC6752,Cloths,63,31.58,Niger,1989.54,2010-12,2010-12,1
537612,2010-12-07 13:28:00,13769.0,SC2345,Cloths,26,34.25,Niger,890.5,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC8769,Cloths,99,2.59,Niger,256.41,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC8579,Cloths,78,10.91,Niger,850.98,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC5268,Cloths,70,39.86,Niger,2790.2,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6005,Cloths,41,21.33,Niger,874.53,2010-12,2010-12,1
537884,2010-12-09 09:30:00,15694.0,SC2646,Cloths,34,47.34,Niger,1609.5600000000002,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC3066,Cloths,22,18.03,Niger,396.66,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC9741,Cloths,75,75.47,Niger,5660.25,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC8441,Cloths,86,45.0,Niger,3870.0,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC4799,Cloths,95,49.13,Niger,4667.35,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC9277,Cloths,14,76.24,Niger,1067.36,2010-12,2010-12,1
538106,2010-12-09 15:20:00,17950.0,SC5241,Cloths,79,22.9,Niger,1809.1,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC5309,Cloths,62,64.24,Niger,3982.88,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC2893,Cloths,10,65.12,Niger,651.2,2010-12,2010-12,1
538196,2010-12-10 10:56:00,12731.0,SC6935,Cloths,17,31.68,Niger,538.56,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC1740,Cloths,74,39.14,Niger,2896.36,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC9686,Cloths,72,62.35,Niger,4489.2,2010-12,2010-12,1
538208,2010-12-10 11:39:00,14037.0,SC1562,Cloths,94,42.48,Niger,3993.12,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC9244,Cloths,28,6.33,Niger,177.24,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC1792,Cloths,78,50.77,Niger,3960.06,2010-12,2010-12,1
538356,2010-12-10 15:56:00,14062.0,SC6814,Cloths,76,54.22,Niger,4120.72,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC8414,Cloths,52,58.84,Niger,3059.6800000000003,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC3505,Cloths,96,25.37,Niger,2435.52,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9323,Cloths,6,86.3,Niger,517.8,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC7115,Cloths,87,94.37,Niger,8210.19,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC6014,Cloths,71,49.73,Niger,3530.83,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC6202,Cloths,70,89.45,Niger,6261.5,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC5121,Cloths,37,62.5,Niger,2312.5,2010-12,2010-12,1
538521,2010-12-13 09:02:00,14180.0,SC9041,Cloths,2,11.94,Niger,23.88,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC9389,Cloths,94,26.07,Niger,2450.58,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC5461,Cloths,45,76.72,Niger,3452.4,2010-12,2010-12,1
538657,2010-12-13 15:26:00,15867.0,SC8049,Cloths,88,53.04,Niger,4667.52,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC1413,Cloths,42,79.38,Niger,3333.96,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC5196,Cloths,9,69.27,Niger,623.43,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC7945,Cloths,100,85.44,Niger,8544.0,2010-12,2010-12,1
538801,2010-12-14 11:51:00,16083.0,SC9965,Cloths,87,54.03,Niger,4700.61,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC2811,Cloths,73,76.01,Niger,5548.7300000000005,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC5757,Cloths,33,14.23,Niger,469.59,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC2455,Cloths,82,3.89,Niger,318.98,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC4296,Cloths,90,11.6,Niger,1044.0,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC4844,Cloths,95,45.42,Niger,4314.900000000001,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC2985,Cloths,95,82.2,Niger,7809.0,2010-12,2010-12,1
539038,2010-12-15 14:45:00,15641.0,SC8364,Cloths,93,42.62,Niger,3963.66,2010-12,2010-12,1
539118,2010-12-16 11:27:00,15563.0,SC6283,Cloths,64,27.06,Niger,1731.84,2010-12,2010-12,1
539211,2010-12-16 12:15:00,16743.0,SC9991,Cloths,54,98.88,Niger,5339.52,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC6660,Cloths,92,17.45,Niger,1605.4,2010-12,2010-12,1
539262,2010-12-16 14:35:00,15789.0,SC2695,Cloths,34,81.41,Niger,2767.94,2010-12,2010-12,1
539263,2010-12-16 14:36:00,16560.0,SC7435,Cloths,99,62.61,Niger,6198.39,2010-12,2010-12,1
539304,2010-12-16 17:36:00,16684.0,SC9954,Cloths,35,71.36,Niger,2497.6,2010-12,2010-12,1
539305,2010-12-16 17:37:00,14334.0,SC2328,Cloths,83,3.09,Niger,256.47,2010-12,2010-12,1
539333,2010-12-17 09:52:00,13627.0,SC9654,Cloths,39,34.12,Niger,1330.6799999999998,2010-12,2010-12,1
539336,2010-12-17 10:34:00,17790.0,SC6498,Cloths,64,3.52,Niger,225.28,2010-12,2010-12,1
539404,2010-12-17 12:24:00,17315.0,SC2165,Cloths,50,65.19,Niger,3259.5,2010-12,2010-12,1
539414,2010-12-17 13:45:00,16931.0,SC3723,Cloths,12,86.88,Niger,1042.56,2010-12,2010-12,1
539442,2010-12-17 15:39:00,16558.0,SC3132,Cloths,5,23.3,Niger,116.5,2010-12,2010-12,1
539446,2010-12-17 15:58:00,12705.0,SC9264,Cloths,87,3.83,Niger,333.21,2010-12,2010-12,1
539447,2010-12-17 16:00:00,12395.0,SC3801,Cloths,18,66.45,Niger,1196.1,2010-12,2010-12,1
539456,2010-12-17 17:23:00,16885.0,SC9612,Cloths,85,15.05,Niger,1279.25,2010-12,2010-12,1
539472,2010-12-19 14:23:00,15581.0,SC2246,Cloths,43,81.56,Niger,3507.08,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC1763,Cloths,39,39.08,Niger,1524.12,2010-12,2010-12,1
539477,2010-12-19 14:58:00,18245.0,SC4627,Cloths,52,70.89,Niger,3686.28,2010-12,2010-12,1
539637,2010-12-20 15:22:00,14083.0,SC9802,Cloths,100,50.24,Niger,5024.0,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC4335,Cloths,32,52.82,Niger,1690.24,2010-12,2010-12,1
539688,2010-12-21 11:00:00,12678.0,SC1474,Cloths,98,32.52,Niger,3186.9600000000005,2010-12,2010-12,1
