InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC7334,Cosmetics,94,84.08,Niger,7903.519999999999,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC8801,Cosmetics,96,73.86,Niger,7090.56,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2513,Cosmetics,81,1.6,Niger,129.6,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4942,Cosmetics,77,98.83,Niger,7609.91,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2355,Cosmetics,71,34.09,Niger,2420.3900000000003,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC8136,Cosmetics,70,94.53,Niger,6617.1,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC1132,Cosmetics,94,17.87,Niger,1679.7800000000002,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7323,Cosmetics,50,71.84,Niger,3592.0,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC7266,Cosmetics,58,71.59,Niger,4152.22,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4983,Cosmetics,39,29.13,Niger,1136.07,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC7245,Cosmetics,30,14.4,Niger,432.0,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC6432,Cosmetics,69,70.47,Niger,4862.43,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC9622,Cosmetics,43,68.34,Niger,2938.6200000000003,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC9821,Cosmetics,45,17.6,Niger,792.0000000000001,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2579,Cosmetics,7,19.6,Niger,137.20000000000002,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC5915,Cosmetics,60,51.54,Niger,3092.4,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC6307,Cosmetics,2,74.15,Niger,148.3,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC1646,Cosmetics,8,59.94,Niger,479.52,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5820,Cosmetics,46,33.99,Niger,1563.5400000000002,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5889,Cosmetics,70,39.79,Niger,2785.3,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7645,Cosmetics,79,4.89,Niger,386.31,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6610,Cosmetics,8,16.77,Niger,134.16,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC4776,Cosmetics,66,46.73,Niger,3084.18,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC1565,Cosmetics,48,45.97,Niger,2206.56,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC4574,Cosmetics,43,2.59,Niger,111.37,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC5941,Cosmetics,60,99.77,Niger,5986.2,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC5951,Cosmetics,25,99.33,Niger,2483.25,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC1876,Cosmetics,71,20.04,Niger,1422.84,2010-12,2010-12,1
