InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC5001,Furniture,53,69.31,Niger,3673.43,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8022,Furniture,7,37.2,Niger,260.40000000000003,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3144,Furniture,59,77.25,Niger,4557.75,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8906,Furniture,21,37.46,Niger,786.66,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3011,Furniture,75,77.56,Niger,5817.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1146,Furniture,83,91.66,Niger,7607.78,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1842,Furniture,71,61.01,Niger,4331.71,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC1536,Furniture,91,91.42,Niger,8319.22,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1940,Furniture,68,91.72,Niger,6236.96,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC9605,Furniture,40,41.86,Niger,1674.4,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC2390,Furniture,98,83.15,Niger,8148.700000000001,2010-12,2010-12,1
536736,2010-12-02 12:59:00,17381.0,SC1326,Furniture,52,66.04,Niger,3434.0800000000004,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC5222,Furniture,85,19.91,Niger,1692.35,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC9522,Furniture,25,37.13,Niger,928.25,2010-12,2010-12,1
536823,2010-12-02 17:22:00,13011.0,SC2651,Furniture,74,56.12,Niger,4152.88,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC5964,Furniture,57,4.0,Niger,228.0,2010-12,2010-12,1
537030,2010-12-03 16:44:00,16455.0,SC5894,Furniture,5,90.99,Niger,454.95,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1965,Furniture,84,4.98,Niger,418.3200000000001,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC6162,Furniture,38,50.53,Niger,1920.14,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC8136,Furniture,86,97.27,Niger,8365.22,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC6537,Furniture,81,37.38,Niger,3027.78,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3691,Furniture,37,10.7,Niger,395.9,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3298,Furniture,59,12.57,Niger,741.63,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC7870,Furniture,18,18.04,Niger,324.72,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC1342,Furniture,69,80.18,Niger,5532.42,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC9002,Furniture,92,64.22,Niger,5908.24,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC6458,Furniture,67,86.33,Niger,5784.11,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC1331,Furniture,57,70.17,Niger,3999.69,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC9203,Furniture,93,92.61,Niger,8612.73,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3564,Furniture,11,92.48,Niger,1017.28,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC1828,Furniture,25,54.3,Niger,1357.5,2010-12,2010-12,1
537244,2010-12-06 10:20:00,17674.0,SC7887,Furniture,88,95.43,Niger,8397.84,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC6804,Furniture,88,67.33,Niger,5925.04,2010-12,2010-12,1
537256,2010-12-06 11:06:00,16210.0,SC9517,Furniture,71,93.04,Niger,6605.84,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC5646,Furniture,68,99.25,Niger,6749.0,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2762,Furniture,85,57.39,Niger,4878.15,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC9957,Furniture,13,82.85,Niger,1077.05,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC3252,Furniture,79,5.62,Niger,443.98,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC7012,Furniture,66,45.25,Niger,2986.5,2010-12,2010-12,1
