InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC9597,Jewelry,50,23.46,Niger,1173.0,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC1302,Jewelry,46,28.66,Niger,1318.36,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC9821,Jewelry,26,35.98,Niger,935.48,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC9304,Jewelry,87,70.98,Niger,6175.26,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC3043,Jewelry,26,17.33,Niger,450.5799999999999,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC8032,Jewelry,12,17.05,Niger,204.6,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC4833,Jewelry,49,9.51,Niger,465.99,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC9514,Jewelry,88,21.98,Niger,1934.24,2010-12,2010-12,1
536806,2010-12-02 16:42:00,12971.0,SC9446,Jewelry,34,83.78,Niger,2848.52,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC5578,Jewelry,65,45.05,Niger,2928.25,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC7482,Jewelry,80,72.9,Niger,5832.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1508,Jewelry,3,76.66,Niger,229.98,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC9229,Jewelry,70,52.06,Niger,3644.2,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC5306,Jewelry,48,12.69,Niger,609.12,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7550,Jewelry,51,94.76,Niger,4832.76,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7865,Jewelry,83,76.64,Niger,6361.12,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7418,Jewelry,19,48.87,Niger,928.53,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC1451,Jewelry,67,54.55,Niger,3654.85,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC5868,Jewelry,54,81.09,Niger,4378.860000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2423,Jewelry,67,54.05,Niger,3621.35,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC6364,Jewelry,81,84.97,Niger,6882.57,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3474,Jewelry,80,28.16,Niger,2252.8,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8576,Jewelry,44,82.56,Niger,3632.64,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC3176,Jewelry,16,19.8,Niger,316.8,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC7944,Jewelry,97,13.2,Niger,1280.4,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC9052,Jewelry,79,45.94,Niger,3629.26,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC1442,Jewelry,65,2.31,Niger,150.15,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC3891,Jewelry,79,40.48,Niger,3197.92,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC2262,Jewelry,81,4.64,Niger,375.84,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC9131,Jewelry,89,84.75,Niger,7542.75,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC8567,Jewelry,58,17.56,Niger,1018.48,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC4882,Jewelry,71,64.12,Niger,4552.52,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC9308,Jewelry,66,3.86,Niger,254.76,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC8591,Jewelry,72,37.18,Niger,2676.96,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC9228,Jewelry,95,63.06,Niger,5990.7,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC3452,Jewelry,68,55.94,Niger,3803.92,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC6461,Jewelry,25,22.99,Niger,574.75,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC7523,Jewelry,82,69.64,Niger,5710.4800000000005,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC2286,Jewelry,65,98.33,Niger,6391.45,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC8572,Jewelry,18,35.07,Niger,631.26,2010-12,2010-12,1
538073,2010-12-09 14:10:00,17816.0,SC2082,Jewelry,60,23.72,Niger,1423.1999999999998,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC7697,Jewelry,72,39.6,Niger,2851.2000000000003,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3650,Jewelry,42,18.23,Niger,765.66,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC4926,Jewelry,31,31.35,Niger,971.85,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC8774,Jewelry,65,54.2,Niger,3523.0,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4112,Jewelry,10,84.7,Niger,847.0,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC9825,Jewelry,75,78.61,Niger,5895.75,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC7370,Jewelry,70,37.33,Niger,2613.1,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC8829,Jewelry,38,47.33,Niger,1798.54,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC3683,Jewelry,24,15.75,Niger,378.0,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC2635,Jewelry,41,4.07,Niger,166.87,2010-12,2010-12,1
538637,2010-12-13 13:52:00,17611.0,SC5356,Jewelry,100,47.54,Niger,4754.0,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC4599,Jewelry,2,25.49,Niger,50.98,2010-12,2010-12,1
538710,2010-12-14 10:48:00,18075.0,SC8625,Jewelry,48,30.48,Niger,1463.04,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC8354,Jewelry,20,28.78,Niger,575.6,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC2209,Jewelry,7,37.58,Niger,263.06,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC9496,Jewelry,45,68.99,Niger,3104.55,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC7267,Jewelry,42,52.31,Niger,2197.02,2010-12,2010-12,1
538896,2010-12-15 09:09:00,16145.0,SC9807,Jewelry,98,42.53,Niger,4167.9400000000005,2010-12,2010-12,1
538905,2010-12-15 10:31:00,13611.0,SC5213,Jewelry,77,40.08,Niger,3086.16,2010-12,2010-12,1
538945,2010-12-15 11:22:00,17230.0,SC8533,Jewelry,49,74.25,Niger,3638.25,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC7471,Jewelry,61,38.74,Niger,2363.1400000000003,2010-12,2010-12,1
539080,2010-12-16 08:41:00,16607.0,SC1332,Jewelry,96,59.48,Niger,5710.08,2010-12,2010-12,1
539087,2010-12-16 09:44:00,13093.0,SC2827,Jewelry,42,83.6,Niger,3511.2,2010-12,2010-12,1
539099,2010-12-16 10:30:00,16670.0,SC9919,Jewelry,29,11.15,Niger,323.35,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC3089,Jewelry,27,62.42,Niger,1685.34,2010-12,2010-12,1
539217,2010-12-16 12:46:00,15394.0,SC6446,Jewelry,15,85.12,Niger,1276.8000000000002,2010-12,2010-12,1
539219,2010-12-16 12:55:00,17951.0,SC2617,Jewelry,87,91.4,Niger,7951.8,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC7007,Jewelry,46,31.33,Niger,1441.1799999999998,2010-12,2010-12,1
539247,2010-12-16 13:33:00,15311.0,SC1618,Jewelry,28,82.17,Niger,2300.76,2010-12,2010-12,1
539261,2010-12-16 14:34:00,15620.0,SC5734,Jewelry,74,94.73,Niger,7010.02,2010-12,2010-12,1
539293,2010-12-16 16:42:00,18223.0,SC5124,Jewelry,21,9.96,Niger,209.16000000000005,2010-12,2010-12,1
539315,2010-12-16 18:23:00,18260.0,SC6699,Jewelry,61,65.62,Niger,4002.82,2010-12,2010-12,1
539322,2010-12-16 19:22:00,14713.0,SC2835,Jewelry,30,6.42,Niger,192.6,2010-12,2010-12,1
539471,2010-12-19 14:16:00,17358.0,SC1407,Jewelry,89,28.05,Niger,2496.4500000000003,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC7691,Jewelry,58,14.64,Niger,849.12,2010-12,2010-12,1
539490,2010-12-20 10:00:00,17069.0,SC7535,Jewelry,17,21.76,Niger,369.92,2010-12,2010-12,1
539496,2010-12-20 10:38:00,13050.0,SC5284,Jewelry,4,51.6,Niger,206.4,2010-12,2010-12,1
539502,2010-12-20 11:14:00,14099.0,SC1260,Jewelry,65,49.22,Niger,3199.3,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC1433,Jewelry,86,80.35,Niger,6910.099999999999,2010-12,2010-12,1
539609,2010-12-20 14:15:00,15527.0,SC9202,Jewelry,12,98.19,Niger,1178.28,2010-12,2010-12,1
539728,2010-12-21 14:26:00,16270.0,SC9571,Jewelry,47,68.06,Niger,3198.82,2010-12,2010-12,1
539826,2010-12-22 12:39:00,15044.0,SC6918,Jewelry,48,85.9,Niger,4123.200000000001,2010-12,2010-12,1
539988,2010-12-23 16:06:00,18116.0,SC9775,Jewelry,19,44.26,Niger,840.9399999999999,2010-12,2010-12,1
540016,2011-01-04 11:42:00,16282.0,SC2046,Jewelry,23,50.25,Niger,1155.75,2011-01,2011-01,1
540025,2011-01-04 13:22:00,17428.0,SC4045,Jewelry,83,47.4,Niger,3934.2,2011-01,2011-01,1
