InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC8779,Kitchenware,83,46.05,Niger,3822.15,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC1941,Kitchenware,30,67.65,Niger,2029.5,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC6199,Kitchenware,90,67.29,Niger,6056.1,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3145,Kitchenware,10,62.33,Niger,623.3,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8504,Kitchenware,56,52.6,Niger,2945.6,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC3743,Kitchenware,7,3.42,Niger,23.94,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC8059,Kitchenware,67,50.78,Niger,3402.26,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8672,Kitchenware,79,17.91,Niger,1414.89,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC7440,Kitchenware,30,34.66,Niger,1039.8,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC3238,Kitchenware,21,53.54,Niger,1124.34,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC8962,Kitchenware,93,72.24,Niger,6718.32,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC5637,Kitchenware,38,87.77,Niger,3335.26,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC2731,Kitchenware,97,78.67,Niger,7630.99,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC5381,Kitchenware,1,6.38,Niger,6.38,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1981,Kitchenware,32,23.66,Niger,757.12,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC2894,Kitchenware,91,82.73,Niger,7528.43,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC8946,Kitchenware,72,3.58,Niger,257.76,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8443,Kitchenware,9,19.66,Niger,176.94,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC5793,Kitchenware,97,94.19,Niger,9136.43,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9223,Kitchenware,89,3.76,Niger,334.64,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6667,Kitchenware,90,48.82,Niger,4393.8,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC4314,Kitchenware,43,81.87,Niger,3520.4100000000003,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1682,Kitchenware,15,46.08,Niger,691.1999999999999,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC1969,Kitchenware,79,51.6,Niger,4076.4,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC4604,Kitchenware,2,45.58,Niger,91.16,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC5472,Kitchenware,7,54.06,Niger,378.42,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8993,Kitchenware,29,54.34,Niger,1575.86,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1798,Kitchenware,17,67.07,Niger,1140.1899999999998,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC6473,Kitchenware,4,22.81,Niger,91.24,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC4868,Kitchenware,52,85.21,Niger,4430.92,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC9422,Kitchenware,35,1.4,Niger,49.0,2010-12,2010-12,1
537313,2010-12-06 11:42:00,15304.0,SC1423,Kitchenware,84,47.78,Niger,4013.52,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC1191,Kitchenware,73,50.34,Niger,3674.82,2010-12,2010-12,1
