InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC5847,Shoes,85,86.29,Niger,7334.650000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5073,Shoes,15,52.3,Niger,784.5,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC6378,Shoes,57,87.95,Niger,5013.150000000001,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2182,Shoes,88,17.65,Niger,1553.1999999999998,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC2704,Shoes,40,84.04,Niger,3361.6000000000004,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4696,Shoes,4,28.82,Niger,115.28,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC3103,Shoes,52,70.81,Niger,3682.12,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC1513,Shoes,100,74.11,Niger,7411.0,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC7668,Shoes,7,52.64,Niger,368.48,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3068,Shoes,20,37.46,Niger,749.2,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC7178,Shoes,21,98.16,Niger,2061.36,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC5356,Shoes,48,92.92,Niger,4460.16,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC2374,Shoes,69,80.84,Niger,5577.96,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC4703,Shoes,35,9.29,Niger,325.15,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC7087,Shoes,75,85.1,Niger,6382.5,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC9770,Shoes,49,89.53,Niger,4386.97,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC9093,Shoes,20,11.46,Niger,229.2,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC1211,Shoes,30,70.05,Niger,2101.5,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7985,Shoes,2,21.96,Niger,43.92,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC1220,Shoes,65,48.17,Niger,3131.05,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC8492,Shoes,89,16.76,Niger,1491.64,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC1526,Shoes,24,17.54,Niger,420.96,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC3613,Shoes,6,27.63,Niger,165.78,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC1916,Shoes,85,97.78,Niger,8311.3,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC9170,Shoes,18,40.65,Niger,731.6999999999999,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC3273,Shoes,59,90.03,Niger,5311.77,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC3462,Shoes,33,94.36,Niger,3113.88,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC3541,Shoes,81,27.12,Niger,2196.7200000000003,2010-12,2010-12,1
537472,2010-12-07 11:11:00,12971.0,SC2182,Shoes,95,7.3,Niger,693.5,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC4683,Shoes,94,49.12,Niger,4617.28,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8408,Shoes,86,9.65,Niger,829.9,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC8110,Shoes,42,80.01,Niger,3360.42,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC9873,Shoes,93,89.65,Niger,8337.45,2010-12,2010-12,1
