InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC3884,Sports Equipment,52,13.26,Niger,689.52,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC2738,Sports Equipment,23,28.76,Niger,661.48,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5668,Sports Equipment,22,97.48,Niger,2144.56,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8253,Sports Equipment,14,91.6,Niger,1282.4,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8408,Sports Equipment,93,26.85,Niger,2497.05,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3397,Sports Equipment,34,42.97,Niger,1460.98,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC4761,Sports Equipment,3,78.63,Niger,235.89,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1545,Sports Equipment,69,70.94,Niger,4894.86,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7896,Sports Equipment,23,23.8,Niger,547.4,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC8139,Sports Equipment,75,92.14,Niger,6910.5,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3194,Sports Equipment,18,42.59,Niger,766.6200000000001,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC1963,Sports Equipment,7,70.44,Niger,493.08,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC2628,Sports Equipment,69,86.4,Niger,5961.6,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC4412,Sports Equipment,91,21.99,Niger,2001.09,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6711,Sports Equipment,1,78.37,Niger,78.37,2010-12,2010-12,1
536791,2010-12-02 15:27:00,17850.0,SC4017,Sports Equipment,62,46.44,Niger,2879.28,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC8497,Sports Equipment,74,88.15,Niger,6523.1,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC8551,Sports Equipment,86,4.34,Niger,373.24,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5302,Sports Equipment,66,18.25,Niger,1204.5,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC4146,Sports Equipment,9,88.06,Niger,792.54,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC8127,Sports Equipment,60,51.12,Niger,3067.2,2010-12,2010-12,1
