InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536406,2010-12-01 11:33:00,17850.0,SC6267,Toys,63,41.94,Niger,2642.22,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6910,Toys,71,75.05,Niger,5328.55,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9040,Toys,66,92.31,Niger,6092.46,2010-12,2010-12,1
536583,2010-12-01 16:21:00,13777.0,SC3007,Toys,62,97.35,Niger,6035.7,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC7513,Toys,67,52.94,Niger,3546.98,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC8154,Toys,51,47.53,Niger,2424.03,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC4157,Toys,55,79.09,Niger,4349.95,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC8408,Toys,56,18.6,Niger,1041.6,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC3013,Toys,48,17.83,Niger,855.8399999999999,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8153,Toys,14,17.88,Niger,250.32,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC5154,Toys,57,84.07,Niger,4791.99,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC7733,Toys,60,81.96,Niger,4917.599999999999,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC1427,Toys,54,81.23,Niger,4386.42,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC4266,Toys,16,61.87,Niger,989.92,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC4549,Toys,56,51.22,Niger,2868.32,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8112,Toys,59,71.93,Niger,4243.870000000001,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC7537,Toys,96,46.7,Niger,4483.200000000001,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC5751,Toys,73,89.26,Niger,6515.9800000000005,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC5397,Toys,90,95.34,Niger,8580.6,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4788,Toys,8,19.21,Niger,153.68,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3454,Toys,65,62.16,Niger,4040.4,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2756,Toys,94,62.15,Niger,5842.099999999999,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC4574,Toys,1,93.87,Niger,93.87,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5188,Toys,96,22.21,Niger,2132.16,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC5850,Toys,90,70.56,Niger,6350.400000000001,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC9032,Toys,61,88.15,Niger,5377.150000000001,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3606,Toys,65,20.49,Niger,1331.85,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC7674,Toys,66,67.85,Niger,4478.099999999999,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC5505,Toys,84,27.9,Niger,2343.6,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC8481,Toys,35,98.91,Niger,3461.85,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC3322,Toys,43,73.26,Niger,3150.1800000000003,2010-12,2010-12,1
