InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8546,Books,61,17.18,Nigeria,1047.98,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC3645,Books,83,93.23,Nigeria,7738.09,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC1591,Books,23,54.25,Nigeria,1247.75,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3173,Books,28,58.57,Nigeria,1639.96,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2415,Books,99,25.04,Nigeria,2478.96,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC3640,Books,64,6.85,Nigeria,438.4,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7527,Books,100,70.05,Nigeria,7005.0,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3029,Books,35,2.27,Nigeria,79.45,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC9189,Books,77,90.21,Nigeria,6946.169999999999,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3679,Books,3,57.86,Nigeria,173.57999999999998,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC5823,Books,17,87.83,Nigeria,1493.11,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC1932,Books,99,45.72,Nigeria,4526.28,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC6439,Books,26,75.02,Nigeria,1950.52,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC3910,Books,55,13.84,Nigeria,761.2,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC8305,Books,23,32.41,Nigeria,745.43,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC3114,Books,43,47.22,Nigeria,2030.46,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC3733,Books,77,25.12,Nigeria,1934.24,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC7243,Books,64,43.37,Nigeria,2775.68,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3235,Books,73,3.84,Nigeria,280.32,2010-12,2010-12,1
537215,2010-12-05 15:38:00,12747.0,SC5591,Books,59,36.56,Nigeria,2157.04,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7438,Books,31,48.11,Nigeria,1491.41,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC7155,Books,75,99.7,Nigeria,7477.5,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC5938,Books,42,33.06,Nigeria,1388.52,2010-12,2010-12,1
537258,2010-12-06 11:16:00,17227.0,SC5770,Books,1,42.62,Nigeria,42.62,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC6973,Books,44,31.53,Nigeria,1387.3200000000002,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC5551,Books,11,7.48,Nigeria,82.28,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC4394,Books,39,30.28,Nigeria,1180.92,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC4294,Books,48,48.95,Nigeria,2349.6000000000004,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC8523,Books,54,24.9,Nigeria,1344.6,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC5477,Books,99,98.23,Nigeria,9724.77,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC4159,Books,39,90.82,Nigeria,3541.98,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC4827,Books,23,22.79,Nigeria,524.17,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC8422,Books,30,26.8,Nigeria,804.0,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC5979,Books,52,78.64,Nigeria,4089.28,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC8132,Books,25,29.36,Nigeria,734.0,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC3847,Books,66,13.53,Nigeria,892.9799999999999,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5894,Books,34,37.17,Nigeria,1263.78,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1061,Books,2,70.06,Nigeria,140.12,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC8588,Books,91,67.75,Nigeria,6165.25,2010-12,2010-12,1
537813,2010-12-08 13:38:00,18259.0,SC6253,Books,29,61.14,Nigeria,1773.06,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC5011,Books,24,14.7,Nigeria,352.79999999999995,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9719,Books,60,57.43,Nigeria,3445.8,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC8344,Books,81,78.47,Nigeria,6356.07,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC5129,Books,91,85.67,Nigeria,7795.97,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC5953,Books,25,7.95,Nigeria,198.75,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC6248,Books,37,45.13,Nigeria,1669.8100000000002,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC1971,Books,74,29.82,Nigeria,2206.68,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC1288,Books,42,65.25,Nigeria,2740.5,2010-12,2010-12,1
538146,2010-12-09 16:10:00,15596.0,SC7033,Books,18,1.61,Nigeria,28.98,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC5996,Books,35,44.35,Nigeria,1552.25,2010-12,2010-12,1
538187,2010-12-10 10:27:00,16499.0,SC7174,Books,89,81.49,Nigeria,7252.61,2010-12,2010-12,1
538190,2010-12-10 10:47:00,17790.0,SC3132,Books,49,88.49,Nigeria,4336.009999999999,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC3808,Books,68,44.24,Nigeria,3008.32,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC1678,Books,69,45.85,Nigeria,3163.65,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC2755,Books,57,34.2,Nigeria,1949.4,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC4945,Books,75,92.88,Nigeria,6966.0,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC3554,Books,35,96.11,Nigeria,3363.85,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC7133,Books,80,37.75,Nigeria,3020.0,2010-12,2010-12,1
538665,2010-12-13 15:56:00,17576.0,SC2708,Books,11,50.47,Nigeria,555.17,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC9131,Books,1,71.71,Nigeria,71.71,2010-12,2010-12,1
538810,2010-12-14 12:18:00,14871.0,SC4644,Books,10,1.48,Nigeria,14.8,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC8621,Books,53,87.98,Nigeria,4662.9400000000005,2010-12,2010-12,1
538871,2010-12-14 15:02:00,14051.0,SC1679,Books,53,47.49,Nigeria,2516.9700000000003,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC8033,Books,29,34.42,Nigeria,998.18,2010-12,2010-12,1
538901,2010-12-15 09:58:00,17629.0,SC6228,Books,86,94.7,Nigeria,8144.2,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC8867,Books,82,96.97,Nigeria,7951.54,2010-12,2010-12,1
539018,2010-12-15 14:00:00,16134.0,SC3703,Books,63,74.56,Nigeria,4697.28,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC2420,Books,78,67.38,Nigeria,5255.639999999999,2010-12,2010-12,1
539079,2010-12-16 08:39:00,17496.0,SC2263,Books,44,96.89,Nigeria,4263.16,2010-12,2010-12,1
539160,2010-12-16 11:43:00,16746.0,SC6914,Books,63,93.72,Nigeria,5904.36,2010-12,2010-12,1
539181,2010-12-16 11:51:00,12748.0,SC1915,Books,86,57.94,Nigeria,4982.84,2010-12,2010-12,1
539201,2010-12-16 12:11:00,14878.0,SC5851,Books,29,99.77,Nigeria,2893.33,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC5291,Books,83,74.75,Nigeria,6204.25,2010-12,2010-12,1
539222,2010-12-16 13:00:00,14621.0,SC1034,Books,80,99.48,Nigeria,7958.400000000001,2010-12,2010-12,1
539264,2010-12-16 15:02:00,15224.0,SC1960,Books,42,44.02,Nigeria,1848.84,2010-12,2010-12,1
539305,2010-12-16 17:37:00,14334.0,SC9556,Books,71,73.99,Nigeria,5253.29,2010-12,2010-12,1
539405,2010-12-17 12:38:00,12621.0,SC9263,Books,91,66.36,Nigeria,6038.76,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC2361,Books,22,98.45,Nigeria,2165.9,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC8656,Books,16,93.07,Nigeria,1489.12,2010-12,2010-12,1
539593,2010-12-20 13:31:00,13319.0,SC8700,Books,54,55.0,Nigeria,2970.0,2010-12,2010-12,1
539635,2010-12-20 15:14:00,14051.0,SC5797,Books,85,40.72,Nigeria,3461.2,2010-12,2010-12,1
540019,2011-01-04 12:18:00,12957.0,SC1271,Books,80,1.86,Nigeria,148.8,2011-01,2011-01,1
540098,2011-01-04 15:50:00,16241.0,SC8184,Books,66,59.1,Nigeria,3900.6,2011-01,2011-01,1
540148,2011-01-05 10:58:00,14189.0,SC6929,Books,63,97.76,Nigeria,6158.88,2011-01,2011-01,1
540172,2011-01-05 12:29:00,18109.0,SC1159,Books,99,8.12,Nigeria,803.8799999999999,2011-01,2011-01,1
