InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC5281,Cloths,52,93.2,Nigeria,4846.400000000001,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1997,Cloths,78,87.98,Nigeria,6862.4400000000005,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7928,Cloths,96,44.56,Nigeria,4277.76,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8431,Cloths,28,40.48,Nigeria,1133.4399999999998,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7869,Cloths,56,94.15,Nigeria,5272.400000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3513,Cloths,28,38.85,Nigeria,1087.8,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3541,Cloths,88,93.27,Nigeria,8207.76,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC4798,Cloths,86,41.83,Nigeria,3597.38,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8964,Cloths,17,26.49,Nigeria,450.33,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2215,Cloths,38,72.81,Nigeria,2766.78,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7471,Cloths,6,85.76,Nigeria,514.5600000000001,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC3823,Cloths,78,39.19,Nigeria,3056.82,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC6090,Cloths,9,24.71,Nigeria,222.39,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC6796,Cloths,13,24.16,Nigeria,314.08,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC1717,Cloths,91,64.39,Nigeria,5859.49,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC3196,Cloths,63,79.34,Nigeria,4998.42,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC9311,Cloths,80,53.64,Nigeria,4291.2,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC3057,Cloths,23,35.02,Nigeria,805.46,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC2152,Cloths,47,48.24,Nigeria,2267.28,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4208,Cloths,49,54.25,Nigeria,2658.25,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC5708,Cloths,20,75.85,Nigeria,1517.0,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC6476,Cloths,22,79.25,Nigeria,1743.5,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1833,Cloths,43,41.33,Nigeria,1777.1899999999998,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC2351,Cloths,93,43.66,Nigeria,4060.38,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC7813,Cloths,57,56.35,Nigeria,3211.9500000000003,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC1639,Cloths,46,24.4,Nigeria,1122.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6291,Cloths,16,8.74,Nigeria,139.84,2010-12,2010-12,1
537026,2010-12-03 16:35:00,12395.0,SC1251,Cloths,98,38.71,Nigeria,3793.58,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC1823,Cloths,74,4.21,Nigeria,311.54,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1495,Cloths,95,72.4,Nigeria,6878.000000000001,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC1186,Cloths,26,17.14,Nigeria,445.64,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3965,Cloths,97,79.9,Nigeria,7750.3,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6289,Cloths,7,15.56,Nigeria,108.92,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC7498,Cloths,74,50.37,Nigeria,3727.38,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC5460,Cloths,4,12.89,Nigeria,51.56,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC6384,Cloths,93,24.67,Nigeria,2294.31,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC9131,Cloths,71,59.63,Nigeria,4233.7300000000005,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC3063,Cloths,34,10.53,Nigeria,358.02,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC5861,Cloths,96,33.89,Nigeria,3253.44,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC7150,Cloths,65,47.44,Nigeria,3083.6,2010-12,2010-12,1
537407,2010-12-06 14:55:00,15502.0,SC7410,Cloths,97,27.2,Nigeria,2638.4,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC4111,Cloths,30,27.57,Nigeria,827.1,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC1735,Cloths,59,78.13,Nigeria,4609.67,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC4087,Cloths,15,93.94,Nigeria,1409.1,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC2524,Cloths,27,49.83,Nigeria,1345.41,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC5147,Cloths,57,32.9,Nigeria,1875.3,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC7848,Cloths,49,81.47,Nigeria,3992.03,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC1664,Cloths,29,46.57,Nigeria,1350.53,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC5044,Cloths,73,4.72,Nigeria,344.56,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC8699,Cloths,44,26.38,Nigeria,1160.72,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC3393,Cloths,49,3.69,Nigeria,180.81,2010-12,2010-12,1
538196,2010-12-10 10:56:00,12731.0,SC5870,Cloths,15,90.25,Nigeria,1353.75,2010-12,2010-12,1
538196,2010-12-10 10:56:00,12731.0,SC7478,Cloths,13,73.91,Nigeria,960.83,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC1955,Cloths,15,22.73,Nigeria,340.95,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC5932,Cloths,8,70.5,Nigeria,564.0,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3080,Cloths,98,51.16,Nigeria,5013.679999999999,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC5983,Cloths,9,59.85,Nigeria,538.65,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC4799,Cloths,94,59.56,Nigeria,5598.64,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC2640,Cloths,31,15.61,Nigeria,483.91,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC9987,Cloths,13,17.08,Nigeria,222.04,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC8575,Cloths,28,92.99,Nigeria,2603.72,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC1795,Cloths,37,19.18,Nigeria,709.66,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC8059,Cloths,95,50.74,Nigeria,4820.3,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4882,Cloths,61,83.98,Nigeria,5122.780000000001,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC1340,Cloths,7,6.74,Nigeria,47.18,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC4747,Cloths,51,4.32,Nigeria,220.32,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC8892,Cloths,28,23.02,Nigeria,644.56,2010-12,2010-12,1
538525,2010-12-13 09:39:00,12540.0,SC3703,Cloths,52,3.07,Nigeria,159.64,2010-12,2010-12,1
538683,2010-12-13 17:40:00,14525.0,SC1465,Cloths,2,21.7,Nigeria,43.4,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC8308,Cloths,31,3.85,Nigeria,119.35,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC2259,Cloths,51,85.06,Nigeria,4338.06,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC4074,Cloths,34,45.19,Nigeria,1536.46,2010-12,2010-12,1
538860,2010-12-14 14:02:00,17757.0,SC9647,Cloths,51,13.89,Nigeria,708.39,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC6886,Cloths,59,16.98,Nigeria,1001.82,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC1650,Cloths,6,86.08,Nigeria,516.48,2010-12,2010-12,1
539018,2010-12-15 14:00:00,16134.0,SC8550,Cloths,38,79.85,Nigeria,3034.3,2010-12,2010-12,1
539211,2010-12-16 12:15:00,16743.0,SC2733,Cloths,81,27.67,Nigeria,2241.27,2010-12,2010-12,1
539213,2010-12-16 12:23:00,12877.0,SC3645,Cloths,98,96.93,Nigeria,9499.14,2010-12,2010-12,1
539215,2010-12-16 12:42:00,15574.0,SC5947,Cloths,76,71.69,Nigeria,5448.44,2010-12,2010-12,1
539353,2010-12-17 11:30:00,12782.0,SC9029,Cloths,69,75.3,Nigeria,5195.7,2010-12,2010-12,1
539391,2010-12-17 11:51:00,12417.0,SC7147,Cloths,84,53.34,Nigeria,4480.56,2010-12,2010-12,1
539403,2010-12-17 12:21:00,12647.0,SC7952,Cloths,21,13.04,Nigeria,273.84,2010-12,2010-12,1
539439,2010-12-17 15:14:00,13869.0,SC7269,Cloths,60,50.48,Nigeria,3028.8,2010-12,2010-12,1
539446,2010-12-17 15:58:00,12705.0,SC9701,Cloths,26,63.82,Nigeria,1659.32,2010-12,2010-12,1
539462,2010-12-19 11:19:00,14032.0,SC4713,Cloths,6,93.72,Nigeria,562.3199999999999,2010-12,2010-12,1
539472,2010-12-19 14:23:00,15581.0,SC7428,Cloths,30,4.2,Nigeria,126.0,2010-12,2010-12,1
539502,2010-12-20 11:14:00,14099.0,SC6155,Cloths,54,15.1,Nigeria,815.4,2010-12,2010-12,1
539593,2010-12-20 13:31:00,13319.0,SC2613,Cloths,28,22.71,Nigeria,635.88,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC4972,Cloths,9,43.61,Nigeria,392.49,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC3787,Cloths,72,89.91,Nigeria,6473.52,2010-12,2010-12,1
539865,2010-12-23 09:59:00,15587.0,SC6435,Cloths,63,71.6,Nigeria,4510.799999999999,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC7526,Cloths,34,28.55,Nigeria,970.7,2010-12,2010-12,1
539978,2010-12-23 14:06:00,13165.0,SC4482,Cloths,89,5.43,Nigeria,483.27,2010-12,2010-12,1
540027,2011-01-04 13:30:00,14210.0,SC2081,Cloths,83,62.9,Nigeria,5220.7,2011-01,2011-01,1
540113,2011-01-05 09:11:00,13126.0,SC3260,Cloths,20,49.6,Nigeria,992.0,2011-01,2011-01,1
540179,2011-01-05 12:54:00,16033.0,SC9550,Cloths,1,11.13,Nigeria,11.13,2011-01,2011-01,1
540265,2011-01-06 10:46:00,15271.0,SC5078,Cloths,28,22.07,Nigeria,617.96,2011-01,2011-01,1
540267,2011-01-06 11:12:00,12415.0,SC2345,Cloths,77,77.78,Nigeria,5989.06,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC9356,Cloths,75,2.72,Nigeria,204.00000000000003,2011-01,2011-01,1
540350,2011-01-06 14:14:00,18283.0,SC8852,Cloths,32,6.24,Nigeria,199.68,2011-01,2011-01,1
540350,2011-01-06 14:14:00,18283.0,SC4514,Cloths,44,70.66,Nigeria,3109.04,2011-01,2011-01,1
540372,2011-01-06 16:41:00,13081.0,SC8682,Cloths,85,89.31,Nigeria,7591.35,2011-01,2011-01,1
540404,2011-01-07 09:40:00,12947.0,SC9757,Cloths,22,31.57,Nigeria,694.54,2011-01,2011-01,1
540407,2011-01-07 09:55:00,16839.0,SC9213,Cloths,11,30.63,Nigeria,336.93,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC8928,Cloths,55,72.87,Nigeria,4007.85,2011-01,2011-01,1
540480,2011-01-07 15:27:00,12480.0,SC7303,Cloths,15,91.23,Nigeria,1368.45,2011-01,2011-01,1
540550,2011-01-10 09:11:00,12539.0,SC9111,Cloths,12,53.82,Nigeria,645.84,2011-01,2011-01,1
540642,2011-01-10 13:22:00,12681.0,SC6555,Cloths,72,13.11,Nigeria,943.92,2011-01,2011-01,1
540647,2011-01-10 14:57:00,17406.0,SC6777,Cloths,35,57.67,Nigeria,2018.45,2011-01,2011-01,1
540680,2011-01-10 16:24:00,15311.0,SC5646,Cloths,15,71.67,Nigeria,1075.05,2011-01,2010-12,2
540688,2011-01-11 07:57:00,12736.0,SC8420,Cloths,68,21.45,Nigeria,1458.6,2011-01,2011-01,1
540798,2011-01-11 12:11:00,17365.0,SC1644,Cloths,76,38.65,Nigeria,2937.4,2011-01,2011-01,1
540824,2011-01-11 13:31:00,12728.0,SC7847,Cloths,73,62.02,Nigeria,4527.46,2011-01,2011-01,1
540824,2011-01-11 13:31:00,12728.0,SC1255,Cloths,33,4.59,Nigeria,151.47,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC8069,Cloths,47,12.58,Nigeria,591.26,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC4356,Cloths,31,13.82,Nigeria,428.42,2011-01,2011-01,1
540953,2011-01-12 13:16:00,14587.0,SC2819,Cloths,64,17.78,Nigeria,1137.92,2011-01,2011-01,1
540999,2011-01-13 10:08:00,13694.0,SC1732,Cloths,24,81.64,Nigeria,1959.36,2011-01,2011-01,1
541003,2011-01-13 10:35:00,15835.0,SC1677,Cloths,42,62.66,Nigeria,2631.72,2011-01,2011-01,1
541005,2011-01-13 10:39:00,16161.0,SC4039,Cloths,91,51.61,Nigeria,4696.51,2011-01,2011-01,1
541086,2011-01-13 12:32:00,16503.0,SC7105,Cloths,71,83.83,Nigeria,5951.93,2011-01,2011-01,1
541088,2011-01-13 12:41:00,15513.0,SC2736,Cloths,42,46.5,Nigeria,1953.0,2011-01,2011-01,1
541120,2011-01-14 09:13:00,12490.0,SC7059,Cloths,53,62.63,Nigeria,3319.3900000000003,2011-01,2011-01,1
541139,2011-01-14 11:05:00,15213.0,SC4047,Cloths,21,37.27,Nigeria,782.6700000000001,2011-01,2011-01,1
541205,2011-01-14 12:23:00,18106.0,SC6899,Cloths,56,42.44,Nigeria,2376.64,2011-01,2011-01,1
541206,2011-01-14 12:24:00,14646.0,SC2357,Cloths,99,43.72,Nigeria,4328.28,2011-01,2011-01,1
541220,2011-01-14 14:11:00,14156.0,SC4410,Cloths,62,70.11,Nigeria,4346.82,2011-01,2011-01,1
541258,2011-01-16 15:30:00,13634.0,SC9602,Cloths,29,4.01,Nigeria,116.29,2011-01,2011-01,1
541265,2011-01-16 16:23:00,17609.0,SC1515,Cloths,89,42.68,Nigeria,3798.52,2011-01,2011-01,1
541280,2011-01-17 11:57:00,15296.0,SC2815,Cloths,80,91.52,Nigeria,7321.599999999999,2011-01,2011-01,1
541289,2011-01-17 13:23:00,14606.0,SC8286,Cloths,25,9.95,Nigeria,248.75,2011-01,2010-12,2
541357,2011-01-17 14:40:00,14238.0,SC3130,Cloths,79,40.49,Nigeria,3198.71,2011-01,2011-01,1
541518,2011-01-19 09:05:00,12451.0,SC3122,Cloths,28,84.81,Nigeria,2374.6800000000003,2011-01,2011-01,1
