InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC2427,Cosmetics,50,31.9,Nigeria,1595.0,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC1710,Cosmetics,26,51.6,Nigeria,1341.6,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC2988,Cosmetics,50,13.31,Nigeria,665.5,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9661,Cosmetics,41,99.56,Nigeria,4081.96,2010-12,2010-12,1
536536,2010-12-01 13:45:00,18144.0,SC9739,Cosmetics,52,68.43,Nigeria,3558.3600000000006,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC9097,Cosmetics,65,82.94,Nigeria,5391.099999999999,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC5398,Cosmetics,13,10.55,Nigeria,137.15,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC4694,Cosmetics,52,65.79,Nigeria,3421.0800000000004,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC2574,Cosmetics,38,27.29,Nigeria,1037.02,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC3162,Cosmetics,93,61.78,Nigeria,5745.54,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2386,Cosmetics,83,60.08,Nigeria,4986.639999999999,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9124,Cosmetics,62,80.53,Nigeria,4992.86,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1672,Cosmetics,87,69.71,Nigeria,6064.77,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3208,Cosmetics,93,30.31,Nigeria,2818.83,2010-12,2010-12,1
