InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC5810,Electronics,82,93.66,Nigeria,7680.12,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3643,Electronics,29,82.1,Nigeria,2380.9,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC4853,Electronics,44,50.19,Nigeria,2208.36,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2956,Electronics,73,33.77,Nigeria,2465.21,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC9710,Electronics,19,42.07,Nigeria,799.33,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9303,Electronics,37,35.03,Nigeria,1296.11,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6721,Electronics,25,61.08,Nigeria,1527.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9185,Electronics,91,98.58,Nigeria,8970.78,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2899,Electronics,92,44.41,Nigeria,4085.72,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC6062,Electronics,37,11.45,Nigeria,423.65,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC3908,Electronics,35,99.92,Nigeria,3497.2000000000003,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1463,Electronics,8,93.65,Nigeria,749.2,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC4508,Electronics,89,81.81,Nigeria,7281.09,2010-12,2010-12,1
536614,2010-12-02 09:44:00,17850.0,SC4576,Electronics,95,16.69,Nigeria,1585.5500000000002,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC5680,Electronics,48,74.08,Nigeria,3555.84,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC3902,Electronics,98,37.98,Nigeria,3722.04,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC4960,Electronics,57,70.97,Nigeria,4045.29,2010-12,2010-12,1
536738,2010-12-02 13:06:00,15827.0,SC9314,Electronics,16,29.04,Nigeria,464.64,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC3433,Electronics,3,55.93,Nigeria,167.79,2010-12,2010-12,1
536797,2010-12-02 15:49:00,16770.0,SC1902,Electronics,97,66.47,Nigeria,6447.59,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC7216,Electronics,81,68.96,Nigeria,5585.759999999999,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9123,Electronics,16,15.73,Nigeria,251.68,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC6153,Electronics,70,18.23,Nigeria,1276.1,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC6007,Electronics,95,25.88,Nigeria,2458.6,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC3269,Electronics,79,20.27,Nigeria,1601.33,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC5746,Electronics,91,81.16,Nigeria,7385.559999999999,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3108,Electronics,10,65.88,Nigeria,658.8,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5745,Electronics,69,8.5,Nigeria,586.5,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7177,Electronics,90,52.47,Nigeria,4722.3,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5770,Electronics,37,12.29,Nigeria,454.73,2010-12,2010-12,1
