InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC4077,Furniture,44,62.97,Nigeria,2770.68,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7580,Furniture,38,60.05,Nigeria,2281.9,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC6758,Furniture,23,39.87,Nigeria,917.01,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8498,Furniture,46,4.79,Nigeria,220.34,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9453,Furniture,67,82.71,Nigeria,5541.57,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5287,Furniture,67,15.54,Nigeria,1041.1799999999998,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC9060,Furniture,70,38.46,Nigeria,2692.2000000000003,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4710,Furniture,93,92.73,Nigeria,8623.890000000001,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC8733,Furniture,14,18.38,Nigeria,257.32,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8049,Furniture,80,34.79,Nigeria,2783.2,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC8206,Furniture,39,99.99,Nigeria,3899.61,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC3354,Furniture,97,93.89,Nigeria,9107.33,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5893,Furniture,91,54.67,Nigeria,4974.97,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC2994,Furniture,22,48.07,Nigeria,1057.54,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC6531,Furniture,73,1.37,Nigeria,100.01,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC7360,Furniture,73,91.23,Nigeria,6659.79,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC7753,Furniture,84,21.28,Nigeria,1787.52,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC8908,Furniture,57,38.64,Nigeria,2202.48,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC6704,Furniture,3,38.6,Nigeria,115.8,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3520,Furniture,20,38.37,Nigeria,767.4,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6813,Furniture,93,71.37,Nigeria,6637.410000000001,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7756,Furniture,34,31.03,Nigeria,1055.02,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC5839,Furniture,45,71.71,Nigeria,3226.95,2010-12,2010-12,1
