InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536464,2010-12-01 12:23:00,17968.0,SC2269,Jewelry,28,26.39,Nigeria,738.9200000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9633,Jewelry,61,19.1,Nigeria,1165.1,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC5560,Jewelry,10,97.63,Nigeria,976.3,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6541,Jewelry,17,32.05,Nigeria,544.8499999999999,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9419,Jewelry,5,2.95,Nigeria,14.75,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8724,Jewelry,69,79.73,Nigeria,5501.37,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3120,Jewelry,95,31.04,Nigeria,2948.8,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC8671,Jewelry,13,52.91,Nigeria,687.8299999999999,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC6559,Jewelry,55,39.97,Nigeria,2198.35,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC8584,Jewelry,54,20.13,Nigeria,1087.02,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7179,Jewelry,43,57.5,Nigeria,2472.5,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC1522,Jewelry,40,75.16,Nigeria,3006.4,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2373,Jewelry,67,8.54,Nigeria,572.18,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6523,Jewelry,44,52.88,Nigeria,2326.7200000000003,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC5921,Jewelry,80,77.48,Nigeria,6198.400000000001,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC4255,Jewelry,62,34.99,Nigeria,2169.38,2010-12,2010-12,1
