InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536366,2010-12-01 08:28:00,17850.0,SC1236,Kitchenware,19,35.11,Nigeria,667.09,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC7651,Kitchenware,94,92.87,Nigeria,8729.78,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6267,Kitchenware,36,60.51,Nigeria,2178.36,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3273,Kitchenware,72,44.24,Nigeria,3185.28,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6085,Kitchenware,56,99.74,Nigeria,5585.44,2010-12,2010-12,1
536463,2010-12-01 12:22:00,14849.0,SC4474,Kitchenware,8,47.33,Nigeria,378.64,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC2671,Kitchenware,56,36.64,Nigeria,2051.84,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC3662,Kitchenware,12,93.51,Nigeria,1122.12,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC9378,Kitchenware,89,24.25,Nigeria,2158.25,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC7840,Kitchenware,1,23.76,Nigeria,23.76,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC5344,Kitchenware,72,15.11,Nigeria,1087.92,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC4950,Kitchenware,20,84.17,Nigeria,1683.4,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC9583,Kitchenware,49,61.49,Nigeria,3013.01,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC2051,Kitchenware,62,47.29,Nigeria,2931.98,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC3863,Kitchenware,92,62.25,Nigeria,5727.0,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC6781,Kitchenware,53,90.87,Nigeria,4816.110000000001,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC3010,Kitchenware,94,54.78,Nigeria,5149.32,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC8425,Kitchenware,9,68.55,Nigeria,616.9499999999999,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7669,Kitchenware,2,22.86,Nigeria,45.72,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC2237,Kitchenware,56,33.79,Nigeria,1892.24,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC5027,Kitchenware,61,73.83,Nigeria,4503.63,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC4549,Kitchenware,63,45.6,Nigeria,2872.8,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC3464,Kitchenware,5,45.94,Nigeria,229.7,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC1975,Kitchenware,64,90.91,Nigeria,5818.24,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC2369,Kitchenware,92,68.34,Nigeria,6287.280000000001,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6269,Kitchenware,5,94.52,Nigeria,472.6,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC6830,Kitchenware,18,84.01,Nigeria,1512.18,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC9269,Kitchenware,52,10.88,Nigeria,565.76,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC4396,Kitchenware,44,62.78,Nigeria,2762.32,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC6708,Kitchenware,21,32.33,Nigeria,678.93,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC3779,Kitchenware,85,14.61,Nigeria,1241.85,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC2372,Kitchenware,71,59.44,Nigeria,4220.24,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC8793,Kitchenware,98,8.48,Nigeria,831.0400000000001,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC9611,Kitchenware,54,22.53,Nigeria,1216.62,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC1159,Kitchenware,24,63.52,Nigeria,1524.48,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC6928,Kitchenware,16,98.48,Nigeria,1575.68,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC8578,Kitchenware,98,29.78,Nigeria,2918.44,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC3479,Kitchenware,77,59.47,Nigeria,4579.19,2010-12,2010-12,1
