InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC7651,Shoes,95,22.89,Nigeria,2174.55,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4968,Shoes,15,60.69,Nigeria,910.35,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4005,Shoes,21,96.98,Nigeria,2036.58,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4514,Shoes,68,90.63,Nigeria,6162.84,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6186,Shoes,77,46.96,Nigeria,3615.92,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9540,Shoes,83,19.08,Nigeria,1583.64,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC1427,Shoes,20,77.5,Nigeria,1550.0,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2012,Shoes,21,27.2,Nigeria,571.1999999999999,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC8334,Shoes,87,49.46,Nigeria,4303.02,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4526,Shoes,87,19.51,Nigeria,1697.37,2010-12,2010-12,1
536788,2010-12-02 15:25:00,15061.0,SC7602,Shoes,74,16.53,Nigeria,1223.22,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9133,Shoes,13,10.1,Nigeria,131.29999999999998,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5458,Shoes,32,88.63,Nigeria,2836.16,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC6168,Shoes,91,14.36,Nigeria,1306.76,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC4363,Shoes,99,87.27,Nigeria,8639.73,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7439,Shoes,44,11.22,Nigeria,493.68,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC1025,Shoes,79,71.2,Nigeria,5624.8,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC6412,Shoes,44,29.91,Nigeria,1316.04,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC5386,Shoes,39,13.11,Nigeria,511.29,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC3956,Shoes,68,10.43,Nigeria,709.24,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6443,Shoes,48,45.93,Nigeria,2204.64,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1642,Shoes,22,25.1,Nigeria,552.2,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC8509,Shoes,92,12.52,Nigeria,1151.84,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC4044,Shoes,100,18.64,Nigeria,1864.0,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC6300,Shoes,7,68.1,Nigeria,476.69999999999993,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC4290,Shoes,33,57.98,Nigeria,1913.34,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC4881,Shoes,46,90.27,Nigeria,4152.42,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3787,Shoes,47,78.94,Nigeria,3710.18,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC9177,Shoes,71,24.36,Nigeria,1729.56,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC3447,Shoes,82,28.3,Nigeria,2320.6,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5011,Shoes,84,41.73,Nigeria,3505.32,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC9135,Shoes,22,50.78,Nigeria,1117.16,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC7493,Shoes,49,67.51,Nigeria,3307.99,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC5525,Shoes,74,61.34,Nigeria,4539.16,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC2312,Shoes,46,58.56,Nigeria,2693.76,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC5110,Shoes,67,70.5,Nigeria,4723.5,2010-12,2010-12,1
537771,2010-12-08 12:29:00,15498.0,SC4328,Shoes,72,4.19,Nigeria,301.68,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC3363,Shoes,62,88.14,Nigeria,5464.68,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC8558,Shoes,29,91.61,Nigeria,2656.69,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC7468,Shoes,15,34.27,Nigeria,514.0500000000001,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC2020,Shoes,70,95.45,Nigeria,6681.5,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC7865,Shoes,64,61.27,Nigeria,3921.28,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC6635,Shoes,49,37.74,Nigeria,1849.26,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC9949,Shoes,96,69.09,Nigeria,6632.64,2010-12,2010-12,1
538260,2010-12-10 12:42:00,18178.0,SC2531,Shoes,29,88.91,Nigeria,2578.39,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC2127,Shoes,34,38.28,Nigeria,1301.52,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC1211,Shoes,55,1.04,Nigeria,57.2,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC8951,Shoes,74,73.66,Nigeria,5450.84,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC1669,Shoes,98,53.64,Nigeria,5256.72,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC1313,Shoes,2,35.84,Nigeria,71.68,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4252,Shoes,59,38.26,Nigeria,2257.34,2010-12,2010-12,1
538511,2010-12-12 13:56:00,13959.0,SC5132,Shoes,27,76.46,Nigeria,2064.42,2010-12,2010-12,1
