InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536387,2010-12-01 09:58:00,16029.0,SC7112,Sports Equipment,28,81.15,Nigeria,2272.2000000000003,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC6578,Sports Equipment,94,92.6,Nigeria,8704.4,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC3070,Sports Equipment,6,67.28,Nigeria,403.68,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1822,Sports Equipment,20,37.22,Nigeria,744.4,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5866,Sports Equipment,21,17.0,Nigeria,357.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1487,Sports Equipment,71,84.03,Nigeria,5966.13,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9664,Sports Equipment,66,2.21,Nigeria,145.86,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC9979,Sports Equipment,26,33.27,Nigeria,865.0200000000001,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC1679,Sports Equipment,52,83.18,Nigeria,4325.360000000001,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC3766,Sports Equipment,22,46.1,Nigeria,1014.2,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC2063,Sports Equipment,51,93.59,Nigeria,4773.09,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC9691,Sports Equipment,72,90.56,Nigeria,6520.32,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC5853,Sports Equipment,36,90.1,Nigeria,3243.6,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC8129,Sports Equipment,54,4.01,Nigeria,216.54,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9250,Sports Equipment,14,62.53,Nigeria,875.4200000000001,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC4800,Sports Equipment,21,66.74,Nigeria,1401.54,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC1438,Sports Equipment,90,81.51,Nigeria,7335.900000000001,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC8991,Sports Equipment,80,4.01,Nigeria,320.79999999999995,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3946,Sports Equipment,17,17.81,Nigeria,302.77,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7103,Sports Equipment,57,89.08,Nigeria,5077.56,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC2186,Sports Equipment,60,46.33,Nigeria,2779.8,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8961,Sports Equipment,83,18.05,Nigeria,1498.15,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6292,Sports Equipment,37,42.13,Nigeria,1558.8100000000002,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1197,Sports Equipment,99,84.42,Nigeria,8357.58,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC1362,Sports Equipment,33,99.23,Nigeria,3274.59,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC1209,Sports Equipment,51,96.65,Nigeria,4929.150000000001,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC4527,Sports Equipment,32,31.42,Nigeria,1005.44,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC1965,Sports Equipment,21,71.81,Nigeria,1508.01,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4306,Sports Equipment,8,59.57,Nigeria,476.56,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC5543,Sports Equipment,64,14.03,Nigeria,897.92,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2210,Sports Equipment,79,27.41,Nigeria,2165.39,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC5830,Sports Equipment,58,2.71,Nigeria,157.18,2010-12,2010-12,1
537397,2010-12-06 14:19:00,16817.0,SC5281,Sports Equipment,46,1.66,Nigeria,76.36,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC5607,Sports Equipment,31,42.69,Nigeria,1323.39,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC6065,Sports Equipment,57,61.09,Nigeria,3482.13,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC1537,Sports Equipment,42,15.69,Nigeria,658.98,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC6512,Sports Equipment,5,60.16,Nigeria,300.79999999999995,2010-12,2010-12,1
537629,2010-12-07 15:03:00,17419.0,SC2754,Sports Equipment,11,82.84,Nigeria,911.24,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC7706,Sports Equipment,21,14.88,Nigeria,312.48,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC3375,Sports Equipment,23,22.2,Nigeria,510.6,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC5904,Sports Equipment,62,79.95,Nigeria,4956.900000000001,2010-12,2010-12,1
537901,2010-12-09 10:48:00,13854.0,SC7806,Sports Equipment,3,68.06,Nigeria,204.18,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC3289,Sports Equipment,76,58.46,Nigeria,4442.96,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC1323,Sports Equipment,63,20.77,Nigeria,1308.51,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC7589,Sports Equipment,93,73.1,Nigeria,6798.299999999999,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC5994,Sports Equipment,51,50.34,Nigeria,2567.34,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC8279,Sports Equipment,60,99.06,Nigeria,5943.6,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC9806,Sports Equipment,86,40.74,Nigeria,3503.6400000000003,2010-12,2010-12,1
