InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC3436,Toys,12,14.04,Nigeria,168.48,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC7549,Toys,6,10.87,Nigeria,65.22,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC9711,Toys,69,66.83,Nigeria,4611.27,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1851,Toys,94,80.2,Nigeria,7538.8,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4271,Toys,62,13.35,Nigeria,827.6999999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4611,Toys,82,65.9,Nigeria,5403.8,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1176,Toys,47,42.89,Nigeria,2015.83,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9422,Toys,27,93.15,Nigeria,2515.05,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC3640,Toys,61,58.87,Nigeria,3591.07,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC3958,Toys,76,77.12,Nigeria,5861.120000000001,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8342,Toys,6,2.52,Nigeria,15.12,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC8310,Toys,68,66.25,Nigeria,4505.0,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2459,Toys,2,83.44,Nigeria,166.88,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC7298,Toys,37,21.88,Nigeria,809.56,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2830,Toys,87,45.98,Nigeria,4000.26,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6602,Toys,29,91.74,Nigeria,2660.46,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC3318,Toys,95,68.76,Nigeria,6532.200000000001,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC1663,Toys,9,50.96,Nigeria,458.64,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC4577,Toys,59,80.56,Nigeria,4753.04,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC4798,Toys,1,3.39,Nigeria,3.39,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5007,Toys,38,96.75,Nigeria,3676.5,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC8181,Toys,57,98.2,Nigeria,5597.400000000001,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC4276,Toys,12,99.0,Nigeria,1188.0,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC3770,Toys,12,16.61,Nigeria,199.32,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3133,Toys,61,25.62,Nigeria,1562.8200000000002,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1684,Toys,38,32.6,Nigeria,1238.8,2010-12,2010-12,1
536992,2010-12-03 15:16:00,15769.0,SC5241,Toys,52,33.18,Nigeria,1725.36,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9131,Toys,27,89.11,Nigeria,2405.97,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2841,Toys,47,16.24,Nigeria,763.28,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC9728,Toys,31,23.34,Nigeria,723.54,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6130,Toys,6,9.99,Nigeria,59.94,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8500,Toys,88,1.5,Nigeria,132.0,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC6058,Toys,21,80.98,Nigeria,1700.5800000000002,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7717,Toys,87,39.31,Nigeria,3419.9700000000003,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6151,Toys,98,62.45,Nigeria,6120.1,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC3042,Toys,71,28.02,Nigeria,1989.42,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC3828,Toys,60,19.98,Nigeria,1198.8,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC1784,Toys,24,78.75,Nigeria,1890.0,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4214,Toys,81,35.01,Nigeria,2835.81,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8677,Toys,70,14.81,Nigeria,1036.7,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC6510,Toys,14,72.01,Nigeria,1008.14,2010-12,2010-12,1
537243,2010-12-06 10:19:00,16638.0,SC6575,Toys,17,91.02,Nigeria,1547.34,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC7997,Toys,11,10.71,Nigeria,117.81,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC6396,Toys,28,14.74,Nigeria,412.72,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC8959,Toys,47,3.9,Nigeria,183.3,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC2363,Toys,88,56.65,Nigeria,4985.2,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC8688,Toys,84,72.2,Nigeria,6064.8,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC9685,Toys,58,50.96,Nigeria,2955.68,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC7359,Toys,25,31.96,Nigeria,799.0,2010-12,2010-12,1
537612,2010-12-07 13:28:00,13769.0,SC3508,Toys,27,7.66,Nigeria,206.82,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC7177,Toys,55,99.64,Nigeria,5480.2,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6321,Toys,36,92.07,Nigeria,3314.5199999999995,2010-12,2010-12,1
537636,2010-12-07 15:20:00,16950.0,SC3335,Toys,9,89.12,Nigeria,802.08,2010-12,2010-12,1
537649,2010-12-07 15:48:00,13807.0,SC1958,Toys,84,34.88,Nigeria,2929.92,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC1825,Toys,61,47.08,Nigeria,2871.88,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC9561,Toys,56,87.94,Nigeria,4924.639999999999,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC6032,Toys,87,50.02,Nigeria,4351.740000000001,2010-12,2010-12,1
537850,2010-12-08 15:38:00,16722.0,SC4402,Toys,19,66.67,Nigeria,1266.73,2010-12,2010-12,1
