InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC1567,Books,50,33.56,Rwanda,1678.0,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6474,Books,20,11.35,Rwanda,227.0,2010-12,2010-12,1
536508,2010-12-01 12:38:00,17181.0,SC3418,Books,98,21.34,Rwanda,2091.32,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC5695,Books,96,16.26,Rwanda,1560.96,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6672,Books,84,45.04,Rwanda,3783.36,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9871,Books,37,52.12,Rwanda,1928.44,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7107,Books,54,40.69,Rwanda,2197.26,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC1533,Books,21,57.7,Rwanda,1211.7,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7635,Books,17,98.12,Rwanda,1668.04,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC7411,Books,59,20.88,Rwanda,1231.9199999999998,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC8350,Books,7,81.07,Rwanda,567.49,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC6693,Books,32,80.32,Rwanda,2570.24,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8223,Books,96,97.12,Rwanda,9323.52,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC2977,Books,54,94.09,Rwanda,5080.860000000001,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC1217,Books,90,74.71,Rwanda,6723.9,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC7734,Books,15,44.17,Rwanda,662.5500000000001,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC8531,Books,99,75.89,Rwanda,7513.11,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3456,Books,11,37.12,Rwanda,408.32,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC3183,Books,22,60.27,Rwanda,1325.94,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC3663,Books,82,76.08,Rwanda,6238.56,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2952,Books,38,33.75,Rwanda,1282.5,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC3033,Books,28,9.69,Rwanda,271.32,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5955,Books,73,69.07,Rwanda,5042.11,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9681,Books,95,21.29,Rwanda,2022.55,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2195,Books,11,84.21,Rwanda,926.31,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC1720,Books,82,82.18,Rwanda,6738.76,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC9583,Books,99,49.36,Rwanda,4886.64,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC2808,Books,79,30.51,Rwanda,2410.29,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC4193,Books,65,78.69,Rwanda,5114.849999999999,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC5028,Books,17,47.96,Rwanda,815.32,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC2692,Books,20,70.0,Rwanda,1400.0,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC5369,Books,88,90.31,Rwanda,7947.280000000001,2010-12,2010-12,1
537674,2010-12-08 09:51:00,15628.0,SC2669,Books,11,60.84,Rwanda,669.24,2010-12,2010-12,1
537698,2010-12-08 10:51:00,13199.0,SC4479,Books,38,37.74,Rwanda,1434.12,2010-12,2010-12,1
537700,2010-12-08 10:51:00,18229.0,SC2133,Books,94,69.86,Rwanda,6566.84,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC8477,Books,39,92.46,Rwanda,3605.94,2010-12,2010-12,1
537766,2010-12-08 12:08:00,17677.0,SC7938,Books,77,84.61,Rwanda,6514.97,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC9164,Books,41,86.07,Rwanda,3528.87,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC2993,Books,61,24.97,Rwanda,1523.1699999999998,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC8638,Books,73,39.12,Rwanda,2855.76,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC3448,Books,7,91.98,Rwanda,643.86,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC8377,Books,38,40.28,Rwanda,1530.64,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC6579,Books,94,90.65,Rwanda,8521.1,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC8378,Books,88,34.75,Rwanda,3058.0,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC4316,Books,68,78.12,Rwanda,5312.16,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC4243,Books,84,79.5,Rwanda,6678.0,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC9912,Books,11,24.53,Rwanda,269.83000000000004,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC5779,Books,38,38.73,Rwanda,1471.7399999999998,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC5171,Books,32,50.06,Rwanda,1601.92,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC7951,Books,45,79.19,Rwanda,3563.55,2010-12,2010-12,1
538181,2010-12-10 10:08:00,17076.0,SC7922,Books,96,98.6,Rwanda,9465.6,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8845,Books,5,75.14,Rwanda,375.7,2010-12,2010-12,1
538283,2010-12-10 12:56:00,12748.0,SC9500,Books,21,87.12,Rwanda,1829.52,2010-12,2010-12,1
538308,2010-12-10 13:29:00,14107.0,SC4299,Books,43,53.63,Rwanda,2306.09,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC4417,Books,55,5.72,Rwanda,314.6,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC7044,Books,56,34.43,Rwanda,1928.08,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC1607,Books,15,51.26,Rwanda,768.9,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC9407,Books,61,39.13,Rwanda,2386.9300000000003,2010-12,2010-12,1
538409,2010-12-12 11:49:00,17236.0,SC8265,Books,67,90.8,Rwanda,6083.599999999999,2010-12,2010-12,1
538473,2010-12-12 12:35:00,13668.0,SC4516,Books,73,85.71,Rwanda,6256.83,2010-12,2010-12,1
