InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC8597,Cloths,54,94.18,Rwanda,5085.72,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7640,Cloths,90,99.64,Rwanda,8967.6,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5499,Cloths,21,22.3,Rwanda,468.3,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5559,Cloths,8,98.72,Rwanda,789.76,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8022,Cloths,54,83.71,Rwanda,4520.339999999999,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC3565,Cloths,71,7.66,Rwanda,543.86,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC2100,Cloths,49,66.01,Rwanda,3234.49,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC6460,Cloths,75,64.81,Rwanda,4860.75,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC3919,Cloths,14,36.53,Rwanda,511.42,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9067,Cloths,54,9.66,Rwanda,521.64,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC5783,Cloths,6,70.37,Rwanda,422.22,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5153,Cloths,26,58.71,Rwanda,1526.46,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9847,Cloths,66,48.81,Rwanda,3221.46,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC4890,Cloths,95,87.38,Rwanda,8301.1,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3837,Cloths,57,65.41,Rwanda,3728.37,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC7281,Cloths,35,93.06,Rwanda,3257.1,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4154,Cloths,80,46.37,Rwanda,3709.6,2010-12,2010-12,1
