InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC2178,Cosmetics,33,53.75,Rwanda,1773.75,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC4447,Cosmetics,70,11.19,Rwanda,783.3,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC8547,Cosmetics,61,57.63,Rwanda,3515.4300000000003,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC1687,Cosmetics,50,71.16,Rwanda,3558.0,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC3596,Cosmetics,96,82.91,Rwanda,7959.36,2010-12,2010-12,1
536594,2010-12-01 17:22:00,15235.0,SC9619,Cosmetics,93,77.86,Rwanda,7240.98,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC3510,Cosmetics,99,37.05,Rwanda,3667.95,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC5968,Cosmetics,51,69.05,Rwanda,3521.55,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3387,Cosmetics,84,76.86,Rwanda,6456.24,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC3918,Cosmetics,15,39.48,Rwanda,592.1999999999999,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC7845,Cosmetics,69,68.81,Rwanda,4747.89,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6213,Cosmetics,12,63.7,Rwanda,764.4000000000001,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3503,Cosmetics,43,32.21,Rwanda,1385.03,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2987,Cosmetics,53,5.16,Rwanda,273.48,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4463,Cosmetics,42,67.8,Rwanda,2847.6,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC7897,Cosmetics,69,4.87,Rwanda,336.03000000000003,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3527,Cosmetics,90,75.05,Rwanda,6754.5,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8849,Cosmetics,38,5.11,Rwanda,194.18,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC1069,Cosmetics,62,85.7,Rwanda,5313.400000000001,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC7241,Cosmetics,96,7.92,Rwanda,760.3199999999999,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC3429,Cosmetics,92,60.85,Rwanda,5598.2,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC3859,Cosmetics,34,53.47,Rwanda,1817.98,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8086,Cosmetics,66,45.64,Rwanda,3012.24,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC8631,Cosmetics,83,3.67,Rwanda,304.61,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC1371,Cosmetics,76,84.68,Rwanda,6435.68,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC1795,Cosmetics,39,28.07,Rwanda,1094.73,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC9767,Cosmetics,54,54.3,Rwanda,2932.2,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC7068,Cosmetics,48,28.46,Rwanda,1366.08,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC4427,Cosmetics,92,37.54,Rwanda,3453.68,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC6422,Cosmetics,87,39.23,Rwanda,3413.01,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC6193,Cosmetics,7,87.92,Rwanda,615.44,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC6677,Cosmetics,55,21.62,Rwanda,1189.1,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC5694,Cosmetics,93,55.09,Rwanda,5123.37,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC2014,Cosmetics,50,77.25,Rwanda,3862.5,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC3564,Cosmetics,21,58.05,Rwanda,1219.05,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC7341,Cosmetics,54,37.83,Rwanda,2042.82,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC2226,Cosmetics,54,60.56,Rwanda,3270.24,2010-12,2010-12,1
537794,2010-12-08 13:01:00,16713.0,SC7038,Cosmetics,50,36.44,Rwanda,1822.0,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC5119,Cosmetics,81,78.09,Rwanda,6325.29,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC5635,Cosmetics,72,83.66,Rwanda,6023.52,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC3652,Cosmetics,41,65.52,Rwanda,2686.32,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC6040,Cosmetics,17,52.17,Rwanda,886.89,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC5527,Cosmetics,15,1.65,Rwanda,24.75,2010-12,2010-12,1
538068,2010-12-09 14:05:00,17978.0,SC7458,Cosmetics,25,94.48,Rwanda,2362.0,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC8893,Cosmetics,57,15.68,Rwanda,893.76,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC7556,Cosmetics,31,32.75,Rwanda,1015.25,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC4845,Cosmetics,33,61.07,Rwanda,2015.31,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC7101,Cosmetics,12,36.04,Rwanda,432.48,2010-12,2010-12,1
538343,2010-12-10 14:29:00,13448.0,SC6155,Cosmetics,25,73.15,Rwanda,1828.75,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC7101,Cosmetics,67,37.55,Rwanda,2515.85,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC3206,Cosmetics,18,26.39,Rwanda,475.02,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC5585,Cosmetics,32,56.63,Rwanda,1812.16,2010-12,2010-12,1
538421,2010-12-12 12:08:00,17917.0,SC1173,Cosmetics,65,91.29,Rwanda,5933.85,2010-12,2010-12,1
538473,2010-12-12 12:35:00,13668.0,SC4019,Cosmetics,52,98.86,Rwanda,5140.72,2010-12,2010-12,1
538512,2010-12-12 14:03:00,16665.0,SC4678,Cosmetics,15,29.23,Rwanda,438.45,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC7615,Cosmetics,5,16.51,Rwanda,82.55000000000001,2010-12,2010-12,1
538636,2010-12-13 13:50:00,14639.0,SC6124,Cosmetics,58,40.47,Rwanda,2347.26,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC5110,Cosmetics,56,62.28,Rwanda,3487.6800000000003,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC5728,Cosmetics,31,73.22,Rwanda,2269.82,2010-12,2010-12,1
538796,2010-12-14 11:43:00,17041.0,SC6442,Cosmetics,59,91.59,Rwanda,5403.81,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC4061,Cosmetics,30,49.35,Rwanda,1480.5,2010-12,2010-12,1
538849,2010-12-14 13:31:00,14415.0,SC5199,Cosmetics,13,44.82,Rwanda,582.66,2010-12,2010-12,1
538857,2010-12-14 13:58:00,15311.0,SC5299,Cosmetics,3,36.61,Rwanda,109.83,2010-12,2010-12,1
538900,2010-12-15 09:51:00,13078.0,SC3172,Cosmetics,36,30.02,Rwanda,1080.72,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC2646,Cosmetics,69,1.42,Rwanda,97.98,2010-12,2010-12,1
539085,2010-12-16 09:35:00,12748.0,SC5237,Cosmetics,27,74.76,Rwanda,2018.52,2010-12,2010-12,1
539214,2010-12-16 12:31:00,17062.0,SC9240,Cosmetics,30,80.34,Rwanda,2410.2000000000003,2010-12,2010-12,1
539324,2010-12-16 19:51:00,14985.0,SC8969,Cosmetics,97,63.77,Rwanda,6185.6900000000005,2010-12,2010-12,1
