InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC4811,Electronics,25,94.97,Rwanda,2374.25,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC3628,Electronics,7,60.23,Rwanda,421.61,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC7043,Electronics,25,9.02,Rwanda,225.5,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6192,Electronics,64,16.58,Rwanda,1061.12,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6218,Electronics,74,82.44,Rwanda,6100.56,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3667,Electronics,17,21.65,Rwanda,368.05,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC8617,Electronics,7,12.21,Rwanda,85.47,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC5135,Electronics,95,1.49,Rwanda,141.55,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6716,Electronics,82,18.41,Rwanda,1509.62,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3943,Electronics,84,38.42,Rwanda,3227.28,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC4786,Electronics,34,12.46,Rwanda,423.64,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC6542,Electronics,47,52.79,Rwanda,2481.13,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9601,Electronics,5,70.92,Rwanda,354.6,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC7805,Electronics,41,9.7,Rwanda,397.7,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC2821,Electronics,61,21.86,Rwanda,1333.46,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8460,Electronics,78,18.21,Rwanda,1420.38,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC4917,Electronics,6,36.29,Rwanda,217.74,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC9533,Electronics,65,71.04,Rwanda,4617.6,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC6237,Electronics,35,16.94,Rwanda,592.9000000000001,2010-12,2010-12,1
