InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC2883,Furniture,50,75.66,Rwanda,3783.0,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1396,Furniture,33,66.3,Rwanda,2187.9,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3063,Furniture,43,52.19,Rwanda,2244.17,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1078,Furniture,55,53.18,Rwanda,2924.9,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1168,Furniture,35,39.3,Rwanda,1375.5,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2831,Furniture,37,69.76,Rwanda,2581.1200000000003,2010-12,2010-12,1
536581,2010-12-01 16:19:00,13777.0,SC9202,Furniture,64,80.16,Rwanda,5130.24,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC3970,Furniture,22,19.53,Rwanda,429.66,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC4027,Furniture,77,5.35,Rwanda,411.95,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC3713,Furniture,84,14.84,Rwanda,1246.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC5852,Furniture,78,8.88,Rwanda,692.6400000000001,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC3956,Furniture,42,60.44,Rwanda,2538.48,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3935,Furniture,67,36.0,Rwanda,2412.0,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC8035,Furniture,78,48.36,Rwanda,3772.08,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC5349,Furniture,54,45.9,Rwanda,2478.6,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC7957,Furniture,28,47.85,Rwanda,1339.8,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC7377,Furniture,16,26.41,Rwanda,422.56,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC1933,Furniture,44,67.09,Rwanda,2951.96,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC6387,Furniture,98,48.72,Rwanda,4774.56,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC1396,Furniture,87,60.12,Rwanda,5230.44,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC9706,Furniture,5,76.14,Rwanda,380.7,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1477,Furniture,61,50.53,Rwanda,3082.33,2010-12,2010-12,1
