InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC7984,Jewelry,80,78.12,Rwanda,6249.6,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC9689,Jewelry,5,12.41,Rwanda,62.05,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7692,Jewelry,100,2.83,Rwanda,283.0,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC1840,Jewelry,86,34.4,Rwanda,2958.4,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC1441,Jewelry,9,80.58,Rwanda,725.22,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC5951,Jewelry,41,36.49,Rwanda,1496.09,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9703,Jewelry,61,69.13,Rwanda,4216.929999999999,2010-12,2010-12,1
536641,2010-12-02 11:46:00,12748.0,SC7950,Jewelry,94,22.91,Rwanda,2153.54,2010-12,2010-12,1
536736,2010-12-02 12:59:00,17381.0,SC4883,Jewelry,28,63.0,Rwanda,1764.0,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC6257,Jewelry,82,72.06,Rwanda,5908.92,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9421,Jewelry,75,96.57,Rwanda,7242.749999999999,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC6194,Jewelry,36,76.46,Rwanda,2752.56,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC6113,Jewelry,40,58.92,Rwanda,2356.8,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC5872,Jewelry,74,60.59,Rwanda,4483.66,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6549,Jewelry,91,94.97,Rwanda,8642.27,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC8240,Jewelry,20,21.13,Rwanda,422.6,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC8017,Jewelry,15,90.58,Rwanda,1358.7,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC6017,Jewelry,5,13.51,Rwanda,67.55,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC7188,Jewelry,87,71.24,Rwanda,6197.879999999999,2010-12,2010-12,1
