InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC7497,Kitchenware,3,94.28,Rwanda,282.84000000000003,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC3476,Kitchenware,5,38.73,Rwanda,193.65,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3912,Kitchenware,91,76.28,Rwanda,6941.4800000000005,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9948,Kitchenware,95,15.38,Rwanda,1461.1,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC7528,Kitchenware,75,24.12,Rwanda,1809.0,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC7702,Kitchenware,62,42.36,Rwanda,2626.32,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC6690,Kitchenware,30,12.03,Rwanda,360.9,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC3052,Kitchenware,11,81.39,Rwanda,895.29,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC3013,Kitchenware,40,39.32,Rwanda,1572.8,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC6033,Kitchenware,83,34.96,Rwanda,2901.6800000000003,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC7249,Kitchenware,34,74.88,Rwanda,2545.92,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC4387,Kitchenware,59,10.96,Rwanda,646.6400000000001,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC8642,Kitchenware,6,17.35,Rwanda,104.1,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC3971,Kitchenware,24,6.87,Rwanda,164.88,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC2842,Kitchenware,95,24.58,Rwanda,2335.1,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC6764,Kitchenware,76,39.94,Rwanda,3035.44,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC3547,Kitchenware,83,98.03,Rwanda,8136.49,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC3522,Kitchenware,34,19.83,Rwanda,674.2199999999999,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC3028,Kitchenware,32,33.68,Rwanda,1077.76,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC6971,Kitchenware,6,50.52,Rwanda,303.12,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1549,Kitchenware,69,64.52,Rwanda,4451.88,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC9980,Kitchenware,64,53.8,Rwanda,3443.2,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC9517,Kitchenware,46,3.24,Rwanda,149.04000000000002,2010-12,2010-12,1
