InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC3000,Sports Equipment,4,66.67,Rwanda,266.68,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC3057,Sports Equipment,6,34.59,Rwanda,207.54,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC6204,Sports Equipment,85,26.05,Rwanda,2214.25,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7261,Sports Equipment,4,94.76,Rwanda,379.04,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC7678,Sports Equipment,12,70.95,Rwanda,851.4000000000001,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC8887,Sports Equipment,37,47.81,Rwanda,1768.97,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3725,Sports Equipment,68,24.97,Rwanda,1697.96,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC8951,Sports Equipment,42,45.48,Rwanda,1910.16,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC4411,Sports Equipment,92,41.12,Rwanda,3783.04,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC9660,Sports Equipment,53,97.48,Rwanda,5166.4400000000005,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC1138,Sports Equipment,44,77.35,Rwanda,3403.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC7656,Sports Equipment,8,8.38,Rwanda,67.04,2010-12,2010-12,1
537031,2010-12-03 16:45:00,16455.0,SC6989,Sports Equipment,54,40.33,Rwanda,2177.82,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC2663,Sports Equipment,22,39.7,Rwanda,873.4000000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8469,Sports Equipment,70,65.69,Rwanda,4598.3,2010-12,2010-12,1
