InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC2149,Toys,50,38.83,Rwanda,1941.5,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2719,Toys,92,28.03,Rwanda,2578.76,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4535,Toys,37,95.2,Rwanda,3522.4,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1443,Toys,80,97.72,Rwanda,7817.6,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2410,Toys,60,49.78,Rwanda,2986.8,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5872,Toys,14,26.09,Rwanda,365.26,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC9801,Toys,32,68.38,Rwanda,2188.16,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9152,Toys,76,4.11,Rwanda,312.36,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3151,Toys,89,28.64,Rwanda,2548.96,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC5704,Toys,15,32.8,Rwanda,492.0,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC2631,Toys,60,76.87,Rwanda,4612.200000000001,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC4268,Toys,3,8.95,Rwanda,26.85,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC8872,Toys,75,36.57,Rwanda,2742.75,2010-12,2010-12,1
536785,2010-12-02 15:22:00,15061.0,SC4920,Toys,61,47.31,Rwanda,2885.9100000000003,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC9432,Toys,82,14.31,Rwanda,1173.42,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC6658,Toys,32,9.23,Rwanda,295.36,2010-12,2010-12,1
536969,2010-12-03 13:10:00,16013.0,SC8160,Toys,84,6.75,Rwanda,567.0,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC9431,Toys,58,91.02,Rwanda,5279.16,2010-12,2010-12,1
537040,2010-12-05 10:27:00,13089.0,SC1782,Toys,66,64.54,Rwanda,4259.64,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC3511,Toys,13,69.59,Rwanda,904.67,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2532,Toys,16,38.75,Rwanda,620.0,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC6119,Toys,44,33.32,Rwanda,1466.08,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC8106,Toys,77,27.86,Rwanda,2145.22,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC4447,Toys,60,31.98,Rwanda,1918.8,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC4208,Toys,27,80.91,Rwanda,2184.57,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC9456,Toys,68,71.93,Rwanda,4891.240000000001,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC3462,Toys,50,75.96,Rwanda,3798.0,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4879,Toys,24,27.31,Rwanda,655.4399999999999,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC6839,Toys,78,57.2,Rwanda,4461.6,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC9239,Toys,98,9.58,Rwanda,938.84,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC9256,Toys,97,27.07,Rwanda,2625.79,2010-12,2010-12,1
537378,2010-12-06 13:06:00,14911.0,SC9953,Toys,86,19.32,Rwanda,1661.52,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC3900,Toys,68,12.34,Rwanda,839.12,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC9632,Toys,64,48.15,Rwanda,3081.6,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC6101,Toys,24,62.73,Rwanda,1505.52,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC1013,Toys,3,68.44,Rwanda,205.32,2010-12,2010-12,1
537476,2010-12-07 11:26:00,15838.0,SC3240,Toys,66,8.16,Rwanda,538.5600000000001,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC7279,Toys,2,86.78,Rwanda,173.56,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC9942,Toys,16,49.28,Rwanda,788.48,2010-12,2010-12,1
537672,2010-12-08 09:30:00,13050.0,SC3981,Toys,92,52.66,Rwanda,4844.719999999999,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC5958,Toys,88,75.93,Rwanda,6681.84,2010-12,2010-12,1
537681,2010-12-08 10:11:00,13329.0,SC9345,Toys,95,92.41,Rwanda,8778.949999999999,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC6564,Toys,55,60.91,Rwanda,3350.05,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC3772,Toys,61,97.33,Rwanda,5937.13,2010-12,2010-12,1
537766,2010-12-08 12:08:00,17677.0,SC1136,Toys,9,91.55,Rwanda,823.9499999999999,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8906,Toys,75,80.09,Rwanda,6006.75,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC3303,Toys,91,87.49,Rwanda,7961.589999999999,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC7319,Toys,12,9.89,Rwanda,118.68,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC2174,Toys,84,14.36,Rwanda,1206.24,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC7187,Toys,23,8.64,Rwanda,198.72000000000003,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC5930,Toys,64,61.01,Rwanda,3904.64,2010-12,2010-12,1
537837,2010-12-08 14:59:00,13077.0,SC2597,Toys,44,32.21,Rwanda,1417.24,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC9758,Toys,87,11.49,Rwanda,999.63,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC9480,Toys,43,14.88,Rwanda,639.84,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC5094,Toys,66,53.82,Rwanda,3552.12,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC7659,Toys,87,85.9,Rwanda,7473.3,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC1076,Toys,28,60.44,Rwanda,1692.32,2010-12,2010-12,1
538113,2010-12-09 15:29:00,15811.0,SC3403,Toys,28,46.98,Rwanda,1315.4399999999998,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC9334,Toys,54,13.12,Rwanda,708.4799999999999,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC1570,Toys,94,35.74,Rwanda,3359.5600000000004,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC6526,Toys,17,23.21,Rwanda,394.57,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC7150,Toys,15,98.05,Rwanda,1470.75,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC9182,Toys,69,46.31,Rwanda,3195.3900000000003,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC5873,Toys,90,64.26,Rwanda,5783.400000000001,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC1188,Toys,58,3.04,Rwanda,176.32,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC4969,Toys,26,6.04,Rwanda,157.04,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC4051,Toys,19,39.5,Rwanda,750.5,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC7147,Toys,83,33.88,Rwanda,2812.0400000000004,2010-12,2010-12,1
538641,2010-12-13 14:36:00,15640.0,SC4074,Toys,78,70.58,Rwanda,5505.24,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7171,Toys,96,7.82,Rwanda,750.72,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC4390,Toys,87,28.28,Rwanda,2460.36,2010-12,2010-12,1
538816,2010-12-14 12:35:00,16812.0,SC8927,Toys,35,9.78,Rwanda,342.29999999999995,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC6011,Toys,14,77.47,Rwanda,1084.58,2010-12,2010-12,1
538902,2010-12-15 10:04:00,14150.0,SC3801,Toys,49,2.91,Rwanda,142.59,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC1562,Toys,58,25.49,Rwanda,1478.4199999999998,2010-12,2010-12,1
539047,2010-12-15 16:03:00,15290.0,SC1587,Toys,13,6.43,Rwanda,83.59,2010-12,2010-12,1
539053,2010-12-15 16:32:00,16725.0,SC6539,Toys,5,87.97,Rwanda,439.85,2010-12,2010-12,1
539218,2010-12-16 12:48:00,15574.0,SC4829,Toys,62,60.06,Rwanda,3723.72,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC6400,Toys,78,83.51,Rwanda,6513.780000000001,2010-12,2010-12,1
539285,2010-12-16 15:59:00,15366.0,SC8400,Toys,7,37.14,Rwanda,259.98,2010-12,2010-12,1
