InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC3935,Books,13,71.63,Senegal,931.19,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4220,Books,81,93.54,Senegal,7576.740000000001,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7298,Books,43,23.92,Senegal,1028.5600000000002,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8372,Books,23,38.0,Senegal,874.0,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1045,Books,72,3.91,Senegal,281.52,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2379,Books,9,7.01,Senegal,63.09,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC2271,Books,79,50.82,Senegal,4014.78,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC3890,Books,20,37.16,Senegal,743.1999999999999,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC5378,Books,9,75.52,Senegal,679.68,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4532,Books,67,96.24,Senegal,6448.08,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7935,Books,45,52.12,Senegal,2345.4,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2548,Books,16,43.5,Senegal,696.0,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5389,Books,96,34.16,Senegal,3279.36,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8778,Books,37,20.56,Senegal,760.7199999999999,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC3845,Books,52,72.47,Senegal,3768.44,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC8821,Books,44,76.5,Senegal,3366.0,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC6774,Books,33,71.61,Senegal,2363.13,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC2149,Books,59,69.22,Senegal,4083.98,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC4346,Books,1,88.13,Senegal,88.13,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7658,Books,69,31.59,Senegal,2179.71,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9720,Books,77,29.15,Senegal,2244.55,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC9941,Books,40,79.61,Senegal,3184.4,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2412,Books,23,74.39,Senegal,1710.97,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC1629,Books,29,70.99,Senegal,2058.71,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC4348,Books,75,82.64,Senegal,6198.0,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC5679,Books,16,56.82,Senegal,909.12,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9751,Books,13,56.77,Senegal,738.01,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC5522,Books,96,90.55,Senegal,8692.8,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC9899,Books,93,99.17,Senegal,9222.81,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8889,Books,28,36.06,Senegal,1009.68,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC7960,Books,5,19.55,Senegal,97.75,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4563,Books,92,51.01,Senegal,4692.92,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC7215,Books,8,31.61,Senegal,252.88,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC6452,Books,76,59.77,Senegal,4542.52,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC2182,Books,100,64.97,Senegal,6497.0,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC2509,Books,36,24.57,Senegal,884.52,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1507,Books,74,85.6,Senegal,6334.4,2010-12,2010-12,1
537235,2010-12-06 09:45:00,17381.0,SC9598,Books,59,30.11,Senegal,1776.49,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC6741,Books,24,64.33,Senegal,1543.92,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC5907,Books,54,34.27,Senegal,1850.58,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC4193,Books,6,81.96,Senegal,491.76,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5721,Books,16,80.22,Senegal,1283.52,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC2392,Books,41,24.63,Senegal,1009.83,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC4590,Books,76,91.3,Senegal,6938.8,2010-12,2010-12,1
537523,2010-12-07 11:45:00,14176.0,SC1181,Books,2,91.93,Senegal,183.86,2010-12,2010-12,1
