InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC3051,Cloths,81,92.47,Senegal,7490.07,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4634,Cloths,65,67.4,Senegal,4381.0,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6119,Cloths,6,11.66,Senegal,69.96000000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7188,Cloths,46,70.18,Senegal,3228.28,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5452,Cloths,77,21.01,Senegal,1617.7700000000002,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4683,Cloths,60,7.56,Senegal,453.6,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC3099,Cloths,56,65.75,Senegal,3682.0,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9181,Cloths,70,65.77,Senegal,4603.9,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2737,Cloths,18,89.57,Senegal,1612.2599999999998,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC4573,Cloths,11,5.27,Senegal,57.97,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC3716,Cloths,10,24.91,Senegal,249.1,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC3386,Cloths,60,72.6,Senegal,4356.0,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC3562,Cloths,68,27.2,Senegal,1849.6,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC1448,Cloths,72,61.43,Senegal,4422.96,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2446,Cloths,88,2.58,Senegal,227.04,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC2039,Cloths,10,27.93,Senegal,279.3,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC2456,Cloths,87,3.66,Senegal,318.42,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC6052,Cloths,52,55.02,Senegal,2861.04,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7180,Cloths,76,93.01,Senegal,7068.76,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC9245,Cloths,33,3.96,Senegal,130.68,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC9767,Cloths,25,74.31,Senegal,1857.75,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC5402,Cloths,18,36.68,Senegal,660.24,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2912,Cloths,73,35.11,Senegal,2563.03,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4584,Cloths,84,80.16,Senegal,6733.44,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6158,Cloths,4,78.79,Senegal,315.16,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3790,Cloths,52,93.19,Senegal,4845.88,2010-12,2010-12,1
