InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536385,2010-12-01 09:56:00,17420.0,SC2112,Cosmetics,13,95.79,Senegal,1245.27,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8323,Cosmetics,49,83.78,Senegal,4105.22,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7666,Cosmetics,6,42.94,Senegal,257.64,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC8978,Cosmetics,73,69.22,Senegal,5053.06,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC6547,Cosmetics,87,67.08,Senegal,5835.96,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC9852,Cosmetics,93,63.72,Senegal,5925.96,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC9485,Cosmetics,63,73.52,Senegal,4631.759999999999,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC2964,Cosmetics,86,14.81,Senegal,1273.66,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC5951,Cosmetics,65,23.6,Senegal,1534.0,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC7037,Cosmetics,5,37.52,Senegal,187.6,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7103,Cosmetics,74,83.94,Senegal,6211.56,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC7972,Cosmetics,81,60.33,Senegal,4886.73,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC8929,Cosmetics,89,68.28,Senegal,6076.92,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC6653,Cosmetics,83,5.86,Senegal,486.38000000000005,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4956,Cosmetics,8,42.21,Senegal,337.68,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC3592,Cosmetics,57,40.19,Senegal,2290.83,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1689,Cosmetics,74,40.02,Senegal,2961.48,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC6779,Cosmetics,52,89.32,Senegal,4644.639999999999,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC5597,Cosmetics,92,11.68,Senegal,1074.56,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6099,Cosmetics,18,50.64,Senegal,911.52,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC5708,Cosmetics,32,20.02,Senegal,640.64,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC4503,Cosmetics,24,71.48,Senegal,1715.52,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC5498,Cosmetics,49,1.27,Senegal,62.23,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1648,Cosmetics,42,39.68,Senegal,1666.56,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC7215,Cosmetics,99,45.48,Senegal,4502.52,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC9186,Cosmetics,79,50.01,Senegal,3950.79,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC2713,Cosmetics,18,98.15,Senegal,1766.7,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4399,Cosmetics,14,96.71,Senegal,1353.9399999999998,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC2757,Cosmetics,65,65.28,Senegal,4243.2,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC5602,Cosmetics,56,6.05,Senegal,338.8,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC2536,Cosmetics,76,53.57,Senegal,4071.32,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC4722,Cosmetics,40,74.99,Senegal,2999.6,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC5721,Cosmetics,47,92.06,Senegal,4326.82,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1362,Cosmetics,31,32.91,Senegal,1020.21,2010-12,2010-12,1
537800,2010-12-08 13:08:00,12748.0,SC1731,Cosmetics,32,24.63,Senegal,788.16,2010-12,2010-12,1
537815,2010-12-08 13:49:00,17676.0,SC6202,Cosmetics,45,28.93,Senegal,1301.85,2010-12,2010-12,1
