InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC9511,Electronics,86,15.06,Senegal,1295.16,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1899,Electronics,84,47.87,Senegal,4021.08,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC8537,Electronics,75,81.07,Senegal,6080.249999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6125,Electronics,90,39.5,Senegal,3555.0,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4339,Electronics,54,42.46,Senegal,2292.84,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC3578,Electronics,95,10.08,Senegal,957.6,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC8280,Electronics,63,99.73,Senegal,6282.990000000001,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC4214,Electronics,10,69.66,Senegal,696.5999999999999,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC8552,Electronics,8,21.66,Senegal,173.28,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9129,Electronics,99,57.1,Senegal,5652.900000000001,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC4904,Electronics,54,60.76,Senegal,3281.04,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC7610,Electronics,61,72.04,Senegal,4394.4400000000005,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC3906,Electronics,92,89.66,Senegal,8248.72,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6388,Electronics,42,85.61,Senegal,3595.62,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC3004,Electronics,34,50.1,Senegal,1703.4,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC3599,Electronics,71,61.56,Senegal,4370.76,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC2586,Electronics,56,68.42,Senegal,3831.52,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC5969,Electronics,27,10.52,Senegal,284.04,2010-12,2010-12,1
