InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536464,2010-12-01 12:23:00,17968.0,SC3248,Furniture,20,33.45,Senegal,669.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4689,Furniture,91,94.17,Senegal,8569.47,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8301,Furniture,17,42.63,Senegal,724.71,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7357,Furniture,72,75.77,Senegal,5455.44,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9648,Furniture,31,69.12,Senegal,2142.7200000000003,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC9708,Furniture,40,54.22,Senegal,2168.8,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7752,Furniture,87,70.26,Senegal,6112.620000000001,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC3738,Furniture,39,8.88,Senegal,346.32000000000005,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC4017,Furniture,20,31.48,Senegal,629.6,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3505,Furniture,43,97.88,Senegal,4208.84,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC4996,Furniture,40,11.03,Senegal,441.2,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4208,Furniture,74,37.34,Senegal,2763.1600000000003,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC3240,Furniture,39,8.91,Senegal,347.49,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC7484,Furniture,60,87.91,Senegal,5274.599999999999,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4468,Furniture,31,87.38,Senegal,2708.78,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC4654,Furniture,12,64.38,Senegal,772.56,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC6426,Furniture,40,62.47,Senegal,2498.8,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC3161,Furniture,85,51.08,Senegal,4341.8,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC8186,Furniture,5,45.64,Senegal,228.2,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC9484,Furniture,75,42.91,Senegal,3218.2499999999995,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC4158,Furniture,51,11.92,Senegal,607.92,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7231,Furniture,95,63.34,Senegal,6017.3,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC7822,Furniture,36,4.38,Senegal,157.68,2010-12,2010-12,1
