InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536385,2010-12-01 09:56:00,17420.0,SC4336,Jewelry,86,9.64,Senegal,829.0400000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5226,Jewelry,84,64.31,Senegal,5402.04,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5891,Jewelry,78,19.96,Senegal,1556.88,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7930,Jewelry,36,57.67,Senegal,2076.12,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6226,Jewelry,14,86.04,Senegal,1204.5600000000002,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC8809,Jewelry,64,64.89,Senegal,4152.96,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC1127,Jewelry,80,24.74,Senegal,1979.2,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC1171,Jewelry,21,31.42,Senegal,659.82,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC7159,Jewelry,87,95.42,Senegal,8301.54,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3459,Jewelry,64,25.23,Senegal,1614.72,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC9490,Jewelry,81,36.65,Senegal,2968.65,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC4184,Jewelry,92,5.98,Senegal,550.1600000000001,2010-12,2010-12,1
536824,2010-12-02 17:24:00,13798.0,SC5166,Jewelry,86,98.81,Senegal,8497.66,2010-12,2010-12,1
536830,2010-12-02 17:38:00,16754.0,SC2156,Jewelry,44,45.11,Senegal,1984.84,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5798,Jewelry,22,46.89,Senegal,1031.58,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC6257,Jewelry,14,97.49,Senegal,1364.86,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC2004,Jewelry,86,3.16,Senegal,271.76,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC9019,Jewelry,55,32.7,Senegal,1798.5000000000002,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC1830,Jewelry,24,46.31,Senegal,1111.44,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2960,Jewelry,63,33.82,Senegal,2130.66,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC6005,Jewelry,70,62.55,Senegal,4378.5,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC9105,Jewelry,40,91.85,Senegal,3674.0,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC2684,Jewelry,98,61.23,Senegal,6000.54,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC9954,Jewelry,96,91.81,Senegal,8813.76,2010-12,2010-12,1
537210,2010-12-05 15:15:00,15953.0,SC9530,Jewelry,5,18.48,Senegal,92.4,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC5958,Jewelry,30,93.68,Senegal,2810.4,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9132,Jewelry,49,84.92,Senegal,4161.08,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC4481,Jewelry,56,40.21,Senegal,2251.76,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC8161,Jewelry,32,28.24,Senegal,903.68,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC9409,Jewelry,86,2.96,Senegal,254.56,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC4503,Jewelry,6,55.22,Senegal,331.32,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC1310,Jewelry,48,12.65,Senegal,607.2,2010-12,2010-12,1
