InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC9316,Shoes,3,25.93,Senegal,77.78999999999999,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC1230,Shoes,36,23.53,Senegal,847.08,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC7926,Shoes,93,54.72,Senegal,5088.96,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC6024,Shoes,8,94.04,Senegal,752.32,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC2798,Shoes,22,56.19,Senegal,1236.1799999999998,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2406,Shoes,45,65.95,Senegal,2967.75,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6660,Shoes,60,74.66,Senegal,4479.599999999999,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC2049,Shoes,52,33.26,Senegal,1729.52,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC6538,Shoes,93,30.78,Senegal,2862.54,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC2916,Shoes,49,33.78,Senegal,1655.22,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2477,Shoes,27,65.43,Senegal,1766.61,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6200,Shoes,28,82.87,Senegal,2320.36,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC9141,Shoes,73,54.09,Senegal,3948.57,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC3741,Shoes,32,12.79,Senegal,409.28,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7808,Shoes,37,85.34,Senegal,3157.58,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC1101,Shoes,76,11.38,Senegal,864.8800000000001,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC6672,Shoes,30,40.16,Senegal,1204.8,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4842,Shoes,16,96.14,Senegal,1538.24,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5600,Shoes,61,83.58,Senegal,5098.38,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC2488,Shoes,2,21.69,Senegal,43.38,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8111,Shoes,58,58.01,Senegal,3364.58,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC3227,Shoes,15,55.72,Senegal,835.8,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC9154,Shoes,89,99.82,Senegal,8883.98,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC2624,Shoes,86,57.83,Senegal,4973.38,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3781,Shoes,41,57.39,Senegal,2352.99,2010-12,2010-12,1
537241,2010-12-06 10:18:00,14293.0,SC5433,Shoes,34,21.76,Senegal,739.84,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC7055,Shoes,4,30.89,Senegal,123.56,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC8762,Shoes,46,59.77,Senegal,2749.42,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2201,Shoes,43,38.53,Senegal,1656.79,2010-12,2010-12,1
537390,2010-12-06 13:47:00,16658.0,SC2201,Shoes,63,72.73,Senegal,4581.990000000001,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC3844,Shoes,81,50.68,Senegal,4105.08,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC6967,Shoes,76,91.26,Senegal,6935.76,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC2741,Shoes,63,18.58,Senegal,1170.54,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC6067,Shoes,93,65.52,Senegal,6093.36,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC2467,Shoes,1,31.98,Senegal,31.98,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC3028,Shoes,56,2.45,Senegal,137.20000000000002,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC2357,Shoes,58,86.37,Senegal,5009.46,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC9395,Shoes,34,1.96,Senegal,66.64,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC4312,Shoes,9,90.44,Senegal,813.96,2010-12,2010-12,1
537676,2010-12-08 09:53:00,12386.0,SC9978,Shoes,56,28.88,Senegal,1617.28,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC7106,Shoes,93,9.76,Senegal,907.68,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC2459,Shoes,46,6.07,Senegal,279.22,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC9216,Shoes,23,21.7,Senegal,499.1,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC3831,Shoes,91,48.22,Senegal,4388.02,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC6571,Shoes,18,99.55,Senegal,1791.9,2010-12,2010-12,1
537842,2010-12-08 15:12:00,13140.0,SC7940,Shoes,25,29.97,Senegal,749.25,2010-12,2010-12,1
537880,2010-12-09 09:14:00,12963.0,SC6425,Shoes,61,17.71,Senegal,1080.31,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC4402,Shoes,6,51.31,Senegal,307.86,2010-12,2010-12,1
537901,2010-12-09 10:48:00,13854.0,SC9672,Shoes,90,29.33,Senegal,2639.7,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC7163,Shoes,75,48.8,Senegal,3660.0,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC3080,Shoes,36,93.1,Senegal,3351.6,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC2013,Shoes,64,3.75,Senegal,240.0,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC3742,Shoes,80,88.4,Senegal,7072.0,2010-12,2010-12,1
538117,2010-12-09 15:33:00,13327.0,SC8099,Shoes,4,99.82,Senegal,399.28,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC9863,Shoes,10,6.09,Senegal,60.9,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC3382,Shoes,10,83.11,Senegal,831.1,2010-12,2010-12,1
538178,2010-12-10 09:51:00,17696.0,SC8542,Shoes,67,5.24,Senegal,351.08000000000004,2010-12,2010-12,1
