InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC4398,Sports Equipment,88,15.45,Senegal,1359.6,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6943,Sports Equipment,36,71.93,Senegal,2589.4800000000005,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC1892,Sports Equipment,29,49.81,Senegal,1444.49,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC8435,Sports Equipment,5,34.8,Senegal,174.0,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4008,Sports Equipment,88,98.17,Senegal,8638.960000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1370,Sports Equipment,23,73.78,Senegal,1696.94,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC6871,Sports Equipment,95,35.53,Senegal,3375.35,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC5750,Sports Equipment,55,52.08,Senegal,2864.4,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC7789,Sports Equipment,64,38.38,Senegal,2456.32,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6340,Sports Equipment,60,37.11,Senegal,2226.6,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9025,Sports Equipment,62,84.99,Senegal,5269.38,2010-12,2010-12,1
536598,2010-12-02 07:48:00,13090.0,SC2773,Sports Equipment,97,65.1,Senegal,6314.7,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC8478,Sports Equipment,66,85.82,Senegal,5664.12,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC1706,Sports Equipment,15,4.05,Senegal,60.75,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC4823,Sports Equipment,87,11.36,Senegal,988.32,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC6590,Sports Equipment,19,68.47,Senegal,1300.93,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7026,Sports Equipment,73,18.76,Senegal,1369.48,2010-12,2010-12,1
536781,2010-12-02 15:14:00,17460.0,SC6736,Sports Equipment,85,81.28,Senegal,6908.8,2010-12,2010-12,1
