InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8508,Toys,58,45.61,Senegal,2645.38,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC5539,Toys,51,58.57,Senegal,2987.07,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4092,Toys,67,27.72,Senegal,1857.24,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4566,Toys,68,76.52,Senegal,5203.36,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8700,Toys,89,13.7,Senegal,1219.3,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC1354,Toys,88,12.1,Senegal,1064.8,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7854,Toys,49,17.93,Senegal,878.5699999999999,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC4541,Toys,92,96.43,Senegal,8871.560000000001,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC6917,Toys,45,46.54,Senegal,2094.3,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC9554,Toys,34,28.11,Senegal,955.74,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC9774,Toys,49,14.89,Senegal,729.61,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1491,Toys,100,72.11,Senegal,7211.0,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9676,Toys,48,85.05,Senegal,4082.4,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC3151,Toys,9,61.48,Senegal,553.3199999999999,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3066,Toys,32,30.68,Senegal,981.76,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC6163,Toys,22,68.74,Senegal,1512.28,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC4488,Toys,82,98.62,Senegal,8086.84,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2950,Toys,9,14.77,Senegal,132.93,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC8701,Toys,66,44.17,Senegal,2915.2200000000003,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9964,Toys,40,42.02,Senegal,1680.8000000000002,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2523,Toys,97,51.53,Senegal,4998.41,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3796,Toys,55,96.2,Senegal,5291.0,2010-12,2010-12,1
