InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC3966,Books,99,8.29,Sierra Leone,820.7099999999999,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9722,Books,52,63.5,Sierra Leone,3302.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9743,Books,92,97.02,Sierra Leone,8925.84,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC8496,Books,4,13.19,Sierra Leone,52.76,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2239,Books,45,47.49,Sierra Leone,2137.05,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC2352,Books,45,51.24,Sierra Leone,2305.8,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC7545,Books,14,27.22,Sierra Leone,381.08,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC4531,Books,48,67.97,Sierra Leone,3262.56,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC9374,Books,61,80.5,Sierra Leone,4910.5,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC1255,Books,60,38.69,Sierra Leone,2321.4,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC6914,Books,45,16.64,Sierra Leone,748.8000000000001,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC2214,Books,36,68.47,Sierra Leone,2464.92,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4961,Books,4,15.78,Sierra Leone,63.12,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4357,Books,29,32.73,Sierra Leone,949.17,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC6710,Books,40,13.64,Sierra Leone,545.6,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7877,Books,12,24.28,Sierra Leone,291.36,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC1498,Books,49,74.99,Sierra Leone,3674.51,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC6114,Books,25,9.54,Sierra Leone,238.5,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC2837,Books,74,54.64,Sierra Leone,4043.36,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC3780,Books,66,35.26,Sierra Leone,2327.16,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC6298,Books,44,66.05,Sierra Leone,2906.2,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC4707,Books,77,56.4,Sierra Leone,4342.8,2010-12,2010-12,1
537214,2010-12-05 15:35:00,16422.0,SC5049,Books,49,4.27,Sierra Leone,209.23,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC9666,Books,40,45.54,Sierra Leone,1821.6,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1509,Books,8,44.27,Sierra Leone,354.16,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6010,Books,99,91.38,Sierra Leone,9046.62,2010-12,2010-12,1
537249,2010-12-06 10:38:00,16955.0,SC8673,Books,51,34.88,Sierra Leone,1778.88,2010-12,2010-12,1
537258,2010-12-06 11:16:00,17227.0,SC8100,Books,28,14.05,Sierra Leone,393.4,2010-12,2010-12,1
537366,2010-12-06 12:39:00,14085.0,SC4278,Books,33,81.83,Sierra Leone,2700.39,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC8050,Books,47,40.06,Sierra Leone,1882.82,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC8203,Books,17,35.93,Sierra Leone,610.81,2010-12,2010-12,1
537410,2010-12-06 15:03:00,14409.0,SC6691,Books,9,58.29,Sierra Leone,524.61,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC8111,Books,13,85.86,Sierra Leone,1116.18,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC6078,Books,68,28.9,Sierra Leone,1965.2,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC6575,Books,66,95.36,Sierra Leone,6293.76,2010-12,2010-12,1
537609,2010-12-07 13:22:00,17675.0,SC4376,Books,75,24.85,Sierra Leone,1863.75,2010-12,2010-12,1
