InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536368,2010-12-01 08:34:00,13047.0,SC1622,Cloths,10,45.6,Sierra Leone,456.0,2010-12,2010-12,1
536368,2010-12-01 08:34:00,13047.0,SC3319,Cloths,23,31.8,Sierra Leone,731.4,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5706,Cloths,69,74.76,Sierra Leone,5158.4400000000005,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC7710,Cloths,17,64.12,Sierra Leone,1090.04,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5336,Cloths,6,89.95,Sierra Leone,539.7,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7483,Cloths,21,41.24,Sierra Leone,866.0400000000001,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3287,Cloths,16,30.81,Sierra Leone,492.96,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8937,Cloths,36,81.44,Sierra Leone,2931.84,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC1961,Cloths,56,59.48,Sierra Leone,3330.88,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC9502,Cloths,56,31.16,Sierra Leone,1744.96,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC5717,Cloths,63,38.23,Sierra Leone,2408.49,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC4155,Cloths,6,1.29,Sierra Leone,7.74,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC8361,Cloths,5,69.61,Sierra Leone,348.05,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC5482,Cloths,98,67.04,Sierra Leone,6569.920000000001,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC4219,Cloths,17,63.26,Sierra Leone,1075.42,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC2816,Cloths,7,91.97,Sierra Leone,643.79,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC6211,Cloths,58,78.44,Sierra Leone,4549.52,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC1959,Cloths,40,81.01,Sierra Leone,3240.4,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC2277,Cloths,64,47.22,Sierra Leone,3022.08,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC3908,Cloths,63,11.99,Sierra Leone,755.37,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC1137,Cloths,99,12.45,Sierra Leone,1232.55,2010-12,2010-12,1
