InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC2931,Cosmetics,96,49.98,Sierra Leone,4798.08,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6809,Cosmetics,55,36.5,Sierra Leone,2007.5,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8953,Cosmetics,16,36.93,Sierra Leone,590.88,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC5437,Cosmetics,89,73.78,Sierra Leone,6566.42,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC5340,Cosmetics,60,95.81,Sierra Leone,5748.6,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC1731,Cosmetics,13,61.34,Sierra Leone,797.4200000000001,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC4902,Cosmetics,41,50.77,Sierra Leone,2081.57,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC1854,Cosmetics,62,11.27,Sierra Leone,698.74,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC1624,Cosmetics,81,8.63,Sierra Leone,699.0300000000001,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3163,Cosmetics,5,47.02,Sierra Leone,235.1,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC4038,Cosmetics,34,75.64,Sierra Leone,2571.76,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC6756,Cosmetics,53,31.2,Sierra Leone,1653.6,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC7785,Cosmetics,88,21.15,Sierra Leone,1861.2,2010-12,2010-12,1
536831,2010-12-02 17:40:00,16029.0,SC7605,Cosmetics,25,47.33,Sierra Leone,1183.25,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC5271,Cosmetics,40,82.83,Sierra Leone,3313.2,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC1026,Cosmetics,26,73.83,Sierra Leone,1919.58,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC5530,Cosmetics,84,48.34,Sierra Leone,4060.56,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9796,Cosmetics,85,78.64,Sierra Leone,6684.4,2010-12,2010-12,1
