InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536389,2010-12-01 10:03:00,12431.0,SC6447,Electronics,16,26.93,Sierra Leone,430.88,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3663,Electronics,42,36.86,Sierra Leone,1548.12,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC6664,Electronics,42,52.84,Sierra Leone,2219.28,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2349,Electronics,64,20.42,Sierra Leone,1306.88,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3148,Electronics,7,64.26,Sierra Leone,449.8200000000001,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC9245,Electronics,63,69.17,Sierra Leone,4357.71,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC4381,Electronics,33,65.05,Sierra Leone,2146.65,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC7944,Electronics,96,70.65,Sierra Leone,6782.400000000001,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3627,Electronics,34,33.84,Sierra Leone,1150.5600000000002,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC4395,Electronics,17,50.45,Sierra Leone,857.6500000000001,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4031,Electronics,80,37.08,Sierra Leone,2966.4,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC5175,Electronics,5,81.84,Sierra Leone,409.2000000000001,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4393,Electronics,13,42.14,Sierra Leone,547.82,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC4719,Electronics,88,70.75,Sierra Leone,6226.0,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC9640,Electronics,98,64.59,Sierra Leone,6329.820000000001,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC6034,Electronics,23,33.78,Sierra Leone,776.94,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC6319,Electronics,10,47.73,Sierra Leone,477.3,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9706,Electronics,75,35.16,Sierra Leone,2636.9999999999995,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5471,Electronics,61,23.73,Sierra Leone,1447.53,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC1015,Electronics,39,39.41,Sierra Leone,1536.9899999999998,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC9594,Electronics,53,22.81,Sierra Leone,1208.9299999999998,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC7040,Electronics,42,82.32,Sierra Leone,3457.44,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC7809,Electronics,91,92.49,Sierra Leone,8416.59,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC8902,Electronics,24,41.45,Sierra Leone,994.8,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC2068,Electronics,1,94.32,Sierra Leone,94.32,2010-12,2010-12,1
