InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536404,2010-12-01 11:29:00,16218.0,SC9258,Furniture,1,98.01,Sierra Leone,98.01,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1912,Furniture,96,66.39,Sierra Leone,6373.4400000000005,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC6309,Furniture,24,86.93,Sierra Leone,2086.32,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7772,Furniture,37,73.61,Sierra Leone,2723.57,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC6335,Furniture,37,96.41,Sierra Leone,3567.17,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6155,Furniture,60,60.55,Sierra Leone,3633.0,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8139,Furniture,59,2.78,Sierra Leone,164.01999999999998,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5863,Furniture,12,13.0,Sierra Leone,156.0,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC4102,Furniture,42,37.32,Sierra Leone,1567.44,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC3599,Furniture,36,38.66,Sierra Leone,1391.7599999999998,2010-12,2010-12,1
536771,2010-12-02 14:49:00,17581.0,SC8418,Furniture,44,55.37,Sierra Leone,2436.28,2010-12,2010-12,1
536777,2010-12-02 15:00:00,15732.0,SC6327,Furniture,57,57.88,Sierra Leone,3299.1600000000003,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC5966,Furniture,5,2.85,Sierra Leone,14.25,2010-12,2010-12,1
536838,2010-12-02 18:23:00,14865.0,SC5981,Furniture,35,24.54,Sierra Leone,858.9,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7539,Furniture,21,18.57,Sierra Leone,389.97,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC4046,Furniture,59,26.86,Sierra Leone,1584.74,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC9152,Furniture,62,74.38,Sierra Leone,4611.56,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC5771,Furniture,93,30.89,Sierra Leone,2872.77,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC5416,Furniture,46,12.23,Sierra Leone,562.58,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC3600,Furniture,33,75.63,Sierra Leone,2495.79,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2261,Furniture,42,31.53,Sierra Leone,1324.26,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2843,Furniture,100,80.97,Sierra Leone,8097.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC5661,Furniture,34,9.62,Sierra Leone,327.08,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2847,Furniture,87,42.18,Sierra Leone,3669.66,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC2936,Furniture,34,44.28,Sierra Leone,1505.52,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC1915,Furniture,14,76.58,Sierra Leone,1072.12,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC8632,Furniture,93,15.23,Sierra Leone,1416.39,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2388,Furniture,60,97.92,Sierra Leone,5875.2,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9525,Furniture,23,1.72,Sierra Leone,39.56,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC9333,Furniture,85,57.85,Sierra Leone,4917.25,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC6907,Furniture,58,37.89,Sierra Leone,2197.62,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6387,Furniture,7,77.35,Sierra Leone,541.4499999999999,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2286,Furniture,13,57.9,Sierra Leone,752.6999999999999,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC3208,Furniture,13,24.39,Sierra Leone,317.07,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7775,Furniture,93,48.12,Sierra Leone,4475.16,2010-12,2010-12,1
537250,2010-12-06 10:43:00,12708.0,SC3201,Furniture,8,73.64,Sierra Leone,589.12,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC4126,Furniture,67,96.03,Sierra Leone,6434.01,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC9221,Furniture,68,90.26,Sierra Leone,6137.68,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC6319,Furniture,5,66.3,Sierra Leone,331.5,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC6124,Furniture,41,62.9,Sierra Leone,2578.9,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC1890,Furniture,63,11.31,Sierra Leone,712.5300000000001,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC4814,Furniture,77,23.71,Sierra Leone,1825.67,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC6350,Furniture,29,99.11,Sierra Leone,2874.19,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC2886,Furniture,62,2.31,Sierra Leone,143.22,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC4834,Furniture,53,15.64,Sierra Leone,828.9200000000001,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC9913,Furniture,33,73.08,Sierra Leone,2411.64,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC1823,Furniture,59,45.73,Sierra Leone,2698.07,2010-12,2010-12,1
537670,2010-12-08 09:07:00,13078.0,SC3508,Furniture,17,61.96,Sierra Leone,1053.32,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC8729,Furniture,67,26.75,Sierra Leone,1792.25,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1882,Furniture,48,34.37,Sierra Leone,1649.7599999999998,2010-12,2010-12,1
537795,2010-12-08 13:03:00,17213.0,SC4727,Furniture,99,33.37,Sierra Leone,3303.63,2010-12,2010-12,1
537817,2010-12-08 13:53:00,18269.0,SC4501,Furniture,67,55.36,Sierra Leone,3709.12,2010-12,2010-12,1
537864,2010-12-08 16:34:00,16700.0,SC3422,Furniture,68,33.51,Sierra Leone,2278.68,2010-12,2010-12,1
537900,2010-12-09 10:45:00,15983.0,SC1689,Furniture,29,32.08,Sierra Leone,930.32,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC4115,Furniture,9,21.26,Sierra Leone,191.34,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC3155,Furniture,30,48.93,Sierra Leone,1467.9,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC7283,Furniture,67,29.85,Sierra Leone,1999.95,2010-12,2010-12,1
538168,2010-12-09 19:23:00,14702.0,SC9128,Furniture,19,40.6,Sierra Leone,771.4,2010-12,2010-12,1
538182,2010-12-10 10:18:00,17827.0,SC6104,Furniture,48,8.53,Sierra Leone,409.44,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC4788,Furniture,80,33.17,Sierra Leone,2653.6000000000004,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC8134,Furniture,49,69.45,Sierra Leone,3403.05,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6005,Furniture,53,84.91,Sierra Leone,4500.23,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC5119,Furniture,31,88.43,Sierra Leone,2741.3300000000004,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC4460,Furniture,15,40.76,Sierra Leone,611.4,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC7036,Furniture,82,87.43,Sierra Leone,7169.26,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC9001,Furniture,83,69.45,Sierra Leone,5764.35,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC8190,Furniture,75,83.61,Sierra Leone,6270.75,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC3292,Furniture,94,99.84,Sierra Leone,9384.96,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC5902,Furniture,45,83.78,Sierra Leone,3770.1,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC2214,Furniture,71,45.93,Sierra Leone,3261.03,2010-12,2010-12,1
538689,2010-12-14 09:52:00,13050.0,SC5751,Furniture,67,52.46,Sierra Leone,3514.82,2010-12,2010-12,1
538708,2010-12-14 10:43:00,16202.0,SC9604,Furniture,57,72.57,Sierra Leone,4136.49,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC2726,Furniture,16,84.78,Sierra Leone,1356.48,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC7853,Furniture,49,10.73,Sierra Leone,525.77,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC2889,Furniture,59,53.24,Sierra Leone,3141.1600000000003,2010-12,2010-12,1
