InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536390,2010-12-01 10:19:00,17511.0,SC8666,Jewelry,51,3.89,Sierra Leone,198.39,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7702,Jewelry,8,97.51,Sierra Leone,780.08,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3368,Jewelry,26,60.92,Sierra Leone,1583.92,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7335,Jewelry,63,43.51,Sierra Leone,2741.13,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC2479,Jewelry,39,56.89,Sierra Leone,2218.71,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC3928,Jewelry,86,35.08,Sierra Leone,3016.88,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5229,Jewelry,73,4.95,Sierra Leone,361.35,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC4664,Jewelry,20,7.32,Sierra Leone,146.4,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC8522,Jewelry,40,7.11,Sierra Leone,284.40000000000003,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC3048,Jewelry,38,50.25,Sierra Leone,1909.5,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC9776,Jewelry,9,58.36,Sierra Leone,525.24,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC1355,Jewelry,14,29.19,Sierra Leone,408.66,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC5172,Jewelry,31,13.78,Sierra Leone,427.18,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC6263,Jewelry,75,22.27,Sierra Leone,1670.25,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC3781,Jewelry,100,10.07,Sierra Leone,1007.0,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC5556,Jewelry,86,35.84,Sierra Leone,3082.24,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC8211,Jewelry,25,69.32,Sierra Leone,1732.9999999999998,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7809,Jewelry,88,38.02,Sierra Leone,3345.76,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC1770,Jewelry,50,47.92,Sierra Leone,2396.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1553,Jewelry,40,51.56,Sierra Leone,2062.4,2010-12,2010-12,1
