InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC6120,Shoes,30,64.05,Sierra Leone,1921.5,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC7966,Shoes,19,75.33,Sierra Leone,1431.27,2010-12,2010-12,1
536397,2010-12-01 10:51:00,17924.0,SC8812,Shoes,27,97.39,Sierra Leone,2629.53,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC9698,Shoes,39,67.18,Sierra Leone,2620.0200000000004,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2620,Shoes,87,41.89,Sierra Leone,3644.43,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1413,Shoes,50,76.64,Sierra Leone,3832.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9077,Shoes,74,99.75,Sierra Leone,7381.5,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4810,Shoes,1,20.77,Sierra Leone,20.77,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC7039,Shoes,89,70.51,Sierra Leone,6275.39,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC7582,Shoes,13,19.38,Sierra Leone,251.94,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC7771,Shoes,90,28.09,Sierra Leone,2528.1,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC8502,Shoes,63,83.12,Sierra Leone,5236.56,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3846,Shoes,52,38.96,Sierra Leone,2025.92,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5278,Shoes,55,21.56,Sierra Leone,1185.8,2010-12,2010-12,1
536671,2010-12-02 12:10:00,13305.0,SC8932,Shoes,24,93.12,Sierra Leone,2234.88,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC5492,Shoes,87,30.93,Sierra Leone,2690.91,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9217,Shoes,64,71.55,Sierra Leone,4579.2,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC7146,Shoes,39,14.73,Sierra Leone,574.47,2010-12,2010-12,1
536785,2010-12-02 15:22:00,15061.0,SC7794,Shoes,5,35.43,Sierra Leone,177.15,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3360,Shoes,1,95.23,Sierra Leone,95.23,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3073,Shoes,73,73.27,Sierra Leone,5348.71,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9908,Shoes,1,86.16,Sierra Leone,86.16,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC2434,Shoes,34,25.73,Sierra Leone,874.82,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC4675,Shoes,92,71.98,Sierra Leone,6622.160000000001,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC7365,Shoes,70,36.91,Sierra Leone,2583.7,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC9721,Shoes,67,56.19,Sierra Leone,3764.73,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC8452,Shoes,80,94.75,Sierra Leone,7580.0,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC6416,Shoes,58,89.94,Sierra Leone,5216.52,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3225,Shoes,24,82.3,Sierra Leone,1975.2,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC1617,Shoes,81,80.85,Sierra Leone,6548.849999999999,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2355,Shoes,61,32.93,Sierra Leone,2008.73,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4864,Shoes,39,87.85,Sierra Leone,3426.15,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1527,Shoes,16,34.75,Sierra Leone,556.0,2010-12,2010-12,1
